#{"t_start": 1770245631.077904, "env_id": "crossing_planes_multiHead"}
r,l,t
164.33917,172,7.71584
-76.319684,89,8.201121
163.061658,210,9.439634
-113.304391,53,9.778422
150.960616,195,12.333406
187.743304,210,14.766242
162.703879,142,15.624943
103.770804,138,16.482261
141.992382,144,17.740197
-156.830153,49,18.088682
-140.261454,87,18.620743
154.864807,113,19.573406
-108.367224,78,20.089544
-79.142409,55,20.419979
136.794824,190,22.346372
103.029451,190,25.163281
-59.301916,1,26.235926
107.894994,87,26.781626
149.909161,162,28.795063
-74.354017,55,29.193526
-169.198436,58,30.577305
-130.842572,53,30.892042
172.301178,119,31.667691
-199.668755,52,32.079022
317.321008,104,35.216709
81.540325,133,36.82834
87.643202,203,39.41232
194.674813,231,41.771331
106.264476,121,44.171755
-81.865388,49,44.369763
157.079688,116,45.090469
-141.162372,59,45.357069
119.348689,152,46.490458
173.136488,107,47.087937
-94.438251,13,47.151718
170.036239,177,48.925253
108.464184,138,50.677483
-100.166484,35,50.93993
153.759117,109,51.535359
127.387212,153,52.470667
165.034503,183,54.605152
226.231963,202,55.772808
137.815655,167,56.938819
115.137466,89,57.481214
140.815208,186,58.495089
-123.143415,91,59.023531
176.348115,120,59.780841
112.748922,122,60.578605
173.741816,166,62.047469
-111.65199,73,63.493225
-135.957394,51,63.836505
-100.579617,72,64.31342
145.11619,140,80.338226
171.520851,169,81.359171
455.282032,105,83.677312
-87.127005,86,84.153306
-119.699547,63,84.561398
86.855112,122,85.534446
198.563431,199,88.509861
-155.950136,50,89.70212
392.890593,137,91.223359
102.639401,236,94.717745
-108.593093,74,95.304238
164.701748,158,97.030626
133.12705,125,97.629344
217.752087,190,99.659649
81.855006,145,100.613859
132.239543,88,101.805831
194.394772,182,103.762112
-30.580369,105,104.428443
42.94159,146,106.341759
-39.127265,193,109.136397
-108.402928,47,109.383576
154.35207,150,110.412127
161.376966,95,111.011087
-110.05057,106,111.687707
74.953661,129,112.446163
117.267291,137,113.218904
-50.441817,96,113.730376
127.543311,109,114.293926
61.206435,165,116.05798
-140.73867,56,116.354407
110.0163,112,117.018951
150.228023,156,118.652244
129.806546,150,120.950108
143.431275,129,122.637641
70.478454,109,125.954026
212.986841,174,126.913974
142.035609,96,127.607056
160.805149,111,128.235656
152.042924,74,128.618337
174.132561,151,129.497101
150.163856,162,130.445384
177.866841,164,131.573189
-194.216196,32,131.810637
198.493296,185,133.888289
98.021382,103,134.404183
123.221822,113,135.008908
117.946237,141,135.70114
983.326883,156,138.14053
101.948879,196,139.712549
178.97662,99,153.850254
148.284879,109,156.250719
163.428525,95,156.740726
149.871157,86,157.268298
135.786673,116,159.067215
161.39925,87,160.632312
177.896777,101,161.342737
243.470565,182,162.664435
197.62033,156,164.610998
118.54247,78,165.296736
157.055806,139,167.013949
209.198793,182,168.237792
196.961969,140,169.145906
159.796074,164,171.229809
165.034719,140,171.980532
141.495976,107,174.287613
125.46124,134,177.07119
145.357995,97,177.703499
172.967606,151,179.652852
131.451548,98,180.242161
101.659132,124,181.989467
240.912871,179,182.947322
115.488373,158,184.065009
161.609191,176,185.342766
172.94301,173,186.444796
137.447141,104,187.94343
192.016694,165,189.730074
650.029534,123,191.154272
138.057032,120,192.847077
-119.186422,28,193.285234
237.523897,211,195.310176
