#{"t_start": 1770226576.975821, "env_id": "crossing_planes_multiHead"}
r,l,t
160.23336,241,10.476369
-145.590793,56,10.985063
-104.82021,85,11.827049
63.202875,116,13.593545
-177.050021,58,14.058997
130.630027,229,16.503497
106.330911,167,17.856149
-166.781271,34,18.100633
159.494766,215,19.80681
-87.533289,86,20.291417
-113.177901,35,20.527719
-108.657334,54,20.945157
574.329666,241,24.364586
178.52534,154,27.007665
182.838361,191,28.304375
152.307976,149,31.377345
197.25185,181,33.37206
-86.586647,23,33.489093
-97.382385,43,33.673981
-47.339833,110,35.309137
135.594999,146,37.080694
149.262069,157,38.874461
-130.077811,73,39.357072
97.713538,135,41.820124
164.174365,178,42.805861
156.062981,128,43.623812
-125.093362,29,43.783852
205.746073,217,45.266669
-184.712977,70,45.806566
-78.000244,86,46.442739
948.248027,234,48.948248
94.001374,95,49.833024
1197.115883,232,53.23972
179.638071,181,55.731226
-90.141077,53,56.020864
98.307477,84,56.469871
-146.945509,43,56.700374
165.19243,91,58.036619
197.910064,211,60.15514
-78.744522,86,61.530453
-140.844532,19,61.649531
829.883737,164,63.293873
-97.437666,94,65.547546
1260.960978,226,68.389244
173.572959,171,70.684251
-87.327023,68,71.154441
105.280183,157,72.118181
627.481243,172,75.651126
-115.943117,114,76.933661
113.500008,90,95.296114
-100.506091,76,96.691558
-101.378515,15,96.779905
1071.84311,231,101.309169
-89.330693,77,102.117469
144.098869,161,103.109199
138.204205,106,103.847591
64.821307,143,106.523251
101.308985,117,107.124401
-95.342914,78,108.399071
99.821108,85,108.842488
165.92551,101,109.393257
83.772016,123,110.108209
-55.824528,78,110.634025
140.568142,123,111.455172
-51.701907,96,112.191795
134.09672,129,113.915026
-67.883201,51,114.162899
-59.308627,78,114.52178
161.602679,191,117.013703
103.438309,90,118.503052
-93.246841,20,118.629089
-100.765174,82,119.211931
182.139724,215,120.666265
89.08378,161,122.37982
-158.442394,20,122.485264
188.086411,177,124.304951
179.468989,179,125.226866
165.04602,144,127.55787
-60.432907,94,127.949084
139.884258,143,128.713818
136.093234,133,129.349378
-129.735979,84,129.818381
-139.093005,55,130.149564
215.186589,233,132.333517
114.963578,107,133.619382
222.23125,181,135.579614
219.524355,192,138.126543
137.259024,155,138.969098
-99.752244,80,139.443406
128.862611,142,140.224789
105.348307,167,141.387751
191.482837,190,142.44269
-203.24973,33,143.538873
123.226685,218,144.695057
50.735981,117,146.135325
-118.761273,102,148.52935
188.942326,172,150.361538
172.042555,154,152.790437
-52.492843,80,153.198146
238.504984,185,154.930311
104.035594,168,168.883308
152.825011,134,170.81468
965.880273,135,172.882499
114.775772,143,173.875919
-59.147606,1,174.834811
-116.665114,62,176.145989
181.41114,199,179.353334
99.663406,226,180.734053
167.977494,177,182.47894
-71.372691,84,184.737975
-88.033203,50,184.928495
758.354695,156,187.373042
146.725368,138,188.116144
163.021791,118,189.661893
143.99603,122,191.094979
133.033733,152,193.580302
187.30164,168,195.716173
121.238181,101,197.204655
132.171429,148,198.864199
136.454228,149,199.631017
167.260798,167,201.633898
128.435272,139,203.13933
166.927639,157,204.042992
129.414811,86,204.493443
122.410861,82,204.927596
196.091989,174,206.777498
-81.60001,59,207.112347
122.40148,97,207.62643
127.864603,146,209.334731
-80.327376,85,209.894926
129.188679,103,210.418963
1426.410759,182,212.925832
215.780757,175,214.835192
119.464745,102,216.679739
127.619982,171,217.680265
227.288375,178,219.667157
198.398609,178,221.44825
166.336634,101,222.935411
125.53453,80,223.33534
172.164451,97,226.559982
1308.180143,157,228.138322
125.097943,140,229.747095
218.443472,185,230.884154
226.149582,232,232.260512
199.280537,186,233.978338
145.388066,157,234.964751
172.154073,191,248.41914
232.626772,221,250.821024
120.483746,77,251.196165
130.638713,121,252.579104
158.463174,104,253.169861
1157.646903,241,256.498311
136.835977,191,257.663499
-128.748492,40,257.93827
198.122765,167,260.079325
198.649649,187,261.234538
667.198845,87,262.618227
155.064678,124,263.304565
131.261621,85,264.441313
153.514402,116,265.948492
162.623415,168,269.837134
-110.993604,27,269.983915
1219.857621,147,271.603866
495.793703,125,273.94289
166.709313,94,274.550829
186.107471,159,276.43355
1578.460277,166,278.089404
161.032439,171,279.010707
-175.687304,19,279.1335
149.730253,128,280.784198
120.873865,129,281.560057
158.650955,186,282.683118
114.804736,120,283.323136
120.800516,82,284.667114
150.130084,114,285.359745
190.881966,163,287.12334
132.963977,145,288.040983
261.157556,211,289.331983
196.2635,149,291.40873
138.300025,99,291.913383
120.108574,100,292.458222
229.424104,227,293.82389
21.587174,91,295.27666
145.699461,120,296.674119
161.650028,82,297.106135
153.836441,107,298.662872
207.506236,170,301.417773
236.073458,212,303.35833
152.681392,146,304.427142
136.83761,145,306.076152
171.814168,141,307.869863
1089.503352,241,327.538869
116.25091,104,328.228195
160.96188,125,330.740068
142.359639,107,332.806465
145.216233,73,333.268299
148.582408,130,334.990575
100.685744,85,335.643361
172.198205,140,337.88204
125.783328,90,338.437251
-146.996989,31,338.661169
56.5442,147,339.645815
147.322873,130,340.528072
119.239526,101,342.351284
166.254656,115,343.182709
174.331501,143,344.971416
147.805538,136,346.877055
150.17159,127,348.874768
203.731071,176,350.19651
145.762023,188,352.171494
1371.782759,211,355.037336
192.147674,160,356.637702
156.226212,119,357.992549
148.248848,145,358.821185
95.31869,173,360.738892
1395.77387,241,363.703281
167.075348,179,364.746741
209.688923,174,365.736499
232.798303,151,367.914106
148.818606,153,368.713598
821.236696,98,370.132878
157.308723,99,372.051492
-118.456569,35,373.150724
188.511365,161,374.087325
131.302438,113,374.733938
152.250939,132,377.247447
184.091773,192,378.416435
154.882371,127,379.149659
138.10801,95,379.783626
405.072038,45,382.637618
169.940012,137,383.309882
146.670812,87,385.481237
-83.28028,54,385.783557
103.085848,123,386.408527
147.418278,142,387.184347
182.551022,157,389.030048
153.549121,147,390.456365
121.880124,151,392.379382
164.568267,85,394.083333
141.798734,128,396.498833
108.915484,110,408.340227
122.720539,110,409.058017
158.838254,170,411.860472
139.900365,99,412.553665
209.80214,50,415.766833
1174.099709,130,417.267599
157.764124,153,418.27993
151.105815,101,419.696598
224.361996,141,421.68404
198.458799,154,422.530304
158.170349,118,423.21884
128.24553,164,424.116731
137.784185,155,426.459824
159.688203,190,427.628876
586.019308,143,429.450211
271.850146,31,430.749072
146.286959,111,434.922074
143.897476,174,437.114006
170.823567,159,438.057636
162.488125,146,439.846407
132.172839,104,441.247706
145.227238,173,444.815367
161.902897,92,446.123143
96.421632,78,447.461503
122.275239,128,448.140205
168.982688,88,448.630688
157.987824,81,450.119815
145.572451,130,451.672219
149.133077,155,453.08185
148.347466,125,453.748391
-55.722645,61,454.110673
1224.128311,183,458.136309
202.760436,160,459.072254
123.126711,143,459.99382
196.15979,142,461.618887
-42.269712,69,462.061012
191.608832,165,463.167731
217.365055,170,464.250475
154.91206,114,464.83789
131.723131,137,466.411066
169.550321,140,467.037494
185.132431,192,467.898764
-98.795835,1,467.914933
142.034791,96,468.467549
138.995032,119,470.222896
153.584708,104,471.448531
192.877532,163,472.569907
160.41703,144,474.522699
109.29398,123,476.982679
137.18772,169,486.531202
159.680433,241,490.078447
232.779062,219,492.627354
165.324136,241,494.252162
170.652183,89,494.859096
142.623956,126,496.511153
226.698174,182,497.456709
213.231044,192,499.421919
165.251664,154,502.73772
124.675604,95,503.137817
131.310947,162,504.112533
164.476372,164,505.4295
233.532136,193,507.466831
178.052258,147,508.215281
143.99828,158,509.040199
173.070987,189,510.173617
-132.549403,26,510.332116
164.455842,142,512.08939
133.233347,96,512.643905
-98.783835,2,512.672482
179.83453,90,513.377071
221.259272,134,514.263679
154.438518,151,516.137283
159.399126,147,518.710939
-147.790042,67,519.10053
152.689348,142,520.502488
195.055889,165,521.619948
238.245845,191,523.018284
184.123008,168,524.695245
79.431742,131,526.466418
149.926342,121,528.05362
135.076637,97,528.517401
276.134109,202,529.621405
154.107376,75,530.126243
118.708324,110,530.877446
222.905478,173,533.010236
146.371197,144,533.935588
234.43014,178,534.970817
-153.583064,24,535.139814
177.218027,134,535.881198
175.43675,129,538.985303
237.911585,142,539.913146
93.724343,103,540.516957
192.117862,187,541.729747
191.054426,198,554.780338
139.25462,110,556.393162
706.944755,135,558.010582
1062.467336,143,559.945239
151.766315,122,560.760967
93.463548,112,561.540613
156.012846,97,562.072804
144.70556,104,563.578125
150.034646,115,564.19247
141.575479,130,565.138528
235.613995,182,566.276237
169.739876,172,568.128822
226.180685,174,570.099725
78.76359,135,571.232385
209.54481,174,573.238496
168.076369,157,575.089468
-10.125255,136,575.930307
201.575765,184,578.02383
167.662725,143,579.80151
168.673203,115,580.399948
164.132381,150,581.327353
109.262886,88,582.781872
218.592898,183,584.675029
152.602681,103,586.116101
138.189728,144,588.576228
1225.340673,199,592.177292
209.80731,170,594.66142
153.364929,110,595.40542
141.505465,153,597.485869
127.311554,100,597.984757
144.122138,143,598.757566
176.031181,95,600.109717
153.645452,100,600.557443
174.455812,144,601.39152
161.224072,167,602.315458
183.629773,160,603.259797
85.23646,114,603.985651
1414.849755,241,606.336762
171.616478,150,608.069087
214.05743,185,609.699401
202.050863,168,612.636913
194.962897,185,614.999741
187.782418,133,615.773394
278.467403,179,618.778682
203.748728,226,629.215731
191.337024,132,629.81313
222.828789,174,630.952875
227.254199,160,634.041916
87.067992,103,634.729803
100.791019,118,635.454946
193.254445,156,636.304479
225.913897,175,638.088343
-97.261772,5,638.127259
226.885943,168,639.119468
149.873868,106,640.61179
165.750009,90,641.378812
169.96312,90,641.938583
-59.208025,1,643.008386
215.582387,161,645.607392
157.512848,123,646.32749
266.597583,169,648.469021
130.956066,131,651.970447
155.257556,117,653.520001
-51.778131,95,656.696927
245.507552,198,658.401986
90.248187,93,658.930168
124.019884,95,659.453275
132.254667,131,660.716191
159.826599,106,662.486343
1222.089565,241,665.081688
-82.645944,36,665.277675
116.979409,95,666.009316
222.601074,203,667.383603
230.916829,174,669.407478
208.194199,183,670.366243
165.404439,94,671.007338
1415.641207,241,674.061394
123.70741,85,674.568187
126.934945,90,675.145898
131.649707,85,675.722246
206.260731,152,676.528057
131.695733,121,678.048424
121.783366,91,681.293297
147.630535,97,682.019365
258.5352,163,684.142481
174.117224,126,685.592103
165.802463,100,687.387695
175.219215,105,688.126645
208.87591,162,690.755214
153.666488,150,691.476236
-31.536504,67,692.760305
153.368805,114,693.398304
-136.825836,26,693.551028
178.757716,129,695.200315
108.032142,241,711.292171
132.944671,97,711.949466
129.39877,79,713.297476
203.491598,173,715.664579
193.934799,156,718.440866
1440.36149,192,721.316201
-88.967961,96,721.930606
-84.412696,44,722.171626
243.027787,201,725.951828
254.211363,208,728.385778
212.822224,180,729.433302
112.533038,80,730.794251
190.179068,109,731.330546
190.755411,134,732.02564
160.485,119,732.777587
163.332797,151,736.366746
188.194878,172,739.739992
188.930013,104,741.039575
1217.716623,169,742.534654
133.461467,86,742.907018
-3.363057,113,743.607756
187.816175,97,744.255988
174.299303,120,745.686257
191.085347,155,747.112111
187.383444,135,747.872107
187.501929,152,750.764259
164.307289,99,751.438918
161.257353,132,752.161461
188.528907,208,754.314383
151.348235,87,754.737998
198.633703,141,755.427111
147.186941,102,755.962649
149.169195,103,756.572193
178.666147,156,758.304767
180.005944,166,760.049913
217.033185,158,761.66593
227.773252,172,762.496093
166.27768,139,765.874135
151.453983,121,766.528566
172.611754,89,767.974037
163.389971,159,768.787612
126.663693,103,770.544755
151.922182,80,771.002432
251.910663,157,772.043352
163.527514,95,773.565415
207.47634,177,775.398533
588.01094,65,777.435821
174.039961,138,793.480431
156.251997,132,794.516519
147.408385,122,796.253783
214.825873,153,797.044561
142.523378,121,797.914284
109.87435,106,798.866072
122.525425,97,799.551231
207.815827,149,801.608078
239.013145,166,802.663069
174.497992,93,803.31762
151.916337,74,803.805869
134.111205,150,804.854267
216.543378,156,805.709121
169.078846,120,807.410956
220.715783,166,808.401001
144.164347,93,808.951918
135.395205,119,810.599354
188.04163,169,813.320096
237.93006,182,815.066248
136.705347,85,815.581028
173.72378,118,816.333814
182.225997,145,818.770353
140.947989,131,819.543373
105.062477,100,820.828492
-148.656893,31,820.984553
189.030526,188,823.042899
132.86374,142,825.087558
250.297398,188,826.966754
160.747205,87,827.483457
142.81517,76,829.74251
1130.989564,168,834.828848
175.137617,183,836.668742
153.236444,72,837.930217
168.97208,110,838.483181
228.849043,215,840.606081
180.826651,115,841.552251
146.633706,86,843.090227
151.592291,84,844.380946
204.240364,162,845.155056
128.951332,141,847.397275
147.108498,85,847.840065
232.8649,173,848.850938
231.777858,169,849.835579
166.709069,123,851.756228
138.751893,100,852.392488
153.659679,70,852.855364
225.999081,176,853.925206
215.424192,174,855.638158
107.159638,95,865.245737
288.596055,198,866.327889
113.144836,88,867.776394
213.743857,168,868.734159
154.539081,106,870.004416
135.705675,105,871.666454
183.03224,172,874.591351
242.824619,189,876.43369
197.500679,140,877.272247
1131.971753,215,879.866899
169.811024,118,882.352526
221.865434,168,883.268497
130.00018,80,883.795179
164.287848,115,886.434146
216.15561,169,887.290091
177.472439,139,889.801458
154.012457,223,893.028886
234.167643,180,894.061306
180.883324,132,894.944654
238.437469,193,898.663512
162.545814,82,899.111814
147.242064,83,899.620271
179.788736,152,900.471043
172.963061,189,902.137407
144.987422,87,902.790586
246.974787,194,904.024652
230.663519,185,905.267586
166.620919,77,905.838601
200.440406,151,907.615284
138.858535,193,908.821813
182.182287,140,911.463413
181.322385,197,913.283409
174.082737,241,916.555071
153.728088,117,919.032336
221.389541,184,921.136304
156.901644,114,921.850298
188.079647,151,924.485507
193.361609,155,925.237523
188.1544,157,927.134196
191.129807,194,930.209568
212.190701,156,932.58351
137.320918,93,933.82388
148.882559,110,952.243505
144.102911,99,953.574283
142.88381,104,956.276894
225.669159,169,957.912933
151.460751,110,958.416213
182.270163,166,961.395857
196.908198,119,964.327271
210.351992,120,966.976688
200.890807,167,967.990981
131.902249,106,968.682975
191.698126,137,969.358604
219.498872,241,970.731639
213.903209,158,971.687973
181.095981,100,972.286032
216.710985,160,973.171491
134.989662,112,973.775568
143.098858,149,975.500595
156.832604,92,975.989487
189.675423,154,977.657938
163.078978,145,979.403655
198.886479,144,981.612227
185.248271,95,982.193765
179.766471,152,986.014141
133.130327,129,986.681952
1146.067418,155,989.184634
159.291799,107,990.727297
106.238847,119,991.535668
218.417835,172,993.448336
122.955134,95,993.975083
174.169635,137,996.423327
85.241941,97,996.989062
207.618696,157,998.729175
167.499332,82,1000.000387
179.239983,129,1000.668637
126.109044,80,1001.136958
147.051856,88,1001.593331
167.326895,142,1003.256328
173.498057,161,1004.8497
146.482041,117,1006.463377
152.974416,122,1008.231644
143.992937,102,1009.729027
185.783745,149,1012.050302
233.830896,241,1014.221485
196.748354,136,1015.76415
217.228532,148,1016.549907
168.610963,118,1017.217523
144.730902,93,1017.846112
100.336356,83,1018.372669
95.172462,156,1031.004339
142.115169,118,1032.784807
143.460233,107,1034.512919
117.266115,111,1036.090248
226.411153,164,1037.720675
124.740244,128,1040.410639
156.023567,100,1041.9225
1376.966477,241,1044.900779
160.848461,131,1045.56395
134.015551,82,1046.04495
158.726709,111,1046.785979
149.884162,156,1047.793727
171.538998,122,1048.488157
131.192974,82,1049.832751
172.281997,99,1050.350536
113.53959,93,1051.701265
151.300294,96,1053.076325
893.813791,149,1054.819853
194.107819,106,1057.116081
171.608035,128,1057.795073
150.249034,109,1058.459125
193.114122,174,1060.176178
223.809536,129,1060.85549
147.690663,126,1062.545085
173.78243,91,1063.226326
175.222458,131,1064.350781
212.34874,166,1065.378401
2180.857231,190,1068.024937
-106.916641,17,1068.115775
172.076923,100,1070.452171
217.594673,152,1073.155605
191.465635,148,1073.932366
154.554604,156,1075.765348
169.402939,154,1076.599118
129.69716,83,1077.190201
130.736591,122,1077.991237
183.779044,170,1079.017221
194.855366,133,1080.537772
199.096718,154,1082.194935
176.890559,188,1085.124333
240.034201,183,1086.134059
139.820329,126,1086.882222
183.30755,130,1088.447293
240.643793,171,1090.14861
203.132062,209,1091.442056
194.195715,137,1092.146643
252.961483,152,1107.200543
122.962675,93,1107.745728
164.423449,108,1109.201115
131.93438,100,1110.559943
178.258407,142,1111.678033
196.948552,146,1113.516597
160.679148,107,1114.185825
146.408964,108,1114.82571
174.685139,167,1117.700181
196.351002,100,1119.128841
-58.795833,1,1120.111037
151.735146,98,1121.5142
233.583834,197,1122.739588
191.111506,148,1124.485465
172.278375,143,1126.222603
208.564178,151,1127.820577
144.481937,95,1129.225671
206.041677,164,1131.837353
182.657728,136,1133.407583
166.309568,112,1134.813155
169.282371,109,1135.397472
149.678486,92,1136.844302
164.862842,79,1138.831866
160.116665,85,1140.12986
184.945131,146,1141.667251
218.874389,159,1143.79625
253.283871,206,1145.00638
163.990798,150,1147.69629
163.484046,109,1149.985203
161.909551,133,1150.697275
173.124912,111,1151.299523
181.303,120,1151.974902
148.395293,115,1152.67632
147.67269,108,1153.383209
