#{"t_start": 1770205867.659872, "env_id": "crossing_planes_multiHead"}
r,l,t
166.797221,174,7.405143
221.371351,241,8.774831
-125.991062,65,10.049875
197.346207,221,11.310598
-82.085181,92,12.76573
19.632746,127,13.467672
152.35052,186,14.478035
51.760954,95,15.8834
-81.053401,47,17.216242
89.535863,164,18.195678
-121.089644,61,18.448039
81.683752,158,20.365684
79.674793,104,20.911656
-176.251778,26,21.180576
449.876145,241,23.757743
30.532332,123,25.178509
121.193009,241,28.165316
140.399105,95,29.689472
-108.469022,75,30.04562
178.417429,241,32.199706
162.955703,191,33.955571
-94.984679,62,34.301401
-51.021515,95,35.679342
591.486066,241,37.789192
125.401539,140,38.714528
-122.383597,57,39.08263
240.490242,177,41.440735
188.224191,178,42.95814
116.47554,138,44.895478
-136.143244,50,46.18435
11.359519,128,48.050617
172.324233,188,51.402027
161.440898,115,51.966021
-50.13866,108,53.508954
153.797812,183,55.530306
-131.245735,39,55.822433
-111.81283,80,57.191734
156.583226,134,58.016614
168.72608,191,62.177054
196.064717,134,63.010361
125.557402,172,64.958377
-100.394786,81,66.377226
-158.114042,42,66.648758
183.442585,180,67.951902
131.144548,140,69.140089
165.903294,163,71.889392
143.503264,124,97.546224
107.795857,104,101.147962
-121.489354,40,101.631197
-82.241381,70,102.302381
-113.05241,61,102.901174
-28.626061,62,103.648113
906.718117,213,106.962354
162.820827,106,109.671467
-119.720723,40,110.19229
90.57224,78,111.005423
153.223338,144,114.557996
-68.840773,71,115.13943
212.324029,200,116.919397
163.581464,161,118.576228
165.049559,100,119.522266
239.967789,165,121.245116
-107.255251,12,121.370863
-119.016443,64,121.944711
155.682371,152,125.54545
150.962724,116,129.242989
-92.527204,77,130.651733
117.105007,110,133.367447
154.157254,209,136.256607
132.491714,105,137.245562
155.551077,99,138.149591
-61.518862,83,138.961897
-123.089197,72,139.829931
-93.833635,73,140.620545
124.226184,153,143.113109
245.866766,171,145.813529
-70.158459,67,147.66131
-136.089336,34,147.972077
75.468047,124,149.105101
139.999527,131,151.408825
-99.197374,1,151.4302
131.192126,93,152.203057
-139.983171,53,152.71791
160.659863,131,153.978068
103.545055,127,155.108991
225.923366,217,160.580571
165.70545,168,162.623214
98.44399,88,163.663378
146.901004,86,164.597365
-155.102192,75,165.343236
183.046384,178,167.687278
182.245059,191,170.128083
-99.152567,35,170.523008
-63.426126,56,171.125529
108.417484,128,174.013639
41.292548,94,176.248121
182.268383,161,180.982298
164.902709,138,182.487242
-93.481209,77,184.390433
207.989336,153,187.770619
-132.775315,30,188.140077
97.852008,150,189.871721
-156.731505,66,191.221584
-61.931709,1,192.60603
185.967105,205,196.845312
993.321284,198,222.462378
-102.779044,83,225.219861
-100.35001,39,225.684453
-95.829986,31,227.558777
129.652991,115,230.628154
170.387819,179,232.659829
189.52704,180,238.020934
-130.625569,67,238.993392
-103.834308,63,239.854111
73.487693,134,242.814309
21.626182,14,245.298877
182.96156,164,248.329418
-142.834397,50,249.50402
143.848794,110,250.112276
-135.131278,90,252.371197
125.793732,166,253.383799
148.701833,76,253.864192
111.127953,111,255.364979
213.491765,183,258.361687
207.468624,213,260.147318
144.537752,80,260.74484
151.080088,153,264.866231
119.186941,116,265.746354
-102.247966,97,266.56218
136.197351,129,268.459192
190.369393,170,269.413536
120.91956,187,270.827954
-128.915697,23,270.995671
156.331581,164,275.537784
-91.118876,65,276.918604
146.086915,119,277.670592
124.189114,136,279.552488
-96.198344,60,279.897254
158.296875,188,281.901414
175.251586,154,284.090211
-122.806305,114,285.202515
-96.693039,71,286.703512
210.886238,232,293.490501
194.014545,121,295.264933
154.143367,150,297.300214
145.529274,123,298.717268
141.582384,134,300.478572
-33.759737,135,303.514143
140.59567,173,305.727611
-78.349878,71,306.496013
136.608581,137,307.79062
68.101158,124,309.173093
221.673619,170,311.113109
-24.367072,137,315.350118
187.490495,178,320.13254
147.550933,117,345.516067
109.620032,114,346.590914
135.378507,130,348.047939
177.633985,99,349.474524
107.797424,120,352.039105
154.570244,143,354.355232
222.147544,218,357.904742
202.75782,211,360.938483
222.140986,140,364.507541
140.010076,163,366.917272
54.054806,126,367.752245
-225.515601,37,369.032709
162.164029,108,370.598334
196.088851,173,372.484703
-122.031199,70,373.042757
155.194347,78,373.6307
178.493559,127,375.677185
50.863036,80,376.248632
76.56671,122,377.063587
