#{"t_start": 1770377261.313359, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-142.161833,87,1.032942
-127.090975,65,1.095502
-131.58634,58,1.18465
-83.709809,58,1.273416
-310.11657,105,1.424632
13.566246,93,1.571591
-73.976601,65,1.652909
-122.174031,111,1.832028
-115.309037,64,1.956231
-99.734024,78,2.128716
-111.634401,67,2.269074
-110.466185,61,2.449671
-107.412019,71,2.800337
-116.304963,129,6.215671
-110.795354,64,6.321182
-63.299658,67,6.443834
-82.719265,62,6.553054
-112.643032,96,6.71973
-134.888211,79,6.842145
-235.836346,106,7.018006
-129.693358,103,7.196454
-98.110356,125,7.53772
-71.761866,110,7.927266
-117.817014,88,8.239005
-89.625254,109,12.354904
-100.959355,88,12.878611
-129.20459,99,13.226578
-191.20749,120,13.572823
-118.869058,64,13.744797
-110.47733,70,13.901082
-94.030528,92,14.093132
-73.405881,67,14.208304
-117.14718,86,14.356011
-102.744585,64,14.492462
-66.164437,61,14.831241
-291.704611,106,15.238552
-133.259514,96,20.56913
-126.24683,97,20.875287
-331.60823,116,21.092667
-84.128723,62,21.213257
-173.761263,100,21.416311
-131.458425,94,21.588332
-84.360548,58,21.69785
-116.001137,78,21.843597
-87.700041,84,21.991664
-96.415298,71,22.1191
-134.509105,115,22.320866
-272.307294,80,22.468381
-14.751494,69,25.780601
-76.014124,112,26.260131
-157.798189,103,26.625827
-92.4681,69,26.809979
-79.613231,70,26.972298
-108.009221,73,27.374429
-117.270891,108,27.809032
-220.959972,100,27.999756
-131.361388,90,28.17504
-71.24023,72,28.371185
-133.446788,111,28.882725
-310.585593,126,32.48578
-119.724986,87,32.834132
-145.20897,109,33.13489
-84.500846,75,33.285272
-69.777646,69,33.414669
-96.661405,122,33.647239
-87.70886,83,33.806893
-99.607466,79,33.974304
-109.237628,113,34.175359
-114.381429,58,34.269949
-111.753896,84,34.430836
-84.466415,119,38.663359
-81.051052,78,39.764723
-104.516325,126,40.015842
-167.478083,98,40.19216
-46.531914,62,40.302919
-100.84022,65,40.415513
-92.871909,69,40.521576
-88.421854,63,40.635583
-172.939703,113,40.863632
-107.08049,81,41.019731
-78.078005,71,41.266853
-105.144317,95,41.588703
-336.553189,89,45.781333
-84.708939,135,46.077884
-53.260283,76,46.228496
-128.87693,99,46.53224
-141.587174,105,46.768331
-125.368822,99,47.164322
-103.391541,102,47.469471
-73.656442,73,47.685223
-113.857085,114,47.986622
-172.501733,84,48.159604
-116.369078,96,48.344029
-146.713967,101,52.317701
-83.441989,72,52.6214
-66.322071,83,53.029229
-81.717283,112,53.408697
-127.637667,68,53.597262
-116.002233,104,53.821019
-105.138073,111,54.157633
-74.864574,76,54.447224
-102.139335,104,54.900438
-65.880849,88,55.194372
-85.713506,57,55.360966
-136.716673,124,59.527349
-85.331459,75,59.748349
-152.061929,83,61.486712
-107.143969,84,61.82643
-96.430487,94,62.125011
-95.941386,88,62.239984
-81.532416,68,62.353616
-97.248592,114,62.684181
-140.805769,104,63.094587
-39.741254,121,63.519785
-68.039955,84,63.765541
-95.147422,74,67.265456
-107.155381,84,67.607719
-113.194057,81,68.085459
-82.762895,82,68.347474
-60.500928,82,68.777911
-53.19031,75,69.059996
-82.365331,79,69.246118
-71.148514,111,69.54764
-89.092339,109,69.79833
-110.141501,109,70.195828
-80.53421,105,70.458417
-104.85664,98,73.302443
-158.851092,124,73.768505
-145.176381,76,73.887249
-49.547149,113,74.056248
-59.52821,82,74.227561
-56.60158,82,74.417391
-53.036446,78,74.681199
-99.638434,111,74.9775
-88.097132,108,75.234629
-5.939313,128,75.478995
-82.443657,68,75.618358
-75.175258,104,77.484945
-111.102928,110,77.612408
-79.456246,96,80.52526
-90.179728,72,80.674223
-31.452234,71,80.773533
-92.119859,104,80.910467
-74.742178,98,81.039805
-54.170746,94,81.183457
-39.271721,79,81.298845
-117.261337,98,81.431734
-46.387896,81,81.548414
-79.753439,104,83.548993
-69.293179,80,83.647849
-44.385843,114,83.860135
-146.646823,122,84.136625
-88.42965,86,84.339413
-57.287412,100,84.713229
-4.57767,90,84.967343
-72.623593,87,85.11145
-49.447854,118,85.51986
-25.831033,80,85.88215
39.507836,133,88.878604
-38.009915,104,89.039312
-129.240978,105,89.164789
-85.865934,99,89.301611
-54.644152,101,89.450655
-9.438096,96,89.588673
-132.315406,118,89.76673
-15.828884,119,89.963642
-52.814832,107,90.130505
-51.998186,118,90.325814
-54.462236,138,93.541253
-31.518067,95,93.955648
-53.593903,117,96.493967
-26.867342,100,96.654529
-36.252531,79,96.764743
-52.14066,93,96.882881
-83.969629,100,97.004687
-60.480043,99,97.155666
-35.189611,117,97.358869
-2.982795,143,99.253148
-25.867212,134,99.651757
19.699428,129,99.826268
-49.710559,81,99.935922
-34.311918,90,100.067198
-44.759311,107,100.381571
-49.15499,80,100.763508
-25.167053,147,101.261801
-3.614936,108,101.539454
-35.994381,89,102.008626
15.574956,99,105.323194
-34.155178,138,105.715707
19.547669,120,106.002741
-12.10556,135,106.644798
-45.723208,133,107.059561
-22.387637,128,107.384416
-18.103981,93,107.682894
-1.876057,135,108.077402
-17.534075,124,110.874532
-54.226006,120,111.113233
-140.904987,150,115.885515
-2.432435,117,116.217268
-29.427523,136,116.549498
13.547889,112,116.766225
-145.333812,207,117.070513
4.523766,138,118.961073
-14.771734,128,119.14226
-37.055034,108,119.303485
-27.750032,102,119.454573
-56.641457,109,119.583146
44.186218,106,119.71276
15.129466,119,120.00257
-31.316288,92,120.517157
-8.234475,123,121.029285
-17.007086,117,121.337472
-0.782534,126,124.15815
-44.012144,122,124.304931
-20.420968,118,124.444091
-44.223398,99,124.561968
21.497206,113,124.696109
-10.795221,127,124.854539
79.596841,1000,132.18813
-49.91109,144,132.395973
6.403795,116,132.542158
6.858499,156,134.534455
6.573884,154,134.724303
138.242577,1000,140.29583
-9.70518,111,140.443762
94.507292,1000,144.528028
12.464943,149,147.918256
72.456484,1000,150.850682
28.352944,110,150.98736
14.06549,149,151.189224
-5.491772,131,151.373887
50.807902,147,151.582204
-3.285095,105,155.800983
20.420184,137,155.981632
20.055287,134,156.146613
80.856903,1000,160.045318
3.199174,109,160.234306
-8.144587,146,163.92154
-29.232066,103,164.074127
158.651703,1000,167.184645
22.648568,112,167.367506
169.648741,1000,174.068267
-30.612016,133,174.431839
-16.645225,152,174.929441
127.196026,1000,185.168522
27.068522,1000,191.108187
32.394143,179,194.983158
25.967086,1000,200.53697
178.632551,647,204.95133
171.580213,1000,209.991628
-100.047651,235,210.71961
194.576176,1000,214.39305
141.835764,1000,219.242948
139.815535,1000,224.040579
131.040554,1000,228.592837
106.617271,1000,234.750275
23.130666,191,235.321625
116.393754,1000,239.229775
120.576363,1000,243.66144
2.863179,140,246.140957
30.995433,143,246.407935
244.420207,784,249.673956
167.336175,1000,252.590387
172.373781,1000,257.789339
-112.106414,400,261.156454
63.011211,1000,267.216735
-161.351932,357,267.670341
220.457926,445,272.310716
264.988057,965,276.759159
35.572957,162,277.012561
234.195501,516,278.259654
12.920048,166,280.832621
42.291589,168,282.657141
143.462883,1000,283.91683
256.945761,332,287.683563
213.379263,324,288.415331
-107.68418,410,291.129806
235.499127,311,292.246013
292.507985,765,298.278253
265.284074,763,300.486812
260.848148,411,304.077274
243.96222,243,304.574002
266.437369,236,305.286945
261.367661,233,305.759814
265.3867,244,307.717288
290.044709,369,308.151186
258.336821,262,308.467784
226.571207,337,314.133459
296.948317,319,314.550601
277.962423,217,314.796127
239.399664,374,315.257437
267.138442,229,318.431777
228.621349,387,319.621437
269.862066,419,320.490698
248.277308,272,324.704964
260.159017,261,325.442396
290.622388,259,325.995766
288.579156,393,332.139776
272.682147,381,332.61514
264.546234,323,332.99262
273.854296,254,336.3948
255.351711,273,337.289719
271.661416,275,338.387364
272.523169,472,343.032277
285.547247,318,343.711778
273.341013,274,344.938629
302.930178,377,349.504182
300.553544,266,353.319899
303.273586,256,353.993944
285.52329,388,354.650487
276.352598,219,358.407956
256.704799,243,358.810228
192.286762,933,363.247151
279.930645,258,363.550663
273.782693,290,363.909771
268.207272,244,366.866556
316.830264,225,370.335507
266.220715,238,370.635624
277.30935,508,374.351767
234.901368,289,375.224258
270.642508,217,375.709011
264.570651,286,376.254734
276.331308,300,379.864417
293.879894,245,380.26966
246.369763,233,380.634186
282.283139,214,381.066467
268.786301,310,384.246396
301.339133,277,387.111616
270.267566,346,387.585662
271.348236,321,388.033022
205.367242,909,390.926126
270.893669,238,394.963906
275.920343,211,395.245304
-89.540021,411,395.74999
305.712345,258,396.113228
307.577815,294,400.220568
312.844843,286,401.21967
310.611988,222,402.144581
26.568863,195,402.508643
254.542962,220,404.86285
277.499437,214,405.730755
303.420201,227,406.386074
255.633298,205,406.696162
287.63953,306,409.536358
296.544628,277,409.870136
277.460616,230,410.149429
285.58965,215,410.424057
269.208672,225,410.826017
303.207856,233,414.03825
293.975846,219,417.263402
258.368799,255,417.666947
280.284221,222,417.949831
284.695219,260,419.982005
269.65063,257,420.353443
314.961274,261,420.688923
266.419585,310,421.510221
316.590534,257,424.999213
292.429776,416,425.51511
291.583978,244,425.811308
259.716146,268,428.613265
295.82078,216,431.860182
292.656542,248,432.372716
272.676091,282,432.750903
314.370488,200,435.033971
310.255563,256,435.373272
295.140277,236,435.835429
263.310547,361,436.983111
281.493472,249,440.588333
247.08564,303,440.943873
285.345842,204,441.188131
289.825924,284,441.529325
243.600888,411,444.572277
271.112883,309,447.301645
296.274733,206,447.561604
257.475114,364,449.715443
310.07551,275,450.075583
277.602311,226,450.379835
292.474691,205,450.640353
262.980836,236,455.051138
268.341536,227,455.397333
310.867748,239,455.726934
84.481476,158,455.928794
296.840849,181,456.190216
309.10151,336,458.999462
63.416486,116,459.15608
314.74592,260,462.581067
304.900561,240,463.048727
264.186233,304,466.331123
277.564741,205,466.952134
259.558835,195,467.417297
87.928143,147,467.922394
35.363042,130,468.361627
291.348786,186,468.807217
259.120303,243,471.532911
284.876342,235,471.81702
283.149843,229,472.083059
304.307634,236,472.400196
281.864115,222,475.384303
268.616292,214,475.668808
270.093358,210,478.451002
257.253126,308,479.313581
299.275853,346,482.081127
277.319601,192,482.35019
295.534151,254,482.799199
301.218006,237,483.451311
271.682053,210,483.921446
260.970876,321,488.002012
288.143097,239,488.348939
266.666635,189,488.618102
255.192423,241,488.99937
268.440235,214,492.97315
263.66722,196,493.588819
261.37313,205,497.433654
264.614086,204,497.732921
293.869744,201,497.982173
256.126923,225,499.897383
293.77046,185,500.133731
276.274224,198,500.375762
300.244235,276,500.738241
298.627859,220,504.860093
260.540393,206,505.195171
294.452132,214,505.469443
282.165218,244,505.776226
310.81437,293,506.150464
