#{"t_start": 1770518236.5166929, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-278.902732,118,1.099021
-108.882989,87,1.178591
-140.826833,80,1.24875
-184.324967,106,1.339864
-62.644369,62,1.391919
-123.937133,65,1.448974
-92.343988,74,1.512802
-255.819797,128,1.62204
-93.763329,112,1.717351
-137.276185,66,1.77575
-213.248269,89,1.858569
-151.721798,103,3.43542
-89.924853,66,3.487198
-189.344737,117,3.579857
-276.325834,110,3.666819
-121.7451,87,3.735679
-103.077539,65,3.789411
-170.396934,64,3.841095
-255.223192,75,3.90335
-258.617832,110,3.995292
-107.653775,99,4.077082
-122.142074,72,4.139037
-124.728566,83,4.212317
-69.884478,65,5.70109
-100.038144,114,5.793507
-115.346597,76,5.855222
-75.873956,61,5.903842
-143.357276,57,5.95097
-125.127658,82,6.019745
-174.046302,142,6.144545
-130.062849,104,6.23469
-85.492982,69,6.292719
-92.432258,64,6.346223
-161.455585,136,6.463127
-86.413915,70,8.693471
-93.462266,64,9.643672
-100.434275,65,9.704571
-132.383203,74,9.774754
-231.486552,95,9.864896
-146.722776,81,9.936545
-85.625162,111,10.032545
-97.486758,76,10.098347
-131.120823,99,10.185643
-69.83642,113,10.285562
-96.681271,66,10.341656
-133.743363,132,10.458395
-117.395691,73,12.711611
-141.276223,84,12.785249
-115.610471,79,12.856245
-78.308073,82,12.92989
-122.530989,95,13.012036
-124.223195,101,13.103393
-9.703483,82,13.174737
-135.963976,90,13.253364
-52.896068,64,13.312942
-99.549255,64,13.367795
-92.31023,79,13.435706
-139.44792,105,13.526115
-118.914749,82,15.914429
-91.833953,77,15.992571
-101.471201,101,16.085654
-99.278327,78,16.156192
-127.200041,87,16.233989
-134.151045,96,16.324656
-131.616524,84,16.400983
-98.250417,100,16.492049
-88.20327,79,16.562354
-98.338337,103,16.653856
-371.957243,112,16.802063
-177.17962,85,16.962039
-87.053989,59,19.979182
-64.653214,131,20.866018
-100.274487,70,20.924207
-108.508525,110,21.02197
-105.463669,67,21.082449
-65.26268,68,21.144798
-123.252137,77,21.216752
-125.417774,85,21.288345
-122.189723,91,21.366701
-126.355302,83,21.473252
-96.718264,71,21.582889
-115.071466,69,21.672959
15.606698,122,24.959552
-67.401944,75,25.123396
-120.059529,99,25.302078
-82.193686,124,25.52915
-63.018416,85,25.771271
-102.829428,86,25.87072
-112.435633,116,25.980166
-124.295985,77,26.053084
-192.923299,98,26.143707
-82.024504,80,26.215644
-113.637404,95,26.299721
-86.910136,74,28.611948
-110.311251,98,28.850419
-90.810135,135,29.056918
-112.244495,122,29.172822
-74.501105,83,29.24823
-78.600179,73,29.317122
-124.353869,85,29.398034
-73.314106,61,29.453376
-59.918472,69,29.515352
-83.636398,97,29.59974
-63.144224,98,29.686622
-121.314168,75,32.048849
-99.407813,88,32.138462
-75.526109,121,33.183736
-83.746922,81,33.301947
-102.263014,85,33.449356
-109.207252,104,33.746472
-87.624521,88,33.900884
-95.198485,91,34.046832
-103.724304,99,34.190147
-91.519192,103,34.333337
-71.327505,65,34.434578
-127.63394,90,36.803151
-77.1426,73,36.960439
-29.408382,131,37.240717
-85.823915,114,37.350051
-102.946581,91,37.434133
-84.495037,91,37.518498
-54.393188,110,37.616485
-79.899274,63,37.67123
-111.2767,105,37.769486
-95.732216,109,37.869834
-106.72413,76,37.937587
-105.974048,116,40.371078
-66.998192,86,40.452307
-82.99854,97,40.535977
-82.128072,96,40.630153
-107.944953,102,40.818989
-46.409774,88,40.969072
-55.431538,118,41.149771
-84.406939,66,41.389519
-90.650794,81,41.522836
-119.126725,91,41.729399
-89.9184,73,41.873475
-41.442815,116,43.847004
-212.001877,109,43.990926
-108.013476,101,45.715599
-22.813006,119,45.820705
-77.422904,117,45.922221
-74.185954,95,46.005646
1.299074,72,46.067393
-78.055914,115,46.165319
-38.602556,125,46.27578
-85.339291,96,46.35959
-28.841989,123,48.696619
-80.733592,118,48.809359
-30.481736,105,48.904996
-49.443435,83,48.977986
-32.69155,125,49.138163
-91.424128,93,49.279606
-55.986833,74,49.386393
-110.554496,111,49.547407
-90.606123,86,49.807718
-55.475418,137,51.894809
-43.475496,88,52.000117
-38.050349,88,52.110481
-15.202069,116,52.364656
-76.295332,145,52.605157
3.382096,80,52.734636
-15.12941,80,52.84897
-35.966234,86,52.956759
-84.990444,111,53.103551
-77.438101,124,53.315589
-48.310361,126,55.685633
-33.02787,95,55.771099
-39.028262,86,55.845373
-58.56491,91,59.428205
-93.556058,123,59.640897
-28.879136,89,59.776932
-71.003184,124,60.022648
-65.819708,116,60.131167
-41.363357,86,60.21005
-46.399007,115,60.314604
-23.714007,76,62.533508
-24.259276,101,62.659795
-54.879597,89,62.742014
-66.573349,116,62.844502
-45.698258,99,62.935075
-57.648273,66,62.995021
-54.076266,74,63.059878
-78.640265,101,63.146851
-40.353299,120,63.258084
-31.990457,118,63.365702
-56.572593,125,65.707848
-39.687077,99,65.79415
-43.862939,92,65.870163
-16.070182,105,65.965882
-41.96184,104,66.093986
-26.97794,116,66.248873
-39.813744,109,66.390368
-44.654925,113,66.553333
-81.42673,111,66.845234
12.12306,1000,75.985168
-44.122972,106,76.134971
9.559772,131,78.66179
-59.382452,111,78.835235
-24.662976,98,79.051709
-8.313687,124,79.294595
-10.902013,142,79.509148
0.762028,111,79.675723
-9.006881,92,79.799837
-5.513694,116,80.049259
-5.322187,114,80.156136
-18.846928,104,82.36006
-8.749164,78,82.468688
72.012216,1000,86.094483
12.01698,102,86.279153
-20.482947,89,86.358883
-20.076999,162,92.087206
-24.637353,122,92.214243
-56.704564,87,92.332577
-27.799013,101,92.490443
31.765016,92,92.599895
23.019449,110,92.756997
-50.230405,120,94.891414
0.694636,146,95.054344
11.968489,89,95.150671
27.832295,128,95.356249
-17.438301,133,95.558479
-3.585608,137,95.752986
-45.618885,110,95.94224
11.149199,83,96.253844
-46.395775,104,96.494369
2.716668,116,98.948776
35.160823,116,99.19956
-40.780183,142,99.331221
-36.110659,126,99.439528
-17.823443,115,99.535418
2.641765,125,99.643506
14.76803,100,99.731439
28.582645,93,99.812124
7.467489,120,99.917621
-27.218358,135,101.457341
20.741575,139,101.564342
38.248805,119,101.656225
22.705785,109,106.795487
3.028446,109,106.950642
-9.942593,132,107.168854
31.108996,124,107.346838
36.602475,119,107.5303
1.304717,112,110.37753
92.949486,1000,113.521293
7.341117,125,113.669166
52.64512,196,114.023024
14.171605,109,114.17176
-21.142546,139,114.415765
-6.258419,122,114.591995
-35.252044,121,114.74882
112.352287,1000,122.354628
18.419298,123,122.451929
112.129806,1000,125.030316
138.652826,1000,128.705402
-62.294767,378,130.437816
-17.89356,135,130.541083
-5.251832,172,133.568164
17.584605,161,133.707364
26.602695,149,133.835889
44.982874,1000,136.057366
101.893814,1000,139.023028
247.425403,248,141.210899
13.051464,149,141.45331
135.798377,1000,147.116764
34.967532,139,147.227435
129.79853,1000,150.032507
74.694518,1000,153.631121
162.404187,422,157.122921
-191.120675,346,157.505727
106.384465,1000,161.070496
231.992792,515,163.567621
262.682428,644,165.531263
276.658573,508,166.187135
244.41571,264,168.855039
261.13639,354,170.563773
254.659144,235,170.745462
247.891434,374,171.030358
261.113778,271,172.753068
216.143102,269,173.305347
238.797404,328,173.814087
262.95284,439,177.108853
292.279144,457,177.632019
229.118655,234,180.793213
260.50595,330,182.525896
299.160094,284,182.827373
243.272465,275,183.294643
145.801534,479,186.30751
197.499634,763,187.456243
275.500907,673,189.752624
189.559955,342,193.738482
3.00767,162,194.012305
-86.509744,368,197.487081
282.831869,651,198.145197
273.430497,307,201.301756
275.506515,265,201.566319
281.869891,248,201.775921
229.882611,279,203.64724
240.421223,303,204.23286
209.15861,338,204.671137
