#{"t_start": 1770517275.45742, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-414.064546,99,0.828951
-242.663657,73,0.890524
-50.656221,60,0.9405
13.894523,61,0.993684
-376.589807,104,1.083468
-167.126211,65,1.138721
-94.19342,107,1.229891
-156.642715,79,1.297948
-387.876497,101,1.383669
-107.418425,55,1.432409
-239.128033,103,1.520737
21.282564,128,3.27396
-72.961933,82,3.344392
-126.919787,76,3.409045
-133.619524,58,3.456373
-106.233427,74,3.518285
-129.537838,88,3.59172
-122.48739,68,3.650113
-146.55125,82,3.71917
-287.432403,79,3.786212
-113.74542,69,3.847567
-85.886377,80,3.915824
-245.638523,82,3.987677
-268.18112,98,4.07388
-180.779457,111,6.568928
-111.492877,73,7.029155
-89.340432,65,7.261397
-155.194639,88,7.418729
-103.317476,70,7.563308
-124.869919,80,7.82101
-115.661069,102,8.002978
-340.15044,99,8.258345
-65.569068,64,8.35624
-98.554199,85,8.504289
-110.229404,113,8.641658
-155.567173,111,8.748011
-149.638445,78,10.928167
-89.01268,75,11.878394
-58.736197,69,11.946426
-141.520948,79,12.026227
-96.44008,112,12.129315
-63.344471,59,12.181875
-128.4317,110,12.281003
-196.185249,73,12.347519
-95.622257,71,12.410154
-172.203668,109,12.506813
-102.977626,57,12.559726
-60.187822,66,12.619349
-82.14519,75,12.690049
-95.938098,90,15.225324
-162.220008,79,15.29509
-5.671886,94,15.37554
-127.00339,105,15.476497
-123.539095,98,15.563535
-96.068806,72,15.627163
-232.102314,108,15.718297
-105.830385,66,15.776821
-186.55005,84,15.851666
-122.553501,113,15.949662
-89.598572,64,16.003984
-93.006663,66,16.062354
-125.605249,75,18.303711
-113.08169,94,18.481692
-37.763899,70,18.798108
-53.759663,83,19.015476
-111.612162,68,19.128849
-73.849611,69,19.198897
-109.423487,93,19.290308
-122.946327,91,19.377016
-90.116487,63,19.437786
-59.042807,70,19.502698
-69.352802,99,19.594887
-101.638825,89,19.679544
-121.764527,73,19.747032
-141.699699,110,25.505249
-126.722017,94,25.61893
-107.702428,78,25.690999
-56.245989,67,25.75363
-108.26983,72,25.817389
-96.521288,87,25.940558
-137.437111,115,26.088185
-76.179134,92,26.207223
-53.799234,63,26.328198
-90.82461,72,26.434029
-121.933756,91,26.569456
-158.281516,92,29.450403
-70.48365,97,29.653862
-81.190719,77,29.794609
-98.231746,107,30.006219
-42.461252,118,30.284028
-61.952513,74,30.354918
-20.59288,82,30.431235
-106.934501,74,30.496465
-102.410816,100,30.584944
-100.147362,74,30.651438
-51.119334,84,30.725615
-87.511483,112,30.82708
-67.998245,64,33.212008
-79.228724,98,33.300293
-35.337157,70,33.361747
-82.308257,95,33.443904
-162.780854,116,33.546243
-74.025798,131,33.661309
-74.342631,64,33.717233
-122.199411,88,33.792793
-64.619023,85,33.866594
-100.756941,87,33.945137
-77.158035,92,34.025999
-68.816245,122,36.475802
-80.642606,92,41.462295
-81.590066,104,41.590109
-84.061434,123,41.707597
-56.028889,115,41.882987
-71.252405,94,42.009698
-39.362976,86,42.182388
-159.446036,120,42.356462
-107.778467,95,42.509443
-46.216051,102,42.804993
-113.590691,112,45.497122
-72.082468,89,45.654367
-42.965607,115,45.865252
-73.913891,86,46.0348
-26.149222,116,46.278864
-78.675195,100,46.373297
-41.632182,121,46.488575
-64.75462,73,46.554969
-81.05335,103,46.651641
-64.670771,107,46.751927
-53.02427,71,48.940248
-60.691695,114,49.137914
-94.140907,98,49.391445
-41.254222,86,49.486148
-39.680697,111,49.592804
-39.412655,83,49.669487
-55.945979,98,49.761664
-40.598092,77,49.837763
-86.270497,117,49.943013
-48.630488,70,50.008468
-24.217738,128,52.592265
-32.863642,101,52.788184
-102.300766,123,57.977073
-27.353806,127,58.091359
-16.112064,130,58.297222
-100.038501,91,58.437939
-73.113372,66,58.530053
-37.328056,126,58.790054
-71.792595,90,59.017189
-27.891629,126,59.268137
-64.259462,120,61.408561
-56.910831,86,61.550352
-36.592618,89,61.812297
-40.137413,107,62.017123
22.258788,85,62.231517
-74.021937,118,62.444353
-59.516109,90,62.694277
-11.853941,106,62.91302
-36.463008,87,63.031616
6.848197,87,63.118005
8.927416,84,63.21604
29.359584,111,65.832162
27.637281,152,66.060641
-49.459909,110,66.329879
-6.518937,107,66.489146
-87.185235,79,66.626042
-43.744832,73,66.813802
16.466894,145,67.173878
-41.421094,84,67.349431
-69.354074,121,67.566188
6.567916,147,70.809685
-23.801092,128,71.019963
-60.871981,109,77.464251
-14.679523,109,77.642317
-15.019163,124,78.041923
-57.511189,110,78.242538
0.349065,137,78.560358
-4.092876,119,78.935471
-35.082295,148,81.498416
-31.125601,114,81.609601
-3.660111,167,81.823531
