#{"t_start": 1770503382.553907, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-47.557529,124,0.901163
-98.01527,65,0.955223
-317.777864,95,1.036254
-164.495402,90,1.110793
-146.586617,86,1.189109
-228.756469,100,1.279655
-174.03188,77,1.346352
-144.91007,98,1.432124
-224.343108,88,1.509781
-113.682885,85,1.585404
-85.337579,60,1.638759
-23.813565,100,3.534057
-80.749358,69,3.596711
-88.458027,87,3.670035
-233.063039,80,3.736974
-97.815343,114,3.834986
-23.392417,77,3.902997
-95.945339,71,3.965129
-310.731252,87,4.04293
-58.196415,67,4.102283
-118.569554,98,4.19245
-140.036465,104,4.287896
-115.493183,80,4.360826
-114.029469,82,6.16988
-146.355515,102,6.259839
-122.527239,96,6.344589
-91.192968,100,6.432122
-47.296661,108,6.579345
-93.716143,69,6.721918
-75.957609,65,6.800382
-96.451568,88,6.908984
2.173764,122,7.117024
-56.199325,65,7.224308
-85.478681,90,7.409805
-113.222508,83,7.751806
-113.080948,101,11.974016
-182.97383,106,12.246077
-154.252894,79,12.425593
-94.564158,86,12.593624
-128.065846,77,12.744722
-108.410858,75,12.857467
-113.123225,88,12.990014
-10.98864,80,13.189369
-94.861563,89,13.284763
-153.612678,96,13.377168
-184.960014,108,13.492147
-87.836829,102,16.08452
-69.638684,62,16.276906
-90.789662,112,16.390808
-83.323819,80,16.46695
-136.467203,65,16.528791
-79.381898,62,16.587288
-98.082983,70,16.651028
-79.383552,100,16.744335
-105.901428,65,16.80429
-89.220986,78,16.876243
-93.581726,76,16.94645
-106.088162,88,17.02644
-103.279558,81,17.099458
-79.191965,59,19.243287
-194.239794,104,19.53369
-131.106727,78,19.725645
-152.487357,80,19.898811
-79.996188,105,20.125218
-120.981923,95,20.320112
-104.556157,85,20.540659
-128.671973,102,20.686757
-86.343661,74,20.762091
-207.514732,109,20.875355
-101.063761,71,20.946712
-103.186703,74,21.027583
-195.867492,112,22.901392
-260.917201,130,23.949395
-9.509886,93,24.095012
-82.666902,78,24.382128
-74.117708,64,24.499828
-47.624173,74,24.735787
-144.651568,131,25.041677
-133.869941,113,25.234701
-140.106514,113,25.517158
-130.110361,99,25.62497
-96.643366,83,28.369591
-132.574181,99,28.46734
-46.28823,72,28.537239
-145.672065,108,28.642129
-105.512945,126,28.760889
-282.159827,117,28.873414
-99.417895,78,28.944999
-110.77074,111,29.094581
-114.799402,75,29.234
-10.787975,121,29.425195
-112.924157,94,32.165214
-51.858206,69,32.26432
-24.716585,93,32.39536
-50.867766,71,32.582916
-48.923306,99,32.791773
-175.56024,101,33.115828
-112.984095,84,33.251134
-84.720442,82,33.420071
-122.509533,87,33.576496
-70.060533,93,33.719887
-60.080229,69,33.842415
-99.416204,105,34.015799
-113.629861,111,36.928653
-85.394201,106,38.887159
-79.277664,94,39.09776
15.083194,101,39.297692
-115.356113,131,39.519253
-98.185857,101,39.777937
-71.753328,103,39.883986
-30.541472,101,39.992332
-62.655565,83,40.074349
-70.157818,110,40.184124
-63.253606,94,43.705986
-98.938613,76,43.83211
-21.722205,113,44.007229
-64.256612,69,44.119636
-44.860708,108,44.4059
-77.281116,92,44.608549
-105.597223,87,44.752934
-61.589383,81,44.875374
-64.030814,108,45.200164
-38.231534,100,45.347083
-44.677304,120,47.925265
-99.007921,79,48.01966
-74.581537,85,48.100454
-20.667019,99,48.194826
-102.762466,149,48.334474
-69.848172,72,48.400659
-42.614296,105,48.498149
-9.758445,77,48.572068
-85.405643,114,48.679435
-95.77867,98,48.768311
-39.204965,101,48.871123
-71.750971,78,52.196396
-62.822776,98,52.36041
-50.947817,100,56.283241
-63.048921,107,56.644274
-93.578117,127,56.862338
-195.48512,125,57.117466
-117.813539,98,57.286293
-74.976598,124,57.492078
53.654442,1000,61.159916
-22.640756,93,61.255122
-27.80998,91,61.343189
-16.043923,112,64.647888
-48.870127,104,64.738229
-65.169431,108,64.846131
-28.396099,95,64.990777
-24.685935,117,65.152004
-72.50733,88,65.288831
-32.048394,111,65.598191
-53.850231,80,65.747702
-33.696195,102,65.910148
-50.852919,102,66.064036
-66.941048,88,68.896729
-17.275811,123,69.009131
11.06776,138,72.656285
-36.213882,130,72.882638
-56.933483,90,73.013344
-23.45779,116,73.206762
7.739597,104,73.497673
-14.683098,95,73.714012
-62.458036,77,73.878971
-38.288699,108,74.078638
-3.419638,133,76.973666
-33.744085,111,77.079297
-41.773998,108,77.176108
17.148093,123,77.318833
-1.787347,131,77.478456
15.272139,84,77.589658
-8.764373,95,77.726538
-6.415505,109,77.984562
0.502353,86,78.098084
-37.952038,139,80.916834
-51.014345,100,81.125265
20.640884,138,81.283057
12.390897,141,81.423562
-58.013573,138,81.574687
-31.736335,127,81.697198
3.38521,140,81.821737
19.497531,123,81.93078
87.257772,1000,90.106337
-7.163099,127,92.493412
-21.415824,68,92.548639
24.783939,155,92.681277
-20.167763,128,92.788137
25.375313,136,92.951352
16.087225,111,93.094322
131.807255,1000,97.169737
-10.408875,113,97.318977
31.400796,134,97.62126
16.390654,149,100.037252
12.928114,118,100.196817
-14.512061,161,100.40791
14.229923,131,103.292619
-49.321517,124,103.399
-112.328174,193,103.56338
-28.627037,118,103.665873
-89.24209,637,105.912454
125.436528,1000,110.412021
-67.884678,124,110.521682
-8.934282,168,110.675133
-29.224725,150,110.80454
139.957839,1000,117.842993
-14.35445,136,117.96289
114.381801,1000,121.652758
121.492497,1000,125.906062
18.021421,179,129.740825
26.740667,187,130.040632
26.058997,1000,138.546714
-0.176473,165,138.681313
42.163849,142,138.795486
-10.862621,165,138.928631
157.271257,1000,142.459694
