#{"t_start": 1770496653.367705, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-141.424365,101,1.342294
-193.782405,76,1.410137
-224.220739,122,1.52142
-244.99142,82,1.597052
-166.234392,60,1.654505
-132.446378,92,1.741013
-263.853049,89,1.825037
-213.65936,111,1.928257
-318.83755,102,2.027801
-100.323061,74,2.096958
-162.413655,68,2.16074
-117.105134,108,4.274409
-116.680778,59,4.332284
-134.661548,102,4.432173
-135.029022,62,4.49196
-119.314375,69,4.5578
-135.868333,97,4.650487
-311.032105,130,4.780496
-123.30006,89,4.867
-388.015075,133,5.00022
-127.663774,82,5.081489
-164.098107,76,5.163013
-132.026527,100,9.422224
-155.44987,110,9.676808
-226.091129,129,9.905406
-258.855996,121,10.303301
-89.524373,64,10.413667
-197.206965,109,10.628291
-140.140331,85,10.772502
-120.796561,89,10.93948
-246.982669,127,11.17273
-96.791216,70,11.293113
-244.464874,133,14.628015
-135.540319,70,15.423305
-73.762685,97,15.52401
-89.535296,98,15.624454
-95.470177,91,15.717537
-145.389252,72,15.79447
-88.184115,86,15.881661
-124.060901,90,15.981376
-210.791943,119,16.111955
-175.474843,83,16.203806
-120.001102,84,16.293366
-61.292357,58,16.355486
-105.524019,119,21.297915
-115.413198,137,21.510671
-157.303886,99,21.627841
-137.729465,91,21.731338
-148.674236,112,21.858045
-44.406715,65,21.930481
-119.595781,78,22.016059
-117.306933,104,22.125502
-122.877404,79,22.211328
-29.581859,67,22.283342
-56.820737,94,22.390445
-104.849317,85,25.613653
-88.753944,84,25.690984
-146.963967,104,25.787665
-76.879166,92,25.870565
-122.121737,92,25.957457
-101.652128,93,26.046527
-69.950152,74,26.115611
-105.08341,79,26.193899
-148.252254,91,26.308536
-111.576306,94,26.422784
-112.627649,94,26.562093
-118.120572,83,30.58359
-81.370568,110,31.757717
-88.936228,70,31.846028
-113.433784,94,31.950398
-151.97282,90,32.040407
-67.422314,67,32.140792
-92.762445,115,32.355645
-100.074035,101,32.540916
-327.993614,112,32.728534
-128.716764,88,33.033941
-97.879494,79,33.198049
-184.69746,89,36.670734
-141.621982,95,36.951655
-146.736563,134,37.136202
-142.501392,92,37.243243
-160.416132,77,37.326982
-62.480834,75,37.402345
-106.614404,75,37.535795
