#{"t_start": 1770325047.4200928, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-331.803412,131,1.036716
-114.787546,119,1.112331
-67.502173,100,1.172737
-298.585613,126,1.258199
-160.15042,124,1.337987
-59.806932,80,1.393659
-251.523031,83,1.44864
-387.655112,209,1.588979
-150.23469,109,3.262455
-145.178303,104,3.4036
-391.027596,98,3.542979
-153.862858,113,3.709509
-146.039386,106,3.823855
-646.398342,102,3.931521
-62.386203,87,4.02692
-98.134884,73,4.111908
-69.633893,94,4.191113
-390.839945,104,4.273932
-108.196642,105,5.944195
-52.866567,79,6.062371
-118.400126,113,6.194064
-51.793313,75,6.274274
-91.135514,101,6.369933
-173.672917,117,6.484945
-99.774746,86,6.563198
-191.392219,149,6.671482
-154.916018,112,6.753197
-111.668224,134,6.849018
-73.353817,156,8.968024
-70.110616,87,9.09419
-86.763635,88,9.261833
-87.883489,134,9.410899
-190.60641,126,9.556442
-118.966671,95,9.643326
-69.153244,118,9.750909
-49.5468,134,9.873583
-70.815021,123,9.956262
-98.497055,139,10.914388
-267.538655,175,11.094465
-16.625709,160,11.288074
-322.443529,188,11.54937
-109.612027,145,11.892146
-37.617141,195,12.156832
2.98636,171,13.945889
-114.819526,152,14.069258
-131.02512,153,14.349443
-66.620324,104,14.561208
-36.768474,161,14.742468
-58.012673,150,14.893626
-84.883864,398,17.52005
-1.411277,158,17.639003
-36.469549,123,17.727083
-23.852822,123,17.814476
-52.323349,163,17.928466
-25.402147,148,18.021422
-10.890677,123,19.163984
-16.53592,127,19.255717
-63.997038,131,19.354016
28.36281,106,19.445168
-22.306381,96,19.531405
-43.495727,140,19.677264
-23.985058,215,19.835104
-49.629977,152,19.931408
-53.41948,113,20.834373
-50.406912,190,20.940205
-71.979073,106,20.999279
36.684893,159,21.091647
-50.765097,118,21.160991
22.17234,173,21.345139
34.271982,175,23.563985
6.754641,151,23.900843
-5.408598,113,26.108171
10.627279,159,26.396002
8.577591,161,26.561738
26.5416,174,26.721291
-8.15018,224,27.037799
45.713015,178,28.911252
-8.51492,191,29.063894
18.261814,131,29.260046
-48.72369,227,29.459659
2.780628,1000,32.213965
59.37802,1000,37.579235
-286.697789,350,37.944946
-13.77351,167,39.490617
68.852906,1000,41.655271
23.997534,176,41.78386
75.397804,1000,44.942626
47.160794,164,45.042942
82.779912,1000,46.458204
