#{"t_start": 1770349373.40881, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-96.597231,125,0.800146
-469.712773,110,0.875419
-334.800346,91,0.920823
-69.945777,86,0.985399
-227.95377,147,1.086218
-114.213666,75,1.12489
-339.065909,133,1.284018
-58.555387,88,1.741393
-387.212676,144,2.414645
-352.50675,177,4.154656
-259.533029,117,4.242547
-176.159759,105,4.31439
-244.328429,104,4.393938
-295.80628,143,4.502085
-141.205503,137,4.617639
-510.566574,108,4.703148
-475.399557,130,4.80679
-59.948322,93,6.29775
-59.122942,72,6.448519
-242.250148,145,6.705619
-73.681074,145,7.061999
-56.068794,73,7.124235
-239.679713,75,7.175589
-78.692049,121,7.303696
-95.43115,80,7.432466
-78.81617,153,7.605604
-173.283412,90,7.706017
-105.044055,132,10.18055
-266.405103,127,10.283267
-126.323686,145,10.391109
-155.103897,122,10.48285
-270.520239,112,10.563375
-0.876939,85,10.616295
-143.400651,116,10.703046
-101.077494,110,10.780835
-64.278604,67,10.823726
-242.976808,140,12.423401
-462.888987,154,12.569347
-190.005792,173,12.750158
-65.887094,158,12.873788
-108.073769,132,12.970819
-50.638178,84,13.025081
-133.97905,114,13.11685
-224.806794,120,14.084814
-57.03855,108,14.156197
-55.384564,101,14.21768
-53.520208,85,14.281312
-74.769487,169,14.391761
-176.528128,141,14.541047
-81.041979,91,14.660763
-20.217239,133,14.849048
-68.335722,115,15.053414
-67.693385,105,16.364163
-93.078258,134,17.857317
-124.408994,112,17.97271
-176.539081,93,18.072152
-74.21498,71,18.136904
-214.4307,211,18.335153
-69.889026,159,18.455331
10.427587,172,18.582163
-186.955111,86,20.175606
-66.906249,94,20.279339
-43.028779,116,20.390298
-13.258751,141,20.507151
-157.714727,115,20.595542
-144.991509,176,20.723913
-48.090569,97,20.801024
-39.018868,168,20.912434
-23.06472,170,22.906599
-89.930871,137,23.275328
-39.672289,117,23.51098
-22.182163,1000,27.16468
-12.838398,170,27.338564
-102.789145,120,27.435888
-70.874537,155,27.553716
-37.842137,98,27.632493
-35.692754,77,27.684032
-31.678603,155,29.208773
26.758899,120,29.3015
9.53543,177,29.609795
-54.156107,134,29.964064
-19.414462,157,30.159812
-58.714335,120,30.278023
15.368385,110,30.367364
-47.464715,161,31.491752
-8.964455,132,31.659253
-45.998231,136,31.873196
-13.203479,152,32.209138
0.424325,168,32.371466
-41.204585,164,32.497264
-17.52988,134,32.631153
6.311304,154,34.055254
-7.207039,97,34.282584
40.751878,110,36.846634
-53.294508,1000,38.809147
52.296191,165,39.045967
-23.176408,1000,41.90876
54.529671,1000,46.316062
35.005487,162,46.471067
93.623572,1000,48.779254
1.259651,1000,50.439979
16.7144,139,50.607045
43.181897,1000,55.375792
70.560036,1000,57.846144
46.187856,1000,59.713373
91.514399,1000,63.679132
63.60796,178,63.857626
-4.17031,179,64.153176
108.613977,1000,66.724899
78.593023,1000,69.585641
114.320536,1000,73.025932
111.149939,1000,74.43737
138.693462,1000,75.85461
109.142841,1000,80.135428
130.237542,1000,81.605258
132.136223,1000,84.173436
68.001194,1000,87.258619
103.875416,1000,89.532017
131.024988,1000,91.560744
164.298563,1000,95.277976
114.178639,1000,97.541561
232.458401,581,99.617639
163.348077,1000,102.301531
106.874004,1000,105.554763
153.631393,1000,107.710185
123.941413,1000,109.82747
132.160652,1000,112.542177
145.664544,1000,113.079045
172.966212,1000,114.415093
149.117647,1000,117.89991
140.127478,1000,119.275293
144.953021,1000,120.64348
175.400079,1000,124.589836
10.886791,218,125.937934
141.552936,1000,128.169801
120.710042,1000,129.895137
158.610769,1000,132.748423
149.014984,1000,133.274036
143.878857,1000,135.198957
168.974279,1000,137.819191
128.012737,1000,139.617789
55.990578,217,140.558599
217.531873,295,140.869244
149.958241,1000,143.385247
123.55549,1000,146.621119
50.105055,215,146.735953
16.286968,192,146.84593
251.093617,272,147.80009
155.668431,1000,149.821133
132.416067,1000,152.376096
135.850512,1000,153.728741
134.317117,1000,155.072626
137.551807,1000,157.306496
135.301819,1000,160.495479
16.546837,237,161.431373
128.987256,1000,163.323072
144.956808,1000,166.368368
151.277929,1000,167.789422
131.36521,1000,169.468049
148.865866,1000,171.747711
151.140444,1000,173.494888
114.173666,1000,174.845225
148.89173,1000,177.833755
143.522149,1000,180.425618
237.34461,419,181.937148
124.35679,1000,183.70009
46.3555,242,184.104272
47.753516,233,184.304422
148.46436,1000,187.720163
151.245298,1000,189.319228
155.667277,1000,191.538525
164.242401,1000,194.803579
158.884657,1000,196.609686
156.72212,1000,198.848759
126.483825,1000,201.997934
124.865863,1000,203.502243
118.777758,1000,205.958555
38.015908,222,206.248779
141.080531,1000,210.865254
134.609241,1000,212.414847
162.047957,1000,213.77612
165.56693,1000,218.290063
104.639263,1000,219.773176
145.524572,1000,221.730466
153.918249,1000,225.924353
144.333148,1000,227.28957
140.202929,1000,229.153072
152.627195,1000,231.318537
151.893932,1000,233.978496
132.184298,1000,235.945529
231.778074,525,237.999862
127.516161,1000,239.666938
132.860973,1000,241.243025
121.178144,1000,243.294141
123.576931,1000,247.007909
115.962821,1000,248.344069
152.941212,1000,250.12949
143.366647,1000,253.141463
159.475552,1000,254.542274
165.338089,1000,255.889723
136.029673,1000,259.053619
160.550616,1000,260.747044
187.143446,1000,262.719128
154.20556,1000,264.726635
150.117205,1000,267.019779
190.539777,1000,268.762505
178.17085,1000,270.958331
165.199646,1000,273.390541
163.810238,1000,275.510362
129.202936,1000,277.543508
138.052865,1000,279.920217
134.653184,1000,282.184685
198.575232,1000,284.149232
129.431279,1000,286.298956
178.924149,1000,288.224938
160.699312,1000,290.613733
195.137444,1000,292.714076
122.278478,1000,294.6285
183.998657,1000,296.741142
182.72646,1000,299.675228
199.216779,1000,301.19049
157.52139,1000,302.534588
130.712243,1000,306.238901
143.796666,1000,308.352047
47.480518,161,308.451535
184.155252,1000,310.435317
140.71527,1000,313.400868
182.212773,1000,314.983502
139.680444,1000,316.441177
56.703694,165,316.641898
185.615184,1000,319.804129
196.385101,1000,321.289567
183.07131,1000,322.667776
180.475312,1000,325.8347
62.315692,172,326.069795
150.507531,1000,327.779918
179.784418,1000,329.237034
159.462635,1000,332.12905
157.844592,1000,333.948495
169.567502,1000,335.917197
148.749164,1000,339.310318
189.091479,1000,341.522599
157.357602,1000,343.534805
166.981015,1000,346.320204
56.751254,173,347.49745
176.89955,1000,349.463876
181.961443,1000,352.029874
59.415679,140,352.113446
172.522327,1000,354.758862
140.141578,1000,356.515975
58.656858,156,356.624984
205.66078,1000,358.436017
145.608123,1000,361.54822
192.869961,1000,363.19252
168.928716,1000,365.805279
195.427645,1000,367.247216
180.341687,1000,369.313426
189.340862,1000,371.446834
168.684984,1000,373.474738
175.209151,1000,375.718237
162.65256,1000,377.865529
41.939506,146,377.958623
196.639786,1000,379.898987
149.632221,1000,382.184564
191.195357,1000,383.949111
163.693803,1000,386.079218
183.346305,1000,388.607296
191.082435,1000,389.979189
167.091873,1000,392.110019
164.346507,1000,394.505756
53.334415,147,394.580151
141.095148,1000,396.086274
153.016174,1000,398.819183
178.43114,1000,401.139599
93.859206,145,401.2213
188.377321,1000,402.962938
31.745376,167,403.065084
192.282839,1000,405.262507
170.705228,1000,407.403663
160.369394,1000,408.738823
168.317674,1000,410.897843
135.750928,1000,413.575162
60.50164,155,413.660407
188.273541,1000,415.655451
183.337953,1000,417.688842
155.472649,1000,420.106214
140.039725,1000,422.587838
131.541011,1000,424.992157
180.120686,1000,427.704787
202.784507,1000,429.488332
152.868889,1000,431.294828
145.973316,1000,433.521566
64.92331,187,433.629045
176.074377,1000,435.757641
178.641272,1000,437.769097
193.347703,1000,440.089224
182.713049,1000,442.061852
144.304106,1000,443.711722
145.964608,1000,447.111725
158.345111,1000,449.020107
198.994397,1000,450.808658
185.598087,1000,453.716227
168.250227,1000,455.198561
186.373635,1000,456.552931
201.199727,1000,459.575505
144.442724,1000,461.849615
147.046898,1000,463.668408
199.746062,1000,466.580626
197.381191,1000,468.836047
137.779869,1000,470.336555
180.239486,1000,472.109646
161.692946,1000,474.896519
188.313999,1000,476.324036
182.318148,1000,478.417462
157.963091,1000,480.812912
194.32012,1000,482.29433
199.905002,1000,484.316362
201.312563,1000,487.244665
194.274732,1000,488.614482
156.530102,1000,490.580426
71.190436,144,490.661493
196.089547,1000,493.65011
67.582115,174,493.748889
190.904252,1000,495.099833
155.183941,1000,496.908599
156.562901,1000,499.517844
201.050555,1000,500.953623
176.936227,1000,503.18203
159.546095,1000,505.89708
137.184106,1000,507.229256
54.755355,169,507.313523
150.965221,1000,509.090003
68.032574,145,509.185387
174.241756,1000,512.13686
196.560394,1000,513.489645
153.468757,1000,515.285332
137.101578,1000,517.926418
181.765869,1000,519.276161
184.125154,1000,521.222681
172.123793,1000,523.884724
185.783379,1000,525.240932
154.791082,1000,526.895491
178.274594,1000,529.809305
182.589339,1000,531.201546
165.967267,1000,533.015864
195.441813,1000,535.642087
134.337437,1000,537.31763
151.748162,1000,539.266666
187.465829,1000,542.736529
163.594446,1000,544.238045
153.722769,1000,546.178799
147.160516,1000,548.878279
174.280284,1000,550.299057
191.434285,1000,551.647847
212.685291,1000,553.421028
18.471499,136,554.27963
47.158635,137,554.577025
185.178913,1000,556.151633
188.60852,1000,557.497451
190.943199,1000,561.122103
