#{"t_start": 1769689120.03316, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-17.422237,82,0.77556
-80.771613,98,0.856656
-89.781089,71,0.912418
19.350656,122,1.009441
-141.067623,84,1.077443
-217.51973,102,1.161195
-91.558365,79,1.233434
-119.112913,83,1.307852
-355.707322,114,1.400698
-214.08704,110,1.488909
-91.607246,67,1.55151
-76.456475,80,3.158141
-109.292939,99,3.268267
-137.786413,94,3.378111
4.955837,136,3.537247
-189.779553,105,3.624245
-373.115752,119,3.725338
-123.522977,87,3.802835
-136.572944,81,3.867974
-105.641901,96,3.94521
-242.077584,90,4.01782
-152.216181,139,5.435038
-112.970273,94,5.507887
-114.344553,70,5.562126
-217.813715,118,5.660174
-173.331735,93,5.733082
-120.429591,80,5.794369
-118.241886,90,5.868448
-110.616618,81,5.93291
-213.417337,115,6.022903
-54.107309,81,6.08686
-111.099785,102,6.185652
-102.605127,78,8.073905
-123.141049,76,8.136178
-150.030185,99,8.214866
-89.365997,66,8.265464
-179.166889,97,8.340884
-143.91119,83,8.404723
-113.0494,113,8.490825
-76.209932,76,8.552257
-119.031905,60,8.599632
-82.210531,72,8.65717
-177.730443,103,8.738594
-203.747488,85,8.81005
-119.889753,108,10.468118
-85.74761,58,10.513781
-131.14436,111,10.605709
-114.8911,75,10.667757
-105.803789,135,10.775848
-120.356881,110,10.863452
-135.75964,106,10.951298
41.027623,154,11.118945
-118.644728,88,11.190832
-78.790362,86,11.259024
-110.729916,82,12.743448
-93.65194,75,12.804163
-92.367407,93,12.877316
-137.20568,85,12.942754
-144.977076,89,13.015116
-69.543393,79,13.08165
-101.399269,68,13.141842
-55.327899,70,13.20604
-106.170981,106,13.293541
-112.83466,109,13.376293
-111.403654,78,13.437984
-98.980115,80,13.50049
-276.471009,112,15.030796
-91.765064,107,15.631231
-109.989533,94,15.743386
-95.435794,83,15.845702
-88.907422,89,15.937563
-106.515443,80,16.004269
-148.246654,97,16.081959
-80.336964,67,16.13461
-123.72451,102,16.215472
-138.569222,65,16.267922
-108.131785,89,16.341648
-90.153967,72,17.738048
-88.431341,108,17.826158
-40.690652,79,17.888899
-87.17951,98,18.054565
-81.419817,70,18.125308
-104.127992,94,18.24761
-55.028191,103,18.382045
-112.141653,100,18.497039
-121.791844,98,18.64988
-100.682982,84,18.743725
-38.358689,61,18.82783
-88.88936,100,18.914281
-78.208763,91,20.450286
-102.135244,93,20.533706
-85.581988,83,20.601988
-140.339021,95,20.680589
-91.371752,65,20.731278
-64.2667,63,20.781861
-77.64803,78,20.843849
-80.656071,83,20.913072
-77.334997,119,21.010882
-113.506821,115,21.104095
-91.87753,87,21.172366
-82.594319,72,21.230622
-64.37913,99,22.801154
-78.589615,72,23.388381
-97.621626,85,23.460387
-100.51556,76,23.523233
-93.755838,73,23.583033
-70.914332,81,23.646528
-45.565549,69,23.701658
-88.596676,79,23.781544
-29.524462,67,23.846945
-2.128164,129,23.985302
-69.697545,77,24.061785
-123.445863,120,24.190598
-58.01576,117,25.692973
-132.321921,96,25.815353
-71.857245,67,25.891448
-72.873653,76,25.957462
-96.239096,107,26.044531
-103.917677,88,26.112254
-108.484171,110,26.199348
-84.868291,75,26.258474
-29.787741,86,26.325185
-61.031231,101,26.405335
-109.589595,102,26.486075
-88.050777,93,28.451337
-89.892514,73,28.521132
-105.281838,89,28.592438
-70.798302,60,28.643217
-157.159779,113,28.733555
-72.558812,76,28.820574
-60.356592,66,28.895768
-57.900862,110,29.016425
-90.536701,100,29.13284
-66.283842,108,29.24642
-112.801595,79,29.337668
-90.219754,116,30.792544
-42.919383,68,30.865986
-107.918575,100,31.605523
-89.696292,89,31.678866
-67.006223,104,31.762913
-51.858981,79,31.826938
-97.523309,107,31.909131
-108.657097,107,32.001208
-81.904902,94,32.078414
-115.315637,99,32.215528
-40.993174,70,32.277615
-110.88232,72,34.033173
-78.707057,98,34.113893
-71.449154,66,34.168067
-77.216229,91,34.246334
-59.482109,70,34.309403
-9.664043,75,34.375925
-81.025169,85,34.480005
-65.386274,126,34.624483
-66.730131,82,34.722513
-117.594189,78,34.81478
-53.358338,70,34.89316
-114.343835,98,35.003664
-65.32179,96,36.441478
-98.379201,103,36.554693
-98.125048,103,36.669125
-81.968779,122,36.814554
-106.020152,101,36.929048
-68.076593,81,36.998604
-102.980225,75,37.05875
-86.948674,93,37.129483
-14.897146,96,37.211214
-59.346466,110,37.302286
-55.949242,114,38.828942
-45.837819,124,38.930858
-46.149347,105,39.015419
-46.855533,112,41.136245
-75.093273,114,41.254314
-74.633727,105,41.400857
-53.71125,90,41.536166
-45.574134,123,41.665505
-26.721052,127,41.803443
-90.209428,105,41.903151
-86.259854,95,43.27537
-54.095265,122,43.36972
-61.850201,96,43.443094
-49.958951,101,43.519247
-5.791571,122,43.613445
-66.892237,125,43.713432
-42.591308,83,43.780814
-79.000837,103,43.866866
-49.629418,76,43.92539
-65.41465,104,44.007481
-32.11825,102,45.703542
-32.973269,98,45.781349
-63.901845,97,45.857542
-4.505577,127,45.9634
-31.497697,73,46.053143
