#{"t_start": 1770040782.750326, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-141.042007,90,1.102289
-108.065255,84,1.175626
-220.744287,92,1.257469
-121.214861,83,1.331438
-237.617924,72,1.39312
-210.233284,89,1.472224
-138.235184,75,1.538451
-215.790374,89,1.613887
-122.102172,104,1.704819
-108.189254,79,1.781417
-107.826688,115,1.887324
6.085046,85,4.089566
-97.351011,60,4.142037
-356.477951,93,4.221549
-108.298191,74,4.285666
-198.949711,93,4.365208
-156.979105,94,4.442813
14.625325,69,4.502104
-171.266516,71,4.562792
-123.6082,106,4.65208
-104.900067,63,4.706503
-109.476854,84,4.778105
-124.31232,90,4.860043
-366.749398,114,7.203591
-82.080916,72,7.399527
-120.500682,101,7.50769
-90.217757,60,7.576175
-151.7129,112,7.712727
-133.943643,102,7.825963
-96.789581,99,7.943637
-108.836632,59,7.993621
-111.470192,75,8.057822
-22.018927,110,8.150974
-205.468432,127,8.256782
-170.759222,82,8.325203
-299.033224,101,11.768118
-43.495645,73,11.90689
-176.530424,56,11.987099
-115.308589,65,12.065349
-244.034386,113,12.232632
-115.265027,106,12.427521
-88.312979,119,12.562751
-137.625933,64,12.630147
-213.450393,80,12.712533
-233.631537,88,12.810302
-99.810988,94,12.917457
-188.547009,102,14.989319
-121.881575,70,15.049082
-176.18617,76,15.112447
-147.943529,117,15.210635
-105.992584,96,15.291084
-124.749006,106,15.38099
-170.633928,67,15.438516
-97.798123,69,15.497435
-76.190124,80,15.56565
-86.440606,129,15.67494
-222.307325,71,15.73238
-177.450511,85,15.804186
-290.746712,107,18.146018
-290.907441,109,18.237609
-118.892945,68,18.296265
-83.919776,60,18.346839
-99.436865,75,18.412686
-107.001422,89,18.488237
-138.757478,103,18.577086
-118.231487,61,18.630571
-124.061721,74,18.698041
-323.37867,99,18.784272
-108.063164,95,18.958196
-129.693997,76,19.398841
-373.579389,133,22.619993
-109.27187,80,23.077418
-276.07514,115,23.183398
-301.822343,78,23.26262
-322.453301,97,23.352088
-79.890229,63,23.40411
-202.219338,99,23.492129
-97.800041,57,23.560277
-77.910223,84,23.649956
-121.442718,70,23.716954
-89.572283,62,23.793146
-227.718549,105,23.917418
-300.025577,104,26.12809
-124.613075,82,26.203638
-338.895216,101,26.309109
-235.181169,109,26.487965
-98.014381,68,26.580048
-102.76278,84,26.712004
-118.380047,120,26.914245
-132.816106,70,26.998934
-93.236052,108,27.127656
-82.495207,64,27.211564
-102.850003,73,27.287528
-154.121786,63,29.583385
-93.21464,76,29.658912
-123.597821,82,29.736395
-91.258351,111,29.831972
-255.130337,94,29.912024
-105.094307,80,29.981639
-155.86758,80,30.050414
-142.137836,99,30.138923
-98.373286,75,30.209981
-88.857924,76,30.308057
-331.270128,103,30.42751
-209.402321,71,30.532463
-70.940243,65,30.625147
-105.756993,87,32.620844
-211.558239,106,33.203659
-110.961494,101,33.325452
-123.943482,64,33.410931
-232.302614,108,33.563571
-136.759183,65,33.665469
-150.468954,87,33.815883
-98.235165,70,34.059626
-135.825607,64,34.254923
-103.461387,72,34.494463
-283.273155,82,34.583647
-119.737489,82,34.660086
-132.290299,110,36.980041
-129.31629,105,37.111535
-73.568425,104,37.215906
-280.500047,97,37.302326
-109.432968,66,37.358985
-102.256849,73,37.418846
-88.936246,62,37.472997
-214.56668,75,37.541673
-146.155399,85,37.635993
-177.885179,74,37.71168
-74.473403,60,37.775152
-319.67621,109,37.895906
-98.154191,86,39.920409
-138.939562,79,39.99274
-68.151838,117,40.11985
-437.382935,102,40.250316
-87.167658,62,40.339069
-78.074629,57,40.404411
-391.162161,104,40.526524
-261.061676,108,40.65968
-286.586248,80,40.735627
-88.290363,70,40.80223
-277.493724,83,40.892155
-145.336832,91,41.013617
-118.367817,95,43.173867
-129.824011,108,43.266283
-211.310426,71,43.686434
-108.54814,99,43.786822
-225.038478,68,43.867733
-82.798456,72,43.944043
-82.685566,64,44.007058
-196.964276,65,44.078938
-87.207009,80,44.164592
-190.564523,99,44.281465
-234.439581,69,44.364084
-236.322969,92,44.462359
-215.884538,112,46.644779
-119.04332,58,46.715914
-93.993822,63,46.770214
-133.785414,76,46.847359
-104.095721,103,46.95399
-350.789356,106,47.066142
-272.198248,89,47.154095
-247.710921,83,47.225522
-123.331946,82,47.294084
-126.540884,72,47.356861
-128.726353,114,47.453856
-55.265937,64,47.507107
-103.706862,63,47.601175
-241.35474,98,49.900473
-118.445169,63,49.977217
-84.147896,70,50.058603
-214.066688,91,50.157201
-106.052972,76,50.258025
-207.83453,70,50.348992
-117.714699,92,50.456694
-113.940827,65,50.518745
-277.289751,90,50.606148
-101.321292,66,50.670448
-108.014159,72,50.737085
-99.297167,73,50.81452
-113.917568,59,50.885465
-141.606881,90,52.920483
-98.869629,59,52.975881
-107.302169,110,53.069511
-232.07426,82,53.483739
-206.592596,69,53.540911
-132.283874,64,53.595803
-169.725137,84,53.666258
-126.853504,70,53.733848
-74.96847,103,53.84188
-158.349713,77,53.919408
-296.881048,108,54.130213
-199.496459,68,54.206962
-401.681254,85,54.359402
-216.579339,94,56.490394
-0.561133,113,56.612763
-112.069244,94,56.712814
-158.22913,86,56.783972
-146.315268,101,56.870285
-135.857535,75,56.933007
-92.89269,66,56.987081
-105.79285,72,57.047784
-87.777864,64,57.100757
-108.501728,80,57.168526
-112.459475,79,57.236704
-119.716407,92,57.313894
-228.26656,96,59.394323
-181.116623,76,59.460011
-102.309235,63,59.512655
-135.064534,72,59.58403
-91.544011,56,59.64167
-155.64764,60,59.699743
-112.981925,77,59.778471
-239.254798,101,59.884808
-123.114975,58,59.947778
-205.852328,75,60.026942
-309.21127,91,60.119033
-215.884106,80,60.1932
-88.165871,72,60.270584
-168.57458,78,62.431524
-217.280673,67,62.489964
-439.446649,103,62.579304
-268.913949,69,62.636808
-107.499885,95,63.135297
-115.875991,72,63.213574
-101.316455,72,63.292724
-111.744956,63,63.420917
-127.40999,108,63.548698
-89.711352,55,63.602563
-100.603079,102,63.698059
-1.700228,91,63.791059
-96.880724,63,63.859692
-320.163813,104,65.915395
-92.306585,68,65.972641
-128.444409,94,66.052298
-130.072335,81,66.121756
-228.699572,71,66.181867
-103.205112,60,66.23619
-239.051152,90,66.31004
-117.36953,67,66.36682
-136.250312,100,66.449863
-205.287762,108,66.557791
-212.113759,73,66.628316
-82.454909,73,66.702477
-113.564281,69,66.775452
-115.212195,86,68.917569
-146.221325,94,69.006686
-141.220128,88,69.091426
-207.644599,95,69.190866
-178.231048,72,69.313488
-108.103512,65,69.386726
-210.001789,90,69.463991
-116.934344,77,69.529424
-143.165409,93,69.609809
-156.466967,73,69.675885
-61.433035,57,69.724091
-115.30209,82,69.795268
-309.281495,88,71.804451
-143.025822,79,71.871148
-156.351208,89,71.944224
-136.626556,85,72.018439
-296.753844,81,72.085429
-109.170938,80,72.491039
-90.30446,58,72.539414
-187.244314,109,72.63258
-126.589035,89,72.708869
-230.554963,87,72.819522
-194.164448,110,72.963613
-123.333267,102,73.08306
-136.401519,93,75.260803
-434.551644,117,75.381224
-115.881828,87,75.454028
-124.296114,86,75.527721
-94.494371,66,75.581975
