#{"t_start": 1769185620.912344, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-328.457995,72,1.347477
-140.690719,84,1.467487
-140.902162,79,1.621234
-518.13511,109,1.880182
-187.35862,142,2.12791
-341.087893,84,2.223017
-377.690364,108,2.368396
-236.672887,67,2.502457
-154.362376,101,2.651476
-74.311848,89,2.784178
-385.828844,111,4.139769
-48.815467,94,4.208235
-88.023798,95,4.279594
-227.82754,134,4.382764
-281.862183,68,4.436701
-100.730275,108,4.515606
-265.191618,97,4.587399
-251.286492,108,4.671122
-412.037471,120,4.763833
-33.549909,121,4.86423
-55.144142,93,5.928644
-243.311832,117,6.001793
-250.198329,106,6.066434
-102.543447,87,6.122383
-73.034867,76,6.170523
-109.717134,129,6.258212
-67.139904,97,6.32325
-110.561481,92,6.386122
-104.698393,100,6.456168
-65.724203,78,6.508625
-332.891012,115,7.505651
-225.424308,131,8.037054
-20.315889,174,8.226862
-104.184943,134,8.35453
-195.3648,131,8.601259
-142.641728,144,8.783279
-77.100123,95,8.883405
-49.856177,71,8.963865
-182.538163,168,10.735927
-33.037701,135,10.896756
-92.47354,102,11.012416
-113.84452,85,11.097019
-67.028822,86,11.17312
-209.592288,101,11.264905
-103.568815,86,11.37456
-109.800432,82,11.488992
-43.419606,84,11.612644
-294.523955,165,11.917543
-75.103568,91,13.744742
-112.186294,147,13.986072
-157.922513,115,14.127234
-56.79363,119,14.257487
-220.948519,90,14.356961
-92.928208,95,14.486122
-48.497707,153,14.665983
-80.098422,153,14.854608
-138.542199,120,14.980658
-123.741061,88,16.897505
-117.346824,86,17.553414
-119.974616,119,17.755545
-122.374447,95,17.900003
-159.612548,114,18.100578
-162.440236,145,18.300946
-75.141838,126,18.500281
-38.414878,103,18.765107
-52.75202,107,18.887945
-105.311684,108,20.566107
12.480876,79,20.624555
-137.161596,113,20.709343
-36.04457,138,20.811424
-30.811878,80,20.887487
-94.361303,121,21.045871
-69.747903,110,21.18275
-10.351699,92,21.287146
-46.665857,81,21.394228
3.259301,154,23.28964
-39.599594,120,23.446722
-262.069902,111,23.570356
-27.52982,161,23.717014
-70.079892,129,23.836848
-14.853538,115,23.968321
-49.220185,142,24.130745
-34.085485,128,24.305039
-25.87934,88,24.418145
-14.482084,74,26.284899
-16.238597,110,26.401208
4.581124,133,27.627134
-12.582086,95,27.788086
-67.929176,88,27.872541
-45.866018,108,27.974326
-37.190129,153,28.133799
-12.288296,81,28.433475
-69.851987,114,28.565578
-47.971548,140,30.554072
-12.114646,99,30.671582
-114.295693,159,30.837991
-0.573881,101,30.937718
-19.879267,109,31.043867
-1.185549,1000,34.335786
-2.376026,109,34.462908
-25.082309,104,34.562313
-56.139161,168,34.751296
-40.982433,105,34.869805
-19.044708,155,36.660085
15.120303,94,36.744773
6.799692,127,38.137575
-18.824352,91,38.230879
16.258006,128,38.378119
26.844759,1000,40.777227
0.754534,149,40.877567
0.557243,115,40.958061
-90.261332,210,41.10623
-19.072818,122,42.208506
-30.967214,194,42.463384
1.088196,1000,46.898392
38.925314,108,46.99452
51.200999,1000,49.87311
11.124886,134,50.061807
-137.700723,314,50.449038
117.832959,1000,53.300258
100.587491,1000,57.083962
107.161979,1000,58.57697
121.646528,1000,60.393711
129.178999,1000,65.275831
97.395063,1000,68.146122
93.825645,1000,71.267782
9.483744,1000,77.110729
-265.200705,434,79.761505
76.425788,1000,80.874984
132.966676,1000,83.93002
28.232194,1000,90.005737
119.667157,1000,93.378713
137.551918,1000,96.155447
120.257001,1000,102.166621
103.567684,1000,105.130777
87.972636,1000,108.041257
127.733309,1000,113.331109
108.79309,1000,115.177565
162.925655,1000,117.075775
133.108955,1000,122.646451
132.51181,1000,125.168968
35.003382,280,125.371763
137.962045,1000,127.73487
99.641942,1000,132.690435
118.34288,1000,135.31775
118.359411,1000,137.606977
166.796989,1000,142.252642
142.341513,1000,144.133198
120.824213,1000,145.592547
19.133033,220,147.190893
157.662564,1000,151.50019
182.607048,1000,152.384103
143.408159,1000,154.00126
175.593631,1000,158.786176
153.294314,1000,161.44418
164.402737,1000,164.13474
150.830246,1000,166.818472
166.073593,1000,170.369873
166.821164,1000,173.322934
133.224154,1000,175.742847
162.618016,1000,180.208246
133.905348,1000,182.267825
139.823438,1000,184.710189
127.069314,1000,188.453158
168.104948,1000,189.941262
159.420527,1000,192.295832
185.887303,1000,196.259001
177.78476,1000,198.746749
164.581663,1000,201.540241
152.763323,1000,206.136222
132.180284,1000,207.640345
149.737295,1000,210.078348
175.325268,1000,213.77173
164.341011,1000,215.448269
188.203768,1000,217.989188
40.907567,211,218.292772
69.839273,216,218.507897
147.875471,1000,221.691148
158.842189,1000,223.797514
147.512292,1000,226.434469
145.759843,1000,230.932394
164.214629,1000,233.397906
169.785109,1000,235.958263
138.925569,1000,239.732384
69.816371,200,239.867689
156.478491,1000,241.36007
150.600739,1000,242.891825
197.236201,1000,247.138065
213.05058,1000,249.379277
142.295931,1000,252.354957
131.688905,1000,255.61707
170.654356,1000,258.148519
171.367545,1000,260.809102
186.753195,1000,264.724657
178.166622,1000,266.341625
142.935387,1000,268.68162
145.920093,1000,273.300461
140.709705,1000,275.766231
68.573171,209,275.913543
138.338419,1000,278.725627
142.355726,1000,282.354094
70.009324,178,282.473051
168.52924,1000,283.939851
51.20157,179,284.987758
142.558943,1000,287.680863
180.136226,1000,291.022841
139.694685,1000,293.598733
184.668043,1000,294.597275
180.417097,1000,299.070052
165.355746,1000,301.755391
48.860837,122,303.269305
163.406057,1000,306.065646
122.747839,1000,309.938165
189.296853,1000,310.895938
9.533392,116,312.334065
193.435661,1000,314.883276
49.551105,161,315.056749
30.635718,202,315.250185
144.699554,1000,318.486195
155.243421,1000,320.191076
139.169742,1000,323.119687
171.848055,1000,327.569056
182.064468,1000,330.219584
180.883557,1000,332.669812
185.5175,1000,336.330162
150.098749,1000,338.975288
198.402472,1000,341.548602
182.935541,1000,344.220124
164.495012,1000,346.081343
152.919166,1000,348.700358
182.208309,1000,351.714211
143.470342,1000,353.788059
191.593916,1000,356.395108
198.58448,1000,359.09471
127.312862,1000,361.704034
187.234517,1000,364.870504
187.980781,1000,365.995955
150.415169,1000,369.829408
201.965949,1000,371.345281
137.933353,1000,373.861493
137.478219,1000,377.300676
165.326614,1000,379.092404
170.632825,1000,381.983881
189.962638,1000,387.185813
154.388917,1000,390.210117
199.827646,1000,393.387577
140.742195,1000,397.324681
141.257326,1000,399.480484
144.573076,1000,401.991231
180.728302,1000,405.555874
170.840127,1000,407.054455
171.068901,1000,409.137847
179.654625,1000,412.969203
170.394203,1000,415.173138
152.541628,1000,418.677615
73.667414,178,418.894445
147.817339,1000,422.306568
193.149433,1000,424.775246
172.268003,1000,427.371407
159.909701,1000,431.489045
171.055251,1000,434.013787
140.362744,1000,436.588357
195.752543,1000,440.707369
170.273715,1000,443.316048
79.361715,162,443.445997
189.52457,1000,445.867921
134.807396,1000,449.860703
130.94931,1000,451.368152
43.493125,171,451.481935
182.655456,1000,454.171301
168.655935,1000,457.682649
70.697976,150,457.792244
204.571574,1000,460.197241
62.80446,165,461.862439
167.958093,1000,464.049551
131.880839,1000,465.473286
193.186804,1000,467.916767
185.768012,1000,470.367415
155.821851,1000,474.458591
173.25939,1000,476.008574
75.391166,178,477.631059
172.0244,1000,480.357744
202.234723,1000,483.135428
57.919269,128,483.207018
168.105957,1000,485.637863
189.413313,1000,488.766473
180.094792,1000,492.713953
191.539276,1000,494.898966
141.529896,1000,497.664474
174.627534,1000,501.735098
185.208221,1000,502.636805
51.334015,141,504.190003
73.260463,165,504.436115
197.318148,1000,507.698202
164.047587,1000,510.903366
186.424852,1000,513.944873
175.308808,1000,517.62995
170.790859,1000,521.927581
185.327314,1000,524.402024
196.320475,1000,527.318557
156.070031,1000,531.793185
183.852528,1000,533.604674
166.958136,1000,536.467026
73.117764,185,536.654496
192.577424,1000,540.167652
204.616694,1000,542.472485
137.106664,1000,545.066349
143.540918,1000,549.199373
