#{"t_start": 1769172797.83149, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-374.613157,99,2.221028
-249.17095,134,2.461761
-154.088471,115,2.622386
-156.825014,101,2.837549
-174.425244,97,3.050123
-119.207283,106,3.254626
-95.152234,77,3.339825
-70.921525,82,3.430898
-583.695689,130,3.536786
-281.857125,111,5.570518
-158.567022,159,5.787024
-189.786941,143,5.948699
-133.337158,96,6.082125
-103.153244,92,6.229886
-310.920685,162,6.500907
-96.963748,84,6.592985
-101.662342,127,6.769135
-415.813503,120,6.929964
-388.144006,103,10.007342
-88.795858,78,10.135289
-45.92364,78,10.315057
-313.913592,222,10.76229
-82.367656,92,10.950939
-310.249809,120,11.155402
-240.33362,102,11.285514
-383.888801,143,11.45535
-132.186456,74,11.529437
-50.600859,162,15.714064
-41.726301,120,16.01439
-189.207688,109,16.198691
-11.758276,207,16.402404
-87.468649,177,16.560858
-169.348351,153,16.712883
-45.069769,97,16.835664
-22.332869,82,20.155843
-25.738998,80,20.28175
-41.089142,133,20.453825
-320.695324,155,20.649438
-79.701109,185,20.954094
-146.173297,171,21.142762
-96.26697,105,21.246036
-159.896284,108,21.346743
-118.778739,173,23.986479
-128.261857,118,24.302594
-89.332688,116,24.491229
-98.996615,127,24.705461
-24.386289,122,24.863639
-171.824198,139,25.087132
-59.834453,84,25.345391
-112.044786,148,25.575952
-36.90955,97,27.682072
-36.354522,134,28.939092
-78.731146,152,29.323306
-62.172179,99,29.434854
-44.717746,92,29.553009
-7.211409,143,29.765338
-66.881298,142,30.019657
-28.60806,98,30.124448
-33.672205,94,31.631973
-44.577755,97,32.016413
-37.805731,166,32.317329
-65.119217,79,32.422708
-3.744584,184,32.853556
-21.646365,123,33.099387
-50.491898,119,33.347011
7.242561,95,33.544249
-61.420227,134,33.675948
-0.628492,175,35.403419
2.977181,109,35.497315
-0.76049,160,35.68227
-98.182665,160,35.934747
-5.781309,161,36.100278
-12.679043,142,36.237613
10.880089,122,36.338513
-26.489362,165,38.158966
-20.172048,211,39.993206
-71.823235,151,40.14544
-23.494245,154,40.27146
-2.113885,162,40.413862
-18.362008,158,40.727098
13.114055,134,42.879932
-42.212786,177,43.044782
-41.942051,152,43.208475
-161.630904,206,43.441489
-64.454523,178,43.806086
-50.259906,145,44.231702
-12.892722,191,46.147497
-61.280635,173,46.520804
-32.212358,173,46.75412
-19.139411,154,46.996216
6.938885,137,47.140954
53.384207,182,47.328474
-160.185831,340,52.779074
1.339493,199,53.054443
-283.187139,998,55.694533
1.586387,1000,58.622895
103.775135,1000,63.534658
85.937701,1000,66.831727
97.333247,1000,69.159082
110.909487,1000,73.155555
-40.554258,206,75.72125
12.148211,225,76.04398
65.911689,1000,78.95335
52.171554,1000,83.000727
36.390435,1000,88.812227
78.860914,1000,90.316737
102.190932,1000,92.328502
82.251212,1000,98.298277
84.994477,1000,101.520358
128.553071,1000,104.117892
8.730526,269,104.419779
45.126376,227,106.727598
41.517262,227,107.170102
110.643456,1000,112.506895
133.834568,1000,115.398165
122.5165,1000,118.181852
71.48437,1000,122.492808
126.258004,1000,124.167543
138.167552,1000,126.533824
145.073115,1000,130.778538
167.674289,1000,132.553751
148.054007,1000,135.241312
163.726596,1000,140.441246
155.87217,1000,141.529708
131.505788,1000,143.210787
157.485356,1000,149.64536
114.316786,1000,152.440654
103.477956,1000,154.340957
157.407538,1000,159.042084
150.783394,1000,161.925407
170.210049,1000,164.892607
146.363098,1000,168.559544
