#{"t_start": 1771238815.462066, "env_id": "crossing_planes"}
r,l,t
-109.679067,54,7.350675
97.965008,241,8.476428
-39.037543,59,8.800445
90.971343,241,11.285796
-79.140115,83,12.022308
49.653885,241,14.146672
-184.026325,54,14.481583
70.901124,81,15.085732
36.522124,241,16.777434
-128.512142,126,19.430787
-116.010812,54,19.854358
-142.67187,35,20.053175
66.838344,241,22.896892
-90.767089,31,24.108384
-2.952824,26,25.675281
-174.170575,47,27.387235
50.869582,241,29.582085
52.626916,241,33.42472
-189.464554,55,33.789762
172.620388,241,36.353062
-72.438731,71,37.74531
44.894429,241,38.921291
55.32465,241,40.526058
153.658701,241,43.332963
81.890813,241,45.235777
12.195564,241,47.079262
60.446482,241,49.648108
46.551944,241,51.507455
65.933175,241,53.518993
35.189039,241,56.360179
76.025024,241,59.176969
100.307028,241,62.314994
65.327776,241,63.451795
167.089972,99,63.913031
-186.967138,49,64.624863
-184.317154,42,66.234619
153.909241,79,66.904179
-157.847453,34,67.264568
6.618949,241,68.660918
195.06145,120,92.144785
130.469524,99,92.561439
32.51957,241,93.938374
102.52638,81,94.371093
105.970734,241,96.651758
-25.933292,241,99.563118
142.851757,155,101.590002
31.117207,241,103.971911
65.209265,241,106.443318
34.219908,241,108.9731
99.7683,140,111.092033
80.424834,241,114.006784
32.435082,241,116.16036
315.020082,241,118.562182
193.041835,240,121.629274
182.058959,105,122.276225
103.988704,241,126.045899
48.170555,241,127.254599
-96.988475,31,127.439423
197.204949,165,128.313573
117.443117,241,129.889886
128.398066,241,132.85971
237.217042,158,136.011004
-114.435086,15,136.094124
94.332487,241,137.330296
67.360088,241,138.751845
38.790495,241,140.080349
77.581811,241,141.628914
64.724143,241,142.956496
202.272978,196,144.010598
-145.140904,20,144.137655
-107.792286,41,144.489297
101.784541,241,148.120799
72.67584,241,203.864602
179.097702,155,209.024479
95.372048,241,212.850463
188.520717,241,215.960796
155.599511,126,216.947496
-196.903692,19,217.125404
62.979051,241,219.796617
-138.498574,47,220.192964
-99.0,1,220.213443
147.819416,241,222.581058
-142.022279,155,224.683003
158.202277,119,225.394107
-129.334021,47,225.704829
224.495846,185,228.744346
49.02456,241,231.24909
110.552435,86,232.123118
109.44564,241,235.709917
91.003473,241,237.59133
117.269351,241,239.162766
78.974864,241,240.418589
-98.614531,40,240.687307
72.079019,241,244.015247
145.337937,121,244.901971
42.126235,241,246.403415
128.596923,241,248.541499
151.327938,132,249.430859
189.989193,234,251.675276
101.87658,241,254.513245
-102.549654,27,254.75118
142.365439,241,257.985198
75.025863,241,259.888945
-61.55025,1,260.873283
134.742431,241,266.335961
714.947118,241,269.306223
109.848083,241,270.530414
72.357509,241,272.884304
68.365057,241,290.087511
139.44221,107,290.650816
165.238353,187,291.910174
175.482374,161,294.755691
154.19117,241,298.093459
143.500406,178,299.290797
73.783788,241,303.979573
-23.444748,6,305.242467
-51.212654,208,306.76573
110.392581,82,307.443746
138.202367,99,307.926128
70.191367,241,312.075556
154.811847,124,314.066022
147.382135,241,317.750505
93.14848,241,322.696372
190.948881,170,323.905942
213.816466,174,326.837345
179.569525,156,329.762605
152.901547,127,330.845626
126.592347,125,332.290155
109.546711,241,336.047126
155.855443,121,337.874686
183.397134,151,339.964731
165.133495,158,345.795423
170.607094,154,349.477168
174.204065,135,351.053464
140.893967,172,353.593984
149.653829,111,355.043663
113.032568,241,357.087569
-68.290095,47,357.55038
172.519343,141,360.027876
71.550869,241,364.122135
101.53656,241,369.060397
87.308044,241,372.467737
200.059341,183,373.961245
193.2536,114,375.441239
171.695804,195,379.202996
152.184418,120,380.591144
138.512477,241,399.515586
139.386435,241,405.454227
134.037571,117,406.151873
63.816824,241,409.271945
156.935442,152,410.166969
134.088267,112,411.138917
102.656802,241,413.119923
182.805239,219,415.435621
185.386486,228,418.032928
139.186395,105,418.656244
128.890244,159,419.809859
75.059337,241,422.341449
135.308311,241,426.341134
123.13491,186,428.08703
189.398149,208,430.684423
200.157615,174,432.856478
173.024756,203,434.875793
215.46333,137,436.65034
67.73077,241,438.403493
138.151159,165,442.615313
124.708495,115,444.255835
178.945652,150,448.600228
228.729981,152,449.76756
191.388349,212,451.358311
154.365986,76,452.769782
176.227118,97,454.196364
-88.751785,35,454.367646
142.678828,179,455.323687
1326.23178,216,457.485793
-4.700907,221,460.109972
-254.335928,36,460.478767
128.013851,115,461.307875
159.385269,130,462.294293
139.517544,115,463.051736
157.306536,170,465.694112
190.777767,157,466.884835
137.982095,113,468.76853
122.446958,101,470.854453
165.71562,149,488.714568
177.561209,190,490.859003
-101.299803,12,491.006848
143.754555,128,492.996593
168.889574,149,497.548011
179.447783,146,499.952219
185.748602,191,501.550738
185.133333,241,503.928525
224.993192,241,506.674079
130.997145,93,507.21661
159.935587,128,509.673171
156.504343,241,512.916627
161.837298,157,514.864124
186.458881,107,515.690049
160.608244,135,517.41613
147.678752,241,519.969135
62.951926,241,521.673305
174.337398,143,523.587039
154.415919,75,525.865879
181.520733,241,529.683394
988.041939,114,531.243276
148.317041,119,532.15503
208.698905,169,534.450805
124.088053,97,535.252003
169.97614,154,536.484085
191.90034,241,539.423833
178.51695,157,542.143089
184.34598,164,543.610305
182.78658,149,545.049222
2.412916,131,546.27265
153.139552,130,547.132788
162.546034,241,550.178135
121.78614,155,552.2437
187.72473,129,554.183337
198.361467,186,555.487785
174.84933,153,557.270412
189.018137,149,562.076334
202.038525,205,564.180775
163.379486,171,566.485096
223.657085,182,576.861239
200.495589,187,582.912971
163.456011,241,585.781917
245.30199,172,586.976667
217.421854,181,589.516881
145.755455,135,590.195145
207.486509,198,592.808042
192.646688,211,595.848297
161.860795,90,596.336382
113.412501,101,599.173268
134.271775,116,600.659683
154.237586,137,601.775776
130.357703,133,604.337368
245.08129,51,605.793641
150.874302,100,608.487359
208.948222,183,609.586438
170.074624,241,613.270218
159.695317,130,614.438017
1028.961308,241,617.361459
180.269286,148,618.649251
118.0278,124,619.84431
153.548219,115,622.040727
166.179611,197,625.339971
114.995474,80,626.36776
221.178828,195,629.797918
222.102608,236,632.425795
181.955506,152,636.288044
136.050584,137,639.056197
153.039986,241,644.411842
118.123506,121,646.287137
182.073282,103,647.03989
180.182267,160,648.28304
168.226891,165,650.041201
135.801629,115,651.02314
138.371561,115,653.106878
128.598493,101,655.085453
127.254084,105,656.447891
154.330285,124,657.154912
-59.000002,1,658.141236
154.609033,89,659.077535
166.778394,172,662.752183
192.970938,217,666.325651
214.609272,184,684.545838
186.784377,163,686.228373
169.436568,133,688.446259
159.098299,190,692.80148
140.202678,101,693.31032
169.063338,167,696.075883
131.204071,92,696.902556
129.646317,98,698.486973
162.699,87,698.84327
149.761406,128,701.918981
168.425091,130,704.75403
201.641509,172,706.714906
154.391167,93,708.928027
194.001533,165,711.150607
134.018294,120,712.77159
106.896925,96,713.540168
148.441732,120,714.283649
130.553409,107,715.813825
163.58235,115,716.403813
167.757509,172,717.572583
202.826514,169,721.199472
179.502432,145,722.446884
-47.341482,36,723.111143
149.966344,95,725.212433
161.889629,149,726.533998
169.532712,152,728.751003
250.412006,188,731.270665
1208.478665,241,737.998652
129.841119,94,738.598972
139.168713,241,741.899267
139.40919,135,743.983126
231.849955,217,746.057035
162.428909,140,747.519715
203.346487,155,748.99046
234.507572,206,750.813143
140.804751,159,752.208362
191.737772,184,754.599913
158.20324,119,756.235102
166.35265,115,757.228487
125.332195,98,757.990283
197.81242,188,760.318442
171.210361,163,764.150667
170.685154,189,766.765799
148.768077,117,780.950353
188.427008,148,783.541171
228.816152,189,787.284671
177.020249,178,790.749567
223.703337,216,792.960392
195.232441,165,794.494345
153.685459,131,796.953436
131.384754,104,797.659183
-61.128424,56,799.410497
148.486877,159,802.504735
199.056755,216,806.357039
111.164586,84,807.008695
126.000252,90,808.796549
147.848924,205,810.245599
185.301579,153,811.584515
154.959326,85,812.217811
135.223371,95,812.974875
109.321507,79,814.670272
176.155925,108,815.331805
116.781649,87,815.905587
178.489253,147,818.817184
139.196823,241,820.632237
183.202212,144,821.51824
192.602551,181,824.399997
-94.475616,30,824.597423
225.487993,184,825.828396
126.400324,100,826.574362
168.924039,172,828.454447
145.941981,74,829.170984
137.648626,169,830.472692
185.912259,241,832.503723
148.901785,148,833.532968
168.05561,154,834.640945
192.433812,192,838.501713
175.238974,145,839.497488
173.900978,206,841.897154
148.70971,241,845.017777
1396.381803,241,848.501152
112.100249,80,849.706741
225.582254,219,852.921788
137.676027,119,853.63985
154.423857,82,855.056243
170.196221,142,856.072257
111.816442,72,870.526577
-59.000002,1,871.496565
187.765803,108,872.184454
149.419292,177,873.533318
661.683311,239,878.679561
147.115927,120,879.50517
105.819655,75,879.998928
134.139579,105,880.599174
214.137344,184,882.626026
228.833979,188,884.5465
124.524503,107,885.320474
168.770072,241,888.89927
161.294442,112,889.594055
177.916073,167,890.842498
161.037252,88,891.524062
150.751523,92,892.199123
-59.000003,1,893.761795
191.659322,167,894.853325
153.92598,147,896.866805
178.306396,144,897.740198
154.929998,131,898.513282
1115.761535,202,901.695019
144.634298,121,902.733612
188.531085,154,906.000853
119.999912,81,907.596358
181.950383,149,909.881719
142.23661,105,911.777476
139.119804,133,913.974057
120.526645,94,915.474388
151.91671,108,916.767203
196.150129,166,921.109191
153.312425,105,922.622197
185.609289,146,924.343918
156.084779,133,925.412361
1062.119223,146,927.202658
147.203719,130,927.913387
-123.525223,40,928.16725
166.58291,124,928.958
159.514872,134,929.852565
150.120357,102,930.411264
179.491478,149,931.551333
131.681143,105,933.020997
174.83383,160,934.193656
140.660634,107,935.15905
166.230699,164,938.597437
128.525885,92,939.416773
113.506052,104,941.307836
159.469124,144,942.200446
136.878254,128,943.0534
157.242179,154,967.255319
148.95122,241,970.994369
180.761889,169,972.834512
209.872546,177,975.666474
154.178005,113,976.440437
164.93742,146,978.417063
147.47775,120,979.925736
175.588085,205,981.57287
177.704185,132,982.905599
123.072552,96,985.258974
147.257197,116,986.315856
152.675274,143,988.273365
131.687556,100,988.855321
136.38456,92,990.408155
156.708549,201,993.450657
181.781715,160,996.434623
200.374751,149,999.209821
114.630906,104,1000.207495
166.283194,140,1003.324306
173.83831,95,1004.277429
181.481285,125,1008.875074
158.259788,91,1011.211204
157.704407,136,1014.245132
164.777733,193,1017.198155
175.739732,187,1019.762497
226.227914,181,1022.567551
876.518358,179,1025.101621
142.447999,142,1025.828588
128.271313,133,1026.771633
143.396151,113,1028.409463
163.123699,86,1028.821725
112.407906,73,1029.193595
181.628533,194,1031.044571
170.039146,148,1031.875852
1075.21382,130,1033.376671
146.812563,130,1034.981874
308.701154,35,1035.996494
116.218671,241,1038.249225
154.834336,143,1039.93578
116.204123,77,1041.909575
140.518994,79,1043.326772
218.923988,157,1045.204414
131.902833,118,1046.941007
96.841784,241,1049.290279
123.522132,132,1051.053627
169.886251,241,1063.846686
297.976219,59,1065.221521
185.92202,163,1066.25708
-72.282122,57,1067.037361
156.003482,172,1070.821256
178.755702,148,1072.680677
155.103296,130,1074.111881
151.011006,87,1074.598064
201.727971,172,1078.106317
180.412891,158,1079.262778
164.297178,86,1080.610742
319.805886,42,1081.733557
1013.850678,141,1084.108501
220.030211,215,1087.51957
130.097924,97,1088.085287
156.594406,129,1088.771733
128.872967,106,1089.435143
156.926647,105,1090.176142
129.03677,104,1091.72557
156.308,99,1092.331757
179.769961,115,1094.846826
143.577442,115,1095.589262
150.345024,146,1096.782493
139.611533,100,1099.139038
144.202425,105,1099.730794
108.539289,86,1102.638563
181.559792,146,1103.493597
159.175626,125,1105.718732
198.313308,182,1106.840535
152.998711,83,1107.370513
206.266793,184,1110.323629
181.68706,149,1112.021414
696.276771,241,1115.102909
-99.191517,1,1115.127418
152.61155,113,1115.996625
155.383648,79,1117.534713
185.92732,174,1119.346088
147.274347,126,1120.187045
135.428604,95,1122.383034
178.568899,141,1123.984348
148.829222,84,1124.707824
120.408388,81,1125.45404
175.231238,146,1126.618121
145.871448,117,1128.873748
196.811751,157,1130.65506
524.961191,117,1132.239721
180.856143,139,1133.147459
179.67785,147,1135.185711
172.462481,142,1135.871867
195.068033,186,1154.325615
381.758314,68,1155.561581
212.861798,133,1156.374353
217.287684,192,1158.254873
199.665062,121,1159.298759
158.859015,137,1160.471627
131.406567,92,1161.659949
180.629988,172,1162.813349
149.246493,198,1164.158402
152.78831,92,1164.954106
199.612696,159,1166.313632
181.099204,103,1167.038578
267.996072,241,1170.200684
165.62489,139,1170.982556
169.264786,140,1171.868179
141.019638,124,1172.699834
190.712104,221,1174.125736
213.139203,177,1175.302623
147.19989,79,1175.844227
163.575822,134,1176.636228
195.301854,156,1179.002293
164.120027,88,1179.548111
201.717536,237,1181.671879
139.276636,115,1182.610892
180.432542,151,1184.44592
150.516235,120,1185.925831
162.857253,152,1187.695765
907.213361,183,1190.410848
129.832134,117,1191.185967
191.016515,151,1192.941811
227.754607,172,1194.999767
160.503602,99,1195.672152
158.094868,139,1197.481172
162.898487,92,1198.00629
129.495496,111,1200.256404
121.83724,94,1200.853408
249.44177,235,1205.981684
1217.286142,153,1209.374471
141.049987,99,1209.991272
156.889433,149,1211.515099
166.054818,217,1213.156983
163.794874,137,1216.130365
194.890593,151,1217.04334
1036.566728,130,1220.630424
-92.106765,12,1232.335056
157.759113,241,1233.833832
160.283916,132,1234.580642
555.143917,139,1236.194886
195.240504,167,1239.223754
192.48397,161,1240.260016
162.964619,91,1240.817106
-59.000002,1,1242.214284
199.419327,142,1243.304298
144.099654,103,1244.986754
168.04019,118,1248.718125
164.717726,116,1249.202577
187.420119,214,1251.327475
227.676426,193,1252.336058
245.860896,175,1253.423443
170.342496,157,1254.493725
169.832229,103,1255.250798
101.597921,241,1258.542089
146.784164,102,1259.070409
144.24082,134,1261.36999
171.965002,140,1264.161462
173.18362,154,1265.705306
152.206869,88,1266.471689
176.232085,146,1267.454821
155.823883,133,1269.080416
113.376453,82,1269.499724
-59.000009,1,1270.499327
179.144677,102,1271.02086
134.426071,156,1271.854613
145.847085,116,1273.446188
140.402786,107,1274.869694
171.366536,103,1276.311407
145.479228,124,1277.949441
142.183179,88,1278.70401
161.489193,84,1280.852566
142.921808,153,1283.298115
131.923549,109,1283.841031
209.221378,180,1285.727188
164.494538,154,1286.593963
163.979949,201,1287.865245
160.881007,87,1288.628747
166.63698,164,1290.091537
208.568792,194,1293.131759
153.032062,132,1294.070382
212.688863,184,1296.000235
148.461641,120,1297.488833
148.201309,109,1297.983402
138.905573,113,1312.143452
160.431533,111,1312.85255
162.408107,123,1314.593552
156.770155,128,1318.027039
153.419974,129,1319.133144
198.841809,171,1321.717989
1051.203567,241,1326.479037
191.814873,152,1327.190891
173.36001,135,1328.871378
202.319437,170,1330.806567
190.468665,232,1333.027006
166.005057,188,1334.898531
197.039833,156,1337.663876
184.527492,153,1339.369765
145.191973,127,1340.103619
159.596871,88,1341.523301
187.846017,162,1345.917952
134.354218,108,1347.868367
127.844897,119,1349.941727
125.543047,97,1350.561377
166.077307,141,1353.190294
177.939282,187,1356.061097
139.245139,109,1356.678863
141.070691,113,1358.274218
133.551873,142,1360.199391
241.603257,167,1363.324173
146.289344,87,1363.94541
119.852637,92,1364.538437
139.678496,103,1365.210164
140.929811,131,1366.16854
146.74152,150,1367.92538
218.301963,174,1369.739292
