#{"t_start": 1770765161.6191308, "env_id": "crossing_planes_multiHead"}
r,l,t
162.170727,156,11.872874
-67.545768,86,15.550276
-105.285522,10,15.712592
120.10078,169,18.316064
131.937337,99,23.949238
172.242819,153,25.821433
-52.148968,101,27.06184
-98.187785,65,28.227387
-117.857858,59,29.583077
-112.302043,81,30.617788
102.294586,189,35.787112
91.54996,87,40.580376
141.160155,167,45.87657
-77.364977,33,48.97716
861.158701,241,54.486624
71.90256,138,60.359808
219.24317,191,65.118149
-129.808699,43,69.767489
129.821178,143,71.63388
-112.382608,54,72.252227
-94.656665,137,74.630339
225.535391,218,79.545121
-95.185228,29,79.912125
-94.126786,58,80.663371
144.947533,152,84.979282
92.21538,160,87.344803
-102.628284,28,87.860531
-74.521586,66,88.871172
-153.977397,56,89.541784
-98.269601,54,90.230699
-55.05575,89,91.414005
131.850714,141,93.82641
-63.172221,86,95.176404
181.718554,201,98.321226
-175.335859,46,98.948395
864.28919,241,103.921792
-93.068034,74,107.139962
78.872005,98,110.131706
202.778134,202,116.71132
100.487931,117,118.339353
126.714985,140,120.553321
171.598053,241,127.170141
176.067145,206,132.628772
176.676639,235,141.557947
82.675091,146,143.905256
166.138271,161,145.954966
144.217482,224,155.421683
195.15321,202,158.422434
-90.741972,91,162.652599
174.758001,185,212.543309
-104.25155,59,213.641029
91.464636,98,215.01882
899.640009,241,220.719732
129.340125,158,222.593246
161.231846,184,225.797201
192.564119,211,231.828466
136.585632,170,234.541832
126.940419,145,236.928602
-63.730004,87,238.521197
-131.867042,62,239.456235
-111.219412,43,239.959604
134.545083,140,243.107318
-143.490297,63,243.665672
153.637286,154,247.632014
152.001517,141,251.588326
136.460472,152,253.173259
97.342708,117,255.056806
75.128703,91,256.286185
928.836042,241,262.32774
789.217476,241,266.983591
185.340429,225,271.755644
-25.582351,171,274.080339
895.614082,150,277.741399
207.88822,192,279.689358
33.921353,183,281.402374
154.229823,168,284.270081
-14.06343,121,286.955795
229.320223,230,289.383695
150.478404,134,292.774436
141.849536,160,295.402281
100.416379,94,296.288771
199.399651,241,298.844991
157.803477,120,301.229852
187.787091,162,303.879241
170.598558,112,304.835871
450.375707,99,306.885464
87.779727,124,307.911849
176.813812,187,309.509909
158.078033,181,311.276339
155.597272,203,316.036747
218.075752,205,337.332898
170.2071,114,338.746533
60.280293,122,340.11667
47.196821,180,341.975479
1080.888888,190,348.085682
126.074509,108,349.098614
149.238466,179,350.795942
170.715287,172,353.757573
205.666698,215,357.30382
335.786858,138,361.683609
1099.945665,241,367.937687
77.24108,125,372.060907
206.330437,175,373.732508
119.641018,161,375.976858
130.156542,171,377.860537
130.071123,185,383.375782
123.952848,140,385.195779
