#{"t_start": 1770729187.219889, "env_id": "crossing_planes_multiHead"}
r,l,t
-105.896198,58,10.609175
-100.139351,76,11.193593
-86.797475,79,12.097094
-167.749087,75,13.189608
-68.470141,45,13.693439
182.233806,185,15.472362
136.86776,157,18.004522
123.73706,144,20.288766
740.828357,241,24.211789
148.441091,164,26.030579
94.809299,84,26.829708
-54.813209,80,28.24961
-135.016668,36,28.639399
110.437295,147,29.910117
166.711302,241,33.811456
-168.054946,68,37.310193
159.941645,241,43.200915
-150.776408,46,43.694615
90.044711,102,44.925266
142.005247,235,48.818063
-30.339913,100,49.838415
-167.164151,52,50.441167
227.49491,222,55.311073
-7.718093,97,56.957363
118.399017,124,58.979894
-145.738227,70,59.646989
-103.950851,21,59.875211
922.522044,241,63.563455
-69.501099,93,67.40353
149.151739,241,73.142397
-121.010227,36,73.634062
-131.744507,83,75.058439
-31.574828,165,76.424944
185.165049,214,80.218326
210.468686,179,82.24553
151.862557,156,83.831068
-24.697796,111,84.820738
136.66752,128,87.284755
136.305663,112,88.483403
173.394954,149,90.200738
192.868631,233,91.901268
228.817068,223,95.703612
-117.925208,62,96.101894
-119.724022,76,97.180606
154.720277,190,98.981655
152.75275,178,100.895761
-137.275226,64,101.509159
175.94944,188,128.457707
-102.024298,26,128.599415
660.798359,84,130.04705
182.739957,212,133.731106
129.175732,121,135.116082
-89.302606,76,137.146903
218.191036,212,139.551336
171.230122,116,141.449789
148.100058,124,142.362736
207.942015,199,144.751392
-92.309854,46,146.272434
-116.135563,78,148.11055
-28.543676,119,149.264815
192.258737,212,151.360875
229.49668,174,152.417179
226.05067,218,156.598312
226.954518,227,158.236864
141.526396,88,160.55578
162.346245,173,161.802522
870.651653,241,164.317542
154.577395,167,165.501498
167.209812,146,166.535672
217.259077,190,170.188802
123.249867,85,170.681643
170.150553,164,172.547557
-90.398232,86,173.012657
146.330512,197,174.393214
-111.452335,58,174.856875
-58.544409,77,175.381895
-40.11164,71,176.611074
-29.942207,155,177.641019
-84.714596,61,178.067119
109.037028,89,179.706673
163.538978,139,181.890758
-105.676595,114,183.476818
223.515589,233,187.073687
123.106489,127,187.95087
148.701047,120,188.762064
147.754796,118,189.641686
164.784282,210,192.408502
159.010847,218,196.933286
-104.832993,84,197.673626
138.095337,101,199.410067
150.24563,178,200.68319
-92.755639,104,202.301244
156.704434,161,222.486589
189.67299,176,223.831582
126.295048,138,224.903475
153.607018,139,226.161688
150.465086,220,227.940237
752.514668,218,233.119945
147.89294,133,234.076876
141.332425,203,236.990849
-183.892166,26,237.200826
119.526587,138,238.24754
160.5898,96,240.434206
116.702971,157,242.821509
81.322685,91,243.419239
148.747759,148,247.195819
173.143662,155,248.295491
-135.360384,17,248.469951
-143.729536,13,248.608232
167.253446,162,251.720593
187.600298,192,255.955818
168.950548,121,256.741507
130.596414,135,257.636251
152.885541,122,259.251122
155.500542,98,260.742923
850.286769,241,263.170086
115.987601,108,264.048899
194.12853,241,265.930089
143.083989,123,266.827054
143.78888,151,268.8099
212.252042,205,271.87787
191.919451,199,274.236853
138.506341,182,276.835122
1416.302181,197,279.36847
221.855142,23,280.471298
-81.625334,61,280.820903
179.735469,105,281.47322
155.554709,129,282.413194
172.362208,146,283.442207
-136.260972,43,283.73617
139.934129,154,284.750119
155.822762,150,285.82016
-97.591867,5,285.854439
512.62766,156,287.898644
101.022996,163,289.937546
-98.022371,13,291.028661
133.929187,114,291.603944
114.308038,120,293.100593
589.513824,129,296.016606
462.088711,78,298.586269
142.660394,136,315.475086
172.886238,97,316.037143
167.930419,173,318.133705
-19.775974,103,318.781491
161.368058,167,322.033271
95.443454,200,325.849268
142.291434,144,326.959725
-68.477588,99,327.722563
185.127511,168,329.032402
181.322164,203,331.380691
948.002247,241,333.663977
111.199972,119,335.426258
249.034252,205,336.832992
148.521926,137,338.910336
119.558516,99,339.890784
191.27121,174,342.392973
128.475669,88,343.107524
233.962102,189,346.156877
167.866468,158,348.182666
149.500282,138,349.005474
173.415334,217,353.772508
167.630566,196,356.017966
179.915697,184,357.519145
135.856768,195,358.916494
140.627794,95,360.328332
202.165563,219,361.665211
155.945008,165,366.802908
188.487902,193,368.636858
-146.87568,24,368.879311
1299.121191,241,374.546356
115.435409,114,375.696218
111.803179,156,378.765847
153.812278,231,380.601982
243.986273,200,382.090499
91.358077,151,385.098748
173.489597,175,387.344557
154.954262,165,390.610265
1049.107552,241,395.22154
96.621099,162,410.847326
138.956062,108,411.53698
172.819198,105,412.203406
208.941717,199,413.525958
-73.808948,101,414.174065
133.729759,100,415.967611
106.254038,101,417.432038
212.487597,155,419.418481
146.596202,89,420.421106
-151.947899,17,420.617462
188.136928,241,423.572332
181.124297,192,425.719261
-106.637006,11,425.810319
164.426627,189,427.104072
194.539039,194,429.379058
190.024018,176,431.596305
120.080402,112,433.319759
171.663931,114,435.175558
177.937842,139,436.099164
-76.490612,71,436.57892
152.758298,108,437.414863
111.544368,154,438.53139
-127.988735,105,439.257947
184.826473,174,441.385971
187.6727,205,442.843948
181.978143,217,445.428007
-101.52781,7,445.490039
148.118235,147,446.414865
78.773878,116,447.169262
112.252535,96,450.495021
182.357096,241,454.103255
152.119549,140,457.349091
161.685299,113,459.079238
192.711137,166,461.10809
-144.671578,29,461.285364
163.745832,166,463.199895
145.527012,153,464.136283
-81.497391,115,464.863321
159.992563,96,465.559987
180.403054,157,467.380418
156.341547,95,468.053552
190.565094,170,469.241406
157.557248,109,470.855621
164.126901,132,471.74887
185.561664,174,473.84284
146.589481,169,475.11905
-88.865018,29,475.326047
163.861422,132,477.697997
196.796254,203,494.936651
152.343976,93,495.56646
181.555679,146,496.868416
1423.112044,185,499.774438
178.667016,179,501.806372
215.694606,196,503.691196
111.116728,119,504.564794
155.990113,131,505.816421
446.40165,45,507.065136
153.372128,132,508.035684
86.918068,97,508.703937
845.28913,151,512.493816
170.518005,200,513.85162
132.013357,152,515.518756
201.955625,224,519.686128
137.567162,175,520.628648
147.149676,174,523.996639
166.974654,178,526.145797
134.500317,123,527.982635
133.951896,115,528.674922
155.43388,91,530.156376
218.61172,182,532.096195
91.651591,79,532.534276
54.105891,107,534.354348
241.048711,167,535.659381
189.002504,232,538.164652
97.03965,114,538.820103
141.454971,124,541.832324
173.402474,137,543.583173
130.777558,98,544.271872
147.212046,109,545.89335
189.879125,169,547.853735
172.744804,92,548.458475
152.303903,79,549.968681
194.196153,192,551.232861
124.930535,172,552.397523
156.23627,137,554.312404
116.535892,138,555.058812
129.195475,129,555.885898
119.033067,110,556.575403
-60.749741,97,558.123509
107.014359,134,559.092783
1015.684527,230,565.500493
163.21921,93,565.987532
163.198061,133,566.721606
-144.278424,22,578.243206
155.524872,161,580.203248
152.486638,136,582.347218
198.129796,234,584.818203
173.937783,198,587.56837
175.90787,173,590.58129
731.701482,222,593.770399
102.999472,201,595.316996
183.631503,148,598.003648
181.057702,207,599.514882
75.160098,158,604.321909
154.797361,132,605.331481
158.160015,130,606.191972
178.303889,180,607.430198
193.455163,237,609.992286
106.518262,99,612.49414
737.846345,175,614.625834
161.32668,200,617.209479
167.8285,159,619.136758
155.201826,122,619.996836
243.187184,237,622.500945
221.036327,202,623.920487
207.588407,179,626.856744
183.7595,218,630.079616
148.80102,150,631.923408
133.15411,140,632.946156
156.081455,170,635.946542
153.814033,104,636.676613
132.991897,129,637.633107
208.779872,230,640.317616
-58.40641,112,641.160658
157.961755,160,642.375839
166.070506,108,643.596573
147.795981,163,648.120828
162.209035,122,649.228023
196.918666,185,652.044967
205.652252,186,654.996682
1132.070068,145,657.863638
172.051831,147,673.511746
186.60238,110,674.268215
144.606875,241,676.935132
164.300778,166,682.003304
163.422104,103,684.183821
202.966037,198,686.20668
166.115937,175,690.979942
103.006461,148,693.77496
149.964748,107,696.379047
125.957459,111,697.059886
168.855617,169,698.267128
145.072645,142,700.116352
189.752854,199,701.695153
149.469924,84,702.301217
258.364866,204,703.778865
205.939151,177,705.056894
150.430546,155,706.077199
-2.75181,115,706.84779
146.097935,184,708.253096
159.542651,92,708.765789
146.37785,143,710.569745
158.746259,134,713.692348
221.759419,156,716.957323
169.967226,165,718.90161
193.735266,237,724.20279
116.740825,152,726.195625
151.982193,128,728.097469
222.190753,175,732.448122
175.256399,158,733.440957
-96.95042,18,733.562174
225.381363,189,735.00829
151.604541,101,735.771212
-110.623852,68,736.389079
171.986863,138,737.343669
197.715832,183,738.596008
201.294284,157,740.514836
161.220334,92,741.923756
169.402021,241,744.509264
196.734841,181,746.803901
172.291917,98,747.695477
176.795529,130,748.658079
133.768213,111,749.409938
147.899545,176,764.191086
171.603829,149,766.325572
203.248427,156,767.542782
1151.759396,227,771.622385
1148.11835,241,776.803384
147.779953,147,777.586603
100.917503,127,778.4998
130.399642,150,780.273656
133.037551,124,780.979081
167.83579,161,782.972977
166.619734,122,785.876693
162.299806,87,786.553762
188.298494,224,789.034232
183.619806,178,792.133704
130.54419,119,792.848919
174.852377,158,793.818216
197.661927,218,797.139347
114.174795,241,799.047807
-96.902306,28,799.307348
178.415549,241,801.037115
179.765766,189,803.898742
153.454395,105,804.585236
-56.143861,102,805.319362
145.287938,140,806.84332
148.793415,241,810.04174
364.251924,48,811.202735
147.714081,137,812.238808
226.986328,212,814.689961
134.056207,100,817.109782
175.956422,173,818.174362
166.625868,152,819.250767
137.807292,121,821.065479
192.725177,110,822.554605
150.312986,174,823.722284
-110.071753,120,825.58621
159.160932,106,826.328633
179.504358,203,830.551338
157.38049,117,831.614609
103.029223,86,832.194943
228.514826,186,833.459627
137.441467,105,834.145661
159.608138,241,849.229131
-114.711476,20,849.406515
165.257371,125,850.296176
972.402676,164,853.67862
120.473163,149,855.415062
162.247104,199,858.151494
236.479031,226,862.18933
160.364284,113,864.762206
927.200389,241,869.426394
124.052848,98,870.868323
153.961403,97,871.64734
240.848951,160,872.855622
131.149652,139,873.796843
184.763798,221,875.282918
138.530225,144,876.328048
187.650442,177,878.466201
125.274306,115,879.958178
40.684809,1,880.946653
119.83859,106,882.632006
207.823999,179,884.733211
123.935601,89,885.13066
158.967805,120,886.807783
158.412782,133,890.397228
185.299405,97,891.747919
167.959406,121,893.851852
123.43772,49,895.369602
218.76381,210,898.444473
191.652147,239,899.890013
132.909887,141,900.892857
202.047695,187,902.181753
195.430228,195,903.481887
232.342485,240,904.907147
127.15074,105,905.575847
160.000464,107,907.243605
186.609952,161,909.280732
214.397597,163,910.442566
184.605918,190,913.542077
131.269612,105,914.412609
120.613143,95,915.032558
136.123169,135,916.184084
127.843984,111,917.8188
139.979298,144,920.037538
-63.801089,1,921.029843
155.540029,89,921.447236
8.085317,118,922.219173
948.26425,105,923.808648
181.663555,228,937.173747
157.714574,165,939.09045
163.621766,241,944.257123
173.327368,111,945.847444
170.483582,179,947.640025
169.325135,241,951.687133
-125.223372,29,951.923147
903.345657,234,956.842039
196.374219,203,959.445525
184.602511,165,961.797362
148.377381,122,963.529932
149.783634,116,964.300143
127.918613,103,964.913426
150.951655,241,966.765214
-103.636383,35,967.041384
183.020339,151,968.982082
128.254202,120,971.735565
145.995643,138,972.704875
203.994752,219,975.019942
594.133774,241,979.522186
1061.828314,217,983.067947
175.275798,148,985.015697
162.692575,76,985.420659
219.256522,209,986.714456
188.828081,208,988.254586
210.223933,188,989.755797
158.91826,169,991.827253
591.118263,241,994.260311
180.263641,229,995.721946
170.092312,145,997.419955
-94.157199,77,997.896172
