#{"t_start": 1770698741.376263, "env_id": "crossing_planes_multiHead"}
r,l,t
827.058254,241,12.314261
104.371485,120,13.390652
788.683234,241,17.978712
-131.430397,45,18.207651
-121.865121,64,18.667625
-123.787052,46,19.036202
-39.130468,54,19.83695
128.769947,192,22.593507
-127.220512,54,22.906657
1012.875127,241,26.739588
-73.079889,77,28.69573
-109.259642,34,29.277671
89.184314,153,30.721094
34.18025,105,31.31081
88.359134,155,35.516677
188.467571,223,37.927166
126.596248,171,44.036863
152.347581,157,45.188409
187.979406,198,47.418434
-139.22037,32,47.667475
-87.935224,112,49.895002
228.024686,176,52.582353
-65.819422,96,54.313886
-178.267578,74,55.618818
-103.045231,107,57.380013
178.277235,175,58.778984
84.025776,105,59.352844
-132.312943,29,59.556762
-99.197675,18,59.684878
126.122945,148,62.283411
-90.328269,23,62.532076
151.404112,196,64.563239
199.85624,211,67.559914
197.124731,181,70.104388
-68.618707,185,73.672996
-49.983862,75,75.432178
131.751512,197,76.910682
967.092337,241,83.640908
125.684176,158,87.397403
111.128798,241,89.474154
-64.711042,100,90.074812
-103.306833,37,90.296025
194.75305,194,95.909105
173.012719,172,97.159933
-89.763682,33,97.364302
130.059005,136,98.224669
208.962992,215,101.997591
182.871987,49,127.644788
65.001661,126,129.214495
158.974675,184,130.539427
62.044146,96,131.137782
41.277058,182,134.863306
116.978311,101,136.742374
129.263662,168,138.470886
159.698269,131,139.350885
188.539561,162,142.443818
215.480511,192,144.172368
161.434366,122,145.163586
-116.461769,15,145.274802
162.977492,137,148.747307
-95.491757,62,150.127369
98.320062,144,150.927241
138.090298,167,152.646633
185.008896,241,156.1997
871.80123,176,158.528608
101.7252,107,159.184542
167.382655,162,160.297822
174.00842,131,161.751166
127.559859,139,163.593451
109.339725,116,164.227241
191.401393,217,166.736987
109.148689,160,168.049468
1177.779052,215,171.040686
156.174819,94,172.693369
128.32389,207,174.937756
151.894231,148,175.787935
112.77041,236,177.130152
190.070244,233,178.538087
142.207045,132,181.1925
179.585976,144,181.925232
136.847727,134,183.609198
202.512451,202,184.725854
143.975305,163,186.286533
178.874238,191,187.590268
114.571514,99,188.270102
130.23398,148,189.181123
-139.084648,38,189.424316
182.529531,241,192.267603
193.029083,238,211.273017
125.718476,128,212.348854
119.219147,150,215.428723
79.686558,102,217.075055
62.559023,116,218.136236
120.71014,163,219.219389
84.87066,157,223.108835
123.870322,115,223.859368
196.093223,230,229.919904
148.009054,177,232.891957
107.643884,138,234.782919
126.524864,236,236.673019
157.876947,151,239.296458
141.365147,137,240.384809
177.643069,100,242.744862
154.925803,241,248.20309
150.6128,108,250.047108
-93.080938,22,250.181313
126.530651,118,251.942373
191.659011,209,256.826774
16.717701,117,257.415223
792.029249,241,259.651885
104.751919,176,262.258069
122.081042,153,263.011495
162.730395,162,263.933014
191.549131,207,265.807194
83.466892,168,266.830584
80.717787,103,267.458684
121.361814,176,269.444489
196.593523,160,272.08343
185.921504,172,273.841727
142.644854,88,274.444436
150.887449,104,275.104844
173.97488,221,278.884505
158.934101,153,279.534495
131.943025,127,281.228186
-95.79458,42,281.480482
170.844697,186,282.563874
146.838007,133,284.326406
213.89544,240,287.974928
183.092226,193,288.978147
219.326078,179,304.755658
860.491417,188,309.096211
220.192949,205,310.471016
133.703797,120,311.20779
162.308827,165,313.198918
153.517688,101,313.694302
161.507279,148,314.529901
183.871159,154,316.319103
-94.870985,108,316.902192
170.754232,152,317.87841
131.464696,195,321.039318
117.96033,122,322.389594
180.652982,214,325.284073
140.582519,81,326.031737
166.225664,97,326.816581
-138.993772,35,327.145443
852.250515,171,329.076264
89.453905,83,329.489801
-102.81612,94,330.172372
-108.723104,75,331.535595
141.879116,153,333.191051
198.037079,204,334.371626
104.071734,141,335.264278
118.43691,110,338.32509
175.889706,174,340.954471
153.606265,193,343.737721
119.020516,208,345.607632
-96.62776,112,347.162156
165.899917,163,348.124849
185.000704,241,351.547196
179.469824,206,352.711586
145.472004,111,353.424672
115.883072,152,354.439062
93.287235,102,355.063227
149.649385,122,356.586905
-132.328141,134,357.332363
170.210315,163,359.242403
153.616236,167,361.21745
141.270802,107,361.781045
255.118307,180,362.777842
-134.802502,55,364.70313
179.838744,198,365.754101
140.920434,144,367.714252
202.819889,206,389.063169
168.488627,138,390.009166
135.7706,142,390.780957
150.611385,157,391.680324
135.360086,157,394.801026
159.406686,79,395.490924
181.62238,174,397.914909
146.819665,192,400.841298
221.988235,173,401.9066
148.328916,156,404.609242
152.828513,166,407.981188
196.494482,154,408.770699
75.502821,147,410.466283
110.993181,138,414.002036
249.947528,209,415.220736
217.979081,174,417.2718
117.175442,101,417.845736
164.239353,96,418.394207
176.192678,142,419.194004
226.51962,194,421.14197
130.154131,113,422.837702
196.939641,184,423.857885
147.049152,152,425.757446
188.230896,193,428.757715
131.001514,208,433.018637
139.26499,163,434.489086
164.729286,194,435.623132
161.990408,153,437.255774
159.83272,124,438.826417
172.642849,154,439.602716
174.47266,139,441.21288
150.919597,119,443.573802
129.491482,116,444.10264
119.732431,123,445.536061
1509.399956,203,448.330225
-138.154386,47,448.569406
190.611637,175,449.455465
127.730209,104,450.085194
172.140911,102,451.366472
159.315214,127,453.09472
182.878748,121,455.235148
181.747107,146,456.481633
199.572464,162,469.791036
167.831632,153,471.502959
-108.883606,58,471.812306
199.046205,181,472.873327
159.51491,140,473.818033
133.355778,135,477.246178
159.569385,207,479.654029
181.637676,190,482.251297
235.222552,203,484.269684
125.411092,129,484.939629
157.556658,196,487.618929
180.579214,178,491.257428
162.266767,165,492.186618
982.085432,162,496.726191
127.111834,116,497.626961
906.794305,241,501.426764
64.366825,135,503.026979
185.268687,159,505.59763
1251.649619,178,507.246261
1357.583046,197,510.015463
180.879223,241,512.449044
204.917444,191,515.348731
746.914281,137,517.303019
113.379042,76,517.924877
159.525758,180,519.654754
1417.509246,192,521.435471
119.65467,148,522.979904
146.787907,126,525.351115
123.216606,123,526.869997
153.018485,91,528.40867
165.386079,149,529.152605
198.511896,198,530.984517
208.710272,174,533.727622
138.01461,111,534.372895
1101.487464,241,537.259648
113.182989,86,539.232519
154.653504,99,540.629461
171.055919,190,543.817613
236.012181,198,545.807246
191.908227,188,557.221703
177.575554,227,558.63754
-36.474241,145,561.271788
157.852688,210,563.883194
148.230696,117,566.003278
213.071514,177,567.99763
179.191527,185,569.20448
198.159521,202,570.443419
162.469842,165,572.128313
131.717091,128,572.809
159.648681,241,574.271234
180.3749,167,577.190326
224.409091,235,580.457551
128.517769,211,582.44108
-109.278989,37,582.661685
179.840665,136,584.353844
86.629075,131,585.073418
126.371488,126,586.075083
252.469045,207,587.189761
-108.255893,74,587.65559
206.676411,161,589.331864
182.287941,115,590.670637
111.859897,79,591.138981
148.66528,162,592.222985
256.433458,203,594.365301
145.8666,241,597.444791
151.05904,157,599.249122
-83.163709,62,600.53324
157.616477,241,603.659158
627.822389,241,605.889149
129.365343,143,606.791527
150.032293,187,608.179581
154.549056,164,610.408696
221.320804,222,614.830073
157.1211,132,615.591444
174.825795,146,616.494367
149.739067,118,618.363606
142.506927,157,620.301324
190.208589,186,633.890949
101.57692,241,635.592514
187.409555,191,636.925809
136.60569,105,637.614819
139.682315,111,638.348463
222.760146,232,642.446284
165.792913,149,643.256167
88.219517,100,643.830776
163.939268,133,645.470256
180.540165,174,646.64172
153.389907,95,648.149711
267.34671,213,650.383314
133.786548,99,651.011593
210.625174,182,651.975438
127.074132,98,652.571451
161.330741,92,653.113155
129.127461,128,654.125772
220.058028,217,656.34284
147.527342,121,657.919186
198.124999,210,659.803126
211.504146,177,661.573575
174.327189,232,663.687523
166.346347,154,666.455647
174.000064,193,667.664089
152.947621,146,668.965165
127.107168,135,670.36393
94.577511,115,670.972534
191.952578,170,672.014946
183.66035,190,673.657721
161.382267,105,674.329187
197.418299,210,675.575666
161.33834,148,677.341351
112.419215,156,678.320089
230.074793,223,679.631437
154.295736,130,681.114029
150.142253,145,682.189016
146.882276,139,683.168875
128.370574,99,683.931839
111.295516,241,688.257345
132.160447,167,704.91216
141.942595,86,705.556518
252.040841,202,706.989064
151.561803,133,708.617035
150.411028,79,710.021054
157.340801,145,712.778385
1052.818542,157,717.33704
182.961757,178,719.051344
1092.011323,185,720.937936
191.237347,184,722.831094
147.79957,139,723.787635
167.728933,104,725.268796
132.040786,97,726.30364
196.768969,167,727.814839
153.225237,105,728.495932
164.968052,210,729.850643
1188.685369,204,732.069251
149.094356,241,734.387241
153.864079,118,735.12373
179.092148,136,735.920162
149.780042,132,736.58941
170.877019,146,739.937569
113.506017,150,742.105985
199.006364,195,743.090718
194.032506,203,744.289389
1222.18995,239,748.984241
173.383718,155,749.812538
182.575786,159,750.800966
182.193951,173,751.848286
145.157125,90,752.369776
181.273291,179,755.632521
199.219576,198,756.859134
91.291481,81,758.31101
193.716717,196,760.091537
185.165136,211,762.946682
179.343789,158,764.776056
131.700753,139,766.512834
125.538563,107,769.083409
174.364082,183,770.066359
211.582439,144,770.919567
118.251887,140,786.765565
191.833091,159,788.385059
159.133122,156,789.503661
144.625905,136,792.865017
154.210115,144,795.069406
162.219357,106,797.403473
160.955234,146,798.080618
127.594973,241,801.04239
161.75111,231,803.045192
1511.672009,204,806.705308
179.662442,182,807.725195
148.8646,137,808.475222
159.588972,157,809.474773
178.135108,122,810.238094
219.524313,185,812.083526
110.16798,89,812.586853
98.378539,241,814.084807
1.448199,111,814.689848
-98.407043,8,814.762934
120.384885,140,815.548821
168.173296,199,817.644502
119.02383,126,819.900741
145.497616,85,820.31561
187.551074,207,823.589435
174.877242,241,826.095154
125.049227,128,828.421503
189.008136,211,830.338663
196.654818,180,831.158537
175.359545,156,834.698194
139.998195,162,835.641995
-59.208002,1,836.541752
127.324959,106,837.173939
133.396627,141,837.991449
157.586846,132,838.714822
127.913599,151,839.432597
183.368124,201,842.130245
150.236452,101,843.583557
157.80128,145,846.435791
135.141704,137,847.576475
152.098941,108,849.195227
980.24828,152,851.004431
136.707703,115,851.727346
594.196316,241,869.384221
163.997076,171,870.458283
1330.539773,241,875.640388
164.336752,107,877.710865
208.676553,216,879.825099
197.1168,182,881.46543
112.080276,141,884.100201
106.722023,84,884.633081
165.637803,162,886.385372
1316.566532,211,888.628019
-120.717163,31,888.829702
154.261515,150,890.557654
210.885425,158,891.385812
947.376183,226,894.354125
180.146561,176,895.216196
167.83706,152,898.627718
99.725556,241,899.914681
139.029343,153,900.695969
180.082402,119,901.460028
155.970138,145,903.054915
142.463261,136,903.878
189.443761,176,906.055179
143.431434,116,908.095038
129.538229,99,908.815419
926.923237,203,912.422717
155.944666,99,913.812339
131.344614,96,914.283217
-124.483121,26,914.423641
148.931756,88,914.961592
938.142119,107,917.167261
183.821715,167,918.082055
217.256719,194,919.995666
176.751099,220,921.491383
724.553066,116,923.08328
170.495582,155,924.710617
1036.539872,241,928.526077
155.288938,141,930.633853
152.902661,125,931.703462
190.098184,165,933.266088
243.236862,207,934.471372
222.582737,158,935.438669
176.244633,149,951.342695
151.166169,163,952.35752
172.554574,172,953.441023
160.09105,166,954.711806
156.154369,184,956.750056
191.197922,173,959.614109
126.191784,104,960.464138
145.674732,181,961.570427
