#{"t_start": 1770752080.1806378, "env_id": "crossing_planes_multiHead"}
r,l,t
-101.919277,72,9.544966
-115.019176,80,10.236886
-76.335121,123,11.831593
-52.007235,89,15.224561
177.428502,161,22.810476
-95.524877,63,23.505993
163.148176,194,26.216804
221.112836,205,31.923365
-42.175451,70,34.664478
-51.594588,120,36.326262
-137.448179,36,36.775355
165.752735,197,40.272658
-89.422365,81,43.051507
-16.814541,124,45.927411
171.516657,212,52.778725
115.856039,124,54.163131
137.884499,180,57.170892
107.321654,139,58.980438
184.702432,204,61.293762
-99.599285,1,61.331543
136.4672,166,65.725659
166.922322,136,67.283683
-117.578958,91,68.414739
-66.273447,76,69.428127
-108.924652,71,70.781556
152.986871,206,72.933514
132.855566,141,75.115019
121.556713,181,76.661363
-123.81837,44,77.120252
-107.932951,82,77.848601
116.203249,241,82.151836
90.674187,80,82.92582
185.264387,188,86.377604
-143.920022,73,92.701977
821.026927,192,96.113129
588.007362,179,101.917458
-132.911056,77,102.546996
173.978868,171,108.641243
183.306256,215,111.753656
6.099,162,113.177744
153.602647,65,115.713255
170.485072,128,118.029418
175.723055,188,123.101053
185.634965,185,127.855285
116.484468,141,130.923394
89.421029,240,134.972263
-112.14856,62,160.212109
124.976892,88,160.70668
147.425466,89,161.380795
218.261418,157,162.643305
-81.663218,71,164.141319
-86.904093,111,165.004462
-72.863066,82,165.667913
787.437396,241,169.81038
157.737453,206,173.017197
107.215444,108,175.663251
-137.609039,88,176.281126
167.573329,193,179.073955
-312.976364,59,179.882629
164.831136,227,182.336451
160.609427,120,185.402014
-59.236103,1,186.470689
-138.804322,45,186.725414
120.491208,117,188.220781
135.488653,183,190.450199
-116.022807,61,190.875917
-100.296207,81,194.655998
-88.416179,30,195.133721
78.99733,140,196.668699
138.160797,158,199.494089
685.803729,241,203.943774
56.963818,107,206.542835
185.355024,145,207.746356
-63.559709,60,208.46069
93.713522,143,209.809587
212.015901,215,212.344277
166.108113,129,213.18369
77.670787,109,214.147511
129.419131,197,216.407958
-132.142276,61,216.920725
162.823572,137,217.945028
-160.572208,59,219.332068
-114.880545,84,219.93274
42.784703,190,225.159478
174.213936,114,225.940311
135.358848,169,227.206918
-123.986004,98,228.183122
202.676729,217,231.259444
-3.956113,122,233.629179
152.376753,166,234.669381
43.35637,241,236.708625
-106.641146,56,237.139618
197.185031,241,238.860252
222.303351,227,242.474977
-141.579469,32,244.113305
181.024033,147,262.693346
140.990937,107,263.485042
125.277115,191,265.715355
208.958104,211,268.960245
-86.406713,33,269.343612
147.987749,151,272.623967
179.41986,241,276.730018
-94.412095,63,277.174614
163.634393,147,278.331023
152.013993,173,279.69101
247.227383,235,282.245678
262.90007,198,285.4604
218.669693,192,286.847262
87.734726,108,289.060487
89.334755,85,289.613448
260.280199,205,290.891094
107.482456,129,291.801507
108.56866,78,294.134061
121.455777,143,295.11193
154.029973,162,296.133368
-76.227067,76,296.743822
137.417515,156,299.079124
-104.778099,51,300.45638
120.787943,121,301.125477
187.911061,200,302.547332
1172.213871,241,305.329287
-159.432674,48,305.672979
1186.414057,170,309.264761
-168.825813,68,310.896064
171.902872,91,313.171219
167.369531,159,314.673037
211.831037,161,315.814656
205.356618,196,318.032374
146.277006,132,320.792087
945.095126,241,324.378829
113.891822,137,325.311321
121.650936,129,326.153171
150.231058,86,326.76516
163.721511,158,327.940213
175.625003,188,329.390908
96.972422,113,330.163926
154.99522,184,332.06325
-7.124346,103,332.715947
-140.99908,33,332.945647
95.438996,132,348.910668
141.941755,187,350.76532
-59.21299,1,352.451474
170.337079,183,358.382814
-90.133323,61,360.505809
180.49606,182,362.784161
137.081252,134,363.755499
130.746773,174,366.919682
132.069728,126,367.909252
-23.768028,127,368.918222
168.809717,141,371.032125
234.53492,224,375.74631
110.735689,95,376.276214
40.763715,82,378.565884
122.275783,127,380.401332
128.112064,141,383.445361
198.210836,117,385.232084
136.230188,110,385.96209
174.895794,141,386.910112
122.65643,157,388.977552
148.863846,153,390.125223
-10.50749,99,391.050335
241.232578,187,395.040293
-156.823717,57,396.075356
193.150045,159,398.448206
210.878585,197,400.063597
189.991145,135,402.115037
189.191627,215,406.358647
172.792862,181,407.811338
240.131336,192,409.768595
-58.795835,1,411.032176
87.345477,187,412.389549
202.702647,234,414.041135
94.760171,139,415.089247
174.546479,155,416.15358
142.789609,157,417.314561
177.227515,163,419.824235
203.370466,218,422.214405
145.577796,103,422.851565
130.764442,123,423.617773
119.188817,84,425.259677
806.724266,151,429.518273
-98.972555,5,429.580186
229.029125,182,432.948837
165.492511,208,457.701497
177.390796,148,458.732545
128.356444,121,460.51242
187.143251,190,462.235389
