#{"t_start": 1770582138.3960059, "env_id": "crossing_planes_multiHead"}
r,l,t
158.834286,241,12.386215
-55.206061,45,12.707337
126.133672,241,15.724973
-99.052046,21,16.148473
149.414033,231,19.452924
136.359946,193,21.625205
125.313673,206,25.080288
-85.553759,104,25.878177
167.093813,126,26.721005
-32.949673,182,29.618837
162.659373,241,33.348055
-110.655586,16,33.575854
1129.181745,241,38.457517
-84.812734,89,40.167315
-120.097276,63,41.064229
138.515783,114,43.475331
-86.689568,81,44.37847
-55.245755,72,45.172855
-76.221285,40,45.42478
-112.066361,53,45.759211
166.114283,115,46.490097
190.518419,194,53.388723
-108.087654,92,54.778775
133.125289,213,58.318071
-91.412,82,58.984405
-113.752604,87,59.635325
-101.766712,71,60.39837
-75.747445,106,61.415958
-104.356236,15,61.518547
63.682463,121,62.87339
-107.09845,37,63.529161
5.407204,115,64.494757
120.830601,153,66.841033
116.524033,133,68.921715
177.63292,125,71.258272
-19.494011,5,72.246085
125.654987,106,72.848559
90.658759,102,75.678216
-75.552954,85,77.713898
131.781822,157,79.109792
121.253797,90,79.702602
118.089887,147,83.679626
958.526378,241,87.071211
122.373678,97,87.782627
195.120149,150,91.771298
127.802023,180,94.704105
138.937684,113,95.703571
-149.095274,77,96.257208
156.846405,158,97.756974
-115.403888,51,100.607826
-58.795835,1,101.583978
-143.532676,35,101.859051
129.581592,125,104.914957
-86.09315,62,105.287675
-76.32274,55,129.013252
229.198854,234,133.886696
122.143785,83,135.771257
97.280869,156,138.285928
-70.426022,91,140.599967
40.619989,1,141.89938
882.01284,174,143.631564
149.597862,92,144.187527
158.903097,185,145.770137
-146.457131,47,146.169261
-178.506875,88,146.789303
86.338257,105,147.302453
137.306794,137,148.879108
137.689512,92,149.465364
169.219484,143,151.183913
194.899871,142,153.074227
33.028774,92,153.956003
212.814144,235,158.21672
164.52887,160,160.409419
168.925004,146,162.281134
-138.018188,78,164.08348
-103.873504,21,164.231011
126.542406,166,165.146226
107.301286,86,165.612663
117.530591,139,167.477435
215.378661,143,168.320702
180.65002,202,171.20146
136.535627,126,171.863473
-88.727294,59,172.204807
-73.118651,84,172.715616
50.0355,120,174.297534
-41.74084,103,174.87486
162.797184,163,175.921301
116.840692,103,177.980776
-149.195056,66,178.315442
82.243855,186,179.421247
89.714652,91,179.959105
123.768855,201,182.942338
200.06813,185,184.706697
144.932494,154,185.723893
210.905558,194,186.856827
-10.4959,112,187.477918
-58.795835,1,188.423654
-115.210374,58,188.664913
153.539832,102,189.23315
350.788362,95,191.54232
219.750028,168,192.450583
109.533313,111,194.007394
150.885923,148,195.843189
190.580942,161,197.44569
-59.142235,54,197.824934
144.349191,137,216.256287
68.348717,79,216.800991
-112.741284,100,218.561474
92.968817,146,219.56344
-59.208441,1,220.570966
112.421742,129,222.208933
176.106587,198,226.741424
94.349999,111,228.710843
174.340272,142,231.380943
75.772212,90,231.928882
130.028931,107,232.718158
-96.625039,50,233.084623
-76.658971,76,233.669878
136.016484,159,236.71752
128.081514,120,239.916911
141.764271,156,241.623302
74.176071,165,246.599217
150.764576,81,246.944871
992.494839,205,250.236099
-37.995825,72,252.714726
161.258021,98,253.231668
656.447761,64,254.407279
98.867229,92,254.844568
188.648994,241,256.450126
141.756816,108,257.129133
107.404906,99,258.58833
158.177769,102,260.020989
152.926413,169,260.97018
186.105287,127,261.622786
150.284544,123,262.331809
126.69875,100,262.917789
21.433338,147,263.842114
167.469875,101,265.257133
164.018357,241,267.143702
187.979514,195,268.33392
200.15663,201,273.31978
-121.320867,74,273.836459
1321.489317,175,276.620425
242.460172,195,278.4506
123.250219,132,279.909808
-77.265971,63,281.198895
199.780891,231,284.546129
157.122454,128,285.297054
169.917739,156,287.101284
156.703133,182,288.290411
-64.085052,98,289.823169
151.614904,184,291.998732
221.429285,211,293.329049
-116.687845,83,309.669236
-102.765475,38,309.933183
239.927562,182,311.104778
135.4976,117,313.71439
159.180513,112,315.631029
119.219375,141,316.960086
-216.108383,32,317.294867
176.380041,194,319.601733
151.772256,89,320.434386
94.706694,241,322.869353
163.687666,185,324.80662
-119.478298,46,325.084932
166.936509,100,326.613805
170.133301,131,328.193576
23.239773,159,329.74086
154.319017,156,331.611581
199.912825,217,336.531956
158.372438,96,336.990094
140.51487,129,337.636707
191.062063,227,340.096326
174.584563,169,341.052568
-99.205395,1,341.065213
1018.560372,241,343.393507
237.018984,179,344.424617
130.289575,127,345.192344
114.873784,85,346.487582
155.447679,109,346.954449
130.174572,120,347.670953
-141.746235,96,349.738437
154.247087,166,352.407445
152.959432,156,353.625465
119.660643,120,355.108482
167.725092,136,356.086547
-105.81421,107,357.344897
-74.204896,80,358.011668
129.071085,101,361.066401
896.053637,135,362.946265
93.070467,99,365.359217
-111.175311,27,365.531754
155.08259,144,366.44841
845.997286,241,368.665533
-90.951087,37,368.905558
-120.803732,85,369.480005
141.711092,167,371.570447
154.952115,133,372.571415
-96.330187,41,373.159592
134.581493,103,375.188393
167.055578,154,377.127978
228.511878,215,380.641924
166.617016,127,398.414054
176.715051,188,400.649754
159.002899,147,403.61441
153.34951,159,405.080925
114.184978,119,406.003004
208.114734,138,408.714233
119.693383,111,409.424866
111.809232,139,410.450266
134.503537,131,411.315455
158.420479,142,412.174374
117.87183,87,412.768584
165.204177,106,413.613721
221.391714,207,416.224321
1272.197987,192,420.183849
1338.919635,241,424.710689
163.883334,178,427.35939
152.065574,115,430.469202
163.328194,139,431.154204
110.171298,83,431.698295
189.093637,221,433.013765
86.016433,156,434.876125
-100.638288,5,434.910895
238.555493,228,436.192275
185.24206,162,437.091558
140.643383,129,438.629397
129.290598,111,440.436131
159.714728,158,442.163229
1182.135387,241,446.383101
138.404552,106,447.80107
1381.506783,241,450.201007
169.667139,192,451.733406
192.732686,180,454.783198
150.737715,159,456.688962
817.599205,203,458.759394
160.425047,148,460.5415
164.840239,163,461.452316
91.187199,150,463.114735
149.589798,168,465.622667
161.956174,127,467.26745
155.014235,116,468.794201
122.669899,129,470.344474
146.268514,117,485.077657
245.038378,207,487.453894
-99.66345,1,487.472451
93.86952,148,490.119108
223.802516,239,497.11499
185.799874,162,498.79653
197.388683,142,501.30413
-129.607902,36,501.496235
171.26109,143,503.176002
153.740059,153,505.794609
154.4823,140,507.633396
128.188269,93,508.621863
127.249584,95,510.248828
125.835071,87,510.774979
158.499893,120,511.569011
227.601244,180,512.997434
188.239122,180,514.967091
214.69062,189,517.606254
114.834281,126,519.090997
173.84984,139,520.892557
155.376124,241,522.212309
1161.108431,133,523.931032
153.208804,159,525.013911
83.983193,128,527.452616
183.538904,179,529.061884
118.369052,83,530.874049
179.127147,113,531.541082
136.779816,135,532.377799
196.995518,168,534.313615
