#{"t_start": 1770605838.5874019, "env_id": "crossing_planes_multiHead"}
r,l,t
152.4762,168,9.305862
99.317732,154,10.50117
-61.997103,55,10.834286
-33.864447,112,11.614648
-111.048595,32,11.875384
153.039086,241,15.69163
77.728845,241,19.697063
171.373631,237,22.324062
137.202389,151,23.201082
-137.32883,44,23.488448
135.883893,136,25.158761
151.131008,241,28.879007
-47.283331,59,30.658451
145.100606,189,33.140882
152.079007,177,36.175644
129.79033,141,37.125044
-98.124332,66,37.681899
152.059183,190,39.282506
163.797375,241,42.496063
751.514477,241,45.897865
139.812278,115,46.796557
953.106442,241,51.099782
523.908764,241,56.864593
121.162259,117,58.61943
-161.99324,44,59.02223
132.655233,165,61.022204
1062.097593,212,64.257347
-143.047045,26,64.574838
139.077289,132,66.159915
119.923588,160,68.021686
-88.671878,77,69.575104
183.470766,197,70.6826
209.316681,176,72.413248
76.833814,157,73.666274
-134.690678,27,73.960665
173.123108,221,75.571448
-93.630949,60,76.228898
132.130843,181,78.452329
-96.09156,60,78.823857
184.788275,139,81.245012
35.582863,112,83.092282
174.11588,153,85.661134
146.706895,209,109.528535
-94.420437,102,111.741495
147.089969,129,112.626751
-77.827237,71,113.149053
173.392171,241,115.045193
119.739549,215,119.702233
173.081787,188,122.046719
175.238787,161,123.762034
172.813879,141,126.390554
-121.856283,70,126.814521
162.007817,157,127.694395
102.794194,148,129.136581
353.202162,99,131.48596
233.364567,226,134.350835
573.326807,128,136.56221
-48.076355,57,137.059659
203.959886,202,139.979759
181.441517,129,140.6961
147.322654,115,141.39693
-183.616863,31,141.627446
114.218219,175,142.813464
202.459627,183,143.852167
142.834864,204,146.095486
-104.992152,61,146.534628
140.584562,194,148.467077
118.646936,165,149.332247
-137.505199,114,149.923391
112.2334,103,150.517804
187.004097,189,152.23846
-182.342191,32,152.408924
156.629195,117,153.085031
176.693068,172,154.097251
170.811169,158,154.995891
116.348799,86,158.001298
-128.057321,29,159.351868
187.30329,211,160.485038
-42.643156,124,162.127199
992.700823,236,164.165807
122.178569,219,167.595574
162.527933,94,168.361241
-33.976955,136,170.132667
181.694994,180,172.023755
94.899953,154,172.918613
183.321668,116,174.102535
135.675087,98,174.714273
155.312847,167,192.106012
157.632413,135,192.86252
186.062468,112,195.600942
-193.505933,52,196.225966
131.781629,112,197.429576
103.082917,190,200.24013
220.457939,211,202.853218
90.001942,117,203.468902
107.523976,111,204.11759
190.147291,181,206.073196
119.888629,143,207.021315
-132.736985,28,207.220498
155.168018,141,208.950815
146.996193,182,211.633845
-89.644672,81,213.366375
-189.123701,56,213.755658
107.360926,101,214.576602
119.20036,127,218.384392
140.814375,121,219.17792
186.958321,134,220.086429
190.335322,183,221.273255
91.459183,126,222.432051
127.752664,121,224.878272
-89.883659,63,225.235241
179.194091,190,226.417496
165.975687,152,228.052995
103.35021,123,228.714779
-92.012169,55,229.066917
-60.650161,1,230.009869
217.728105,231,232.227458
143.213853,161,233.805087
107.435888,143,235.353023
-64.837524,92,236.699902
172.189943,164,238.50954
182.295871,165,239.860188
189.302879,154,241.622716
-128.349236,38,241.799122
246.517124,182,242.635519
179.628074,173,243.531341
197.867666,167,244.524087
153.285951,102,245.144852
184.51544,223,246.559999
263.596596,220,248.688363
1050.295951,229,252.246353
197.791277,135,254.729148
157.602601,80,256.313839
67.771046,130,270.630805
1089.828683,153,272.286172
-162.038784,38,272.518392
-140.998126,36,272.738521
-147.08398,56,273.124307
161.799704,190,275.584354
166.566646,134,277.675171
146.11903,144,279.506808
151.213926,228,280.978436
177.393119,161,283.707651
173.829766,186,284.800073
152.608132,160,286.570104
149.262866,167,287.411845
1203.771202,181,291.810881
134.670148,96,294.181256
81.944051,121,295.054246
153.99725,92,296.47113
130.627827,193,298.379361
171.05595,105,298.93681
502.116776,75,300.107638
196.459446,184,301.770355
167.489971,158,302.587298
-59.20803,1,303.452642
1145.502336,238,305.561075
178.247964,176,306.637756
161.464551,144,307.459446
149.076519,114,308.136162
150.012599,129,309.722483
192.792734,155,310.943768
235.817163,241,315.569538
99.647142,101,316.193035
157.494449,206,317.511349
118.068037,144,318.488596
141.592934,130,319.210238
207.318656,179,320.293507
152.161799,170,321.28033
91.644501,121,321.986872
99.892658,184,323.0361
1043.625955,241,326.79454
124.445029,168,327.703406
1024.481273,241,333.061709
-98.540144,23,333.201603
145.185292,87,333.97316
215.194059,146,335.685394
161.882151,131,349.564242
213.458509,212,351.592074
154.497658,115,354.017907
156.877089,180,357.073947
138.668558,175,358.084013
212.716861,188,359.357212
181.47035,146,360.601817
898.92381,189,363.174234
144.700748,129,364.430197
163.941591,130,365.222092
103.470551,116,368.184135
139.497046,169,369.137968
1132.991304,241,372.750385
160.245203,132,373.625383
132.00042,175,374.871485
197.225078,197,378.422619
174.7979,193,379.538332
131.028463,112,380.502719
175.976318,171,383.37343
244.689629,215,385.731982
149.132702,74,386.716305
-115.945825,51,388.001696
206.081631,195,389.894832
1036.816093,164,393.162402
221.020725,24,394.136924
253.069523,236,396.442336
125.605085,135,399.309559
131.042323,141,399.998498
199.839076,158,400.747792
240.531172,161,402.574689
123.469932,87,403.02092
146.539304,107,403.671036
156.25269,158,404.769906
128.891592,101,406.222627
154.02267,123,406.915009
115.422625,88,407.468642
461.690719,107,408.924362
154.561447,125,409.607403
156.631397,154,410.578076
209.087742,219,413.906671
117.571714,111,414.555409
144.385363,144,416.429182
922.352435,136,430.694468
169.390119,106,432.278039
175.641679,143,433.03196
225.452343,208,434.21419
183.180077,179,435.22077
146.030247,111,438.304679
161.458372,105,439.440743
224.82872,230,441.214849
144.555569,113,441.917224
190.854944,170,444.994847
140.118037,106,446.130356
152.09365,136,447.8308
-85.624028,78,448.283516
164.798078,221,450.2073
185.414154,191,451.963667
141.545938,126,452.769144
135.688949,159,454.451441
145.823066,130,455.133818
188.261694,176,457.043071
218.48378,194,460.395547
169.401479,169,463.338324
-158.513601,30,463.516588
162.278529,163,464.439453
172.067432,241,466.989137
192.984828,173,471.606442
989.282154,152,475.689093
204.326908,154,476.640811
193.997685,108,477.209412
162.618757,148,478.103717
143.455328,86,478.64869
181.471198,144,479.472801
159.031011,132,480.120905
141.266306,130,481.645416
1357.108783,241,485.200451
156.465201,131,485.875616
159.160256,145,487.646926
152.363986,124,488.2765
140.697396,116,488.914559
187.601844,230,490.838931
95.498696,241,493.086315
153.998531,130,495.698589
-199.927074,63,497.405621
182.300652,207,507.175562
188.49957,178,508.180434
168.903496,115,508.801163
232.981294,211,510.177108
128.916724,137,513.091104
163.373547,146,515.045751
198.681776,138,515.982804
129.516349,83,518.540398
217.957626,155,519.325765
118.432535,144,521.526888
135.181891,120,523.046331
184.136319,183,524.119591
160.237819,98,524.774564
163.099348,154,526.686374
1083.651544,206,529.438447
762.330421,83,530.726659
188.863406,179,532.569242
180.223363,179,533.624695
1141.967422,241,536.629653
192.927874,143,537.444441
149.533911,76,537.846652
183.681911,181,539.89389
221.316056,206,542.290489
208.983364,123,543.026377
1229.711364,152,545.612177
144.66584,102,546.806088
150.060699,113,549.073442
130.067625,96,549.674106
183.426884,134,551.422375
103.696051,146,552.192381
192.381149,161,553.877405
-96.027629,43,554.096584
198.716169,152,555.724261
183.130634,168,557.502525
237.536102,218,558.923098
152.736305,128,560.605266
180.203419,169,562.413753
177.534351,187,566.598799
126.837892,128,569.031252
192.395559,168,570.135003
-54.250869,70,570.631153
238.354697,178,572.568216
859.566861,122,585.347304
152.484825,163,586.375101
