#{"t_start": 1770648121.095136, "env_id": "crossing_planes_multiHead"}
r,l,t
-253.924742,62,9.877513
-151.295629,30,10.072156
54.575325,182,13.301739
-184.38733,75,14.441406
108.92231,101,16.179716
316.106448,241,20.23881
-115.806355,41,20.634121
170.967124,241,22.743919
164.12793,156,25.827137
196.356875,241,27.71675
109.57356,133,29.057712
-140.175603,15,29.269146
-211.845093,65,29.990406
189.361093,213,34.037518
177.263445,241,38.132378
155.583874,155,41.353925
156.656336,147,44.165904
158.087249,109,45.67662
-94.717133,11,45.838116
180.958892,200,48.536418
77.319767,170,50.494121
182.104126,236,53.564756
398.283991,174,56.109078
66.332117,103,56.833346
-130.492199,70,57.243437
-161.587846,33,57.449209
-129.620902,69,57.872316
162.330934,178,60.799736
-81.086667,65,61.561746
143.483054,169,63.691233
126.682836,178,65.859317
226.346607,214,67.763749
-72.217306,90,69.786194
174.369427,149,71.267252
892.738447,241,76.598271
1232.417839,229,82.455836
126.202822,122,84.408666
122.866215,120,85.164456
193.417305,182,87.657524
175.459412,241,90.182154
177.636007,180,93.908069
955.14602,241,97.971142
172.284511,177,126.214625
154.836532,241,129.205649
-107.561283,86,130.103341
121.112993,178,131.32752
97.590187,98,132.391452
-132.02841,66,133.282885
640.687953,153,135.367772
187.969679,183,138.012679
219.522386,145,139.182538
-123.189546,51,139.525844
-127.87536,101,141.444791
185.492791,190,142.353594
105.237147,91,143.13982
132.489601,81,144.486066
-122.320095,70,144.85294
104.381807,135,146.397767
-129.01875,55,147.237272
142.755767,91,149.390926
649.688418,175,151.29005
169.316101,97,152.175032
193.741168,135,153.162592
157.270832,166,156.826289
158.473282,113,157.384583
-84.604974,73,157.713607
129.250944,138,159.645372
80.787793,179,162.184209
-108.426323,56,162.443258
90.761598,110,163.015833
28.547265,99,163.700241
-76.467369,84,164.349711
-99.20951,1,164.363607
100.078281,110,165.39267
-138.316745,25,165.672429
146.911846,98,167.31979
165.589619,218,169.504185
182.818838,189,172.866624
152.678611,135,173.64341
204.305724,188,174.55971
148.421693,173,177.520569
78.45333,129,180.565683
111.184691,113,181.453512
-141.019382,45,181.726969
93.819736,153,182.622169
170.515064,108,183.240562
-105.107635,73,183.683263
-123.427688,50,183.989171
122.398408,129,187.690703
262.082374,211,189.102912
-102.489621,46,190.349686
-58.699508,80,190.795927
-94.54544,52,191.117372
124.216513,167,192.003616
93.867391,151,193.308314
155.703347,145,212.560938
164.182382,179,215.259769
108.074685,126,216.474885
102.145943,126,218.354637
180.456351,179,219.795125
128.892189,97,220.993442
169.42917,161,224.106739
93.624626,92,225.658784
153.699239,132,227.337908
127.593429,145,228.161607
157.27166,171,230.318797
150.419627,153,231.113369
151.704653,189,234.89666
201.067555,241,236.587641
-94.118405,76,238.984969
117.000135,157,240.545787
148.704468,85,241.140442
164.576862,126,241.935586
114.790981,118,242.580102
962.511051,211,244.556673
154.011874,126,245.248557
157.16241,160,246.099539
273.398783,232,248.302731
160.813802,81,248.773798
165.295059,135,249.497864
164.893365,120,250.992859
191.178516,184,255.614069
-93.231556,75,256.413845
155.476876,102,256.843283
191.789495,119,257.37327
130.825167,153,258.388842
161.162734,202,261.002842
881.445201,109,262.456308
194.245426,174,263.728984
154.911877,85,264.3063
-91.781568,51,266.045905
151.805581,101,266.504953
122.845616,111,267.389231
217.152003,235,270.058739
215.065895,160,270.820225
203.026093,163,271.714054
1348.563796,241,273.971962
86.563745,87,274.975241
124.979187,131,275.764914
228.481084,181,288.481449
195.467923,161,291.009858
189.015786,179,293.810884
177.155164,146,294.837223
-177.403125,38,295.221777
-40.940011,104,299.547928
-162.453349,19,299.652164
143.231135,130,300.249416
193.156791,127,300.755191
60.079517,116,302.486964
131.761373,125,305.375275
175.401781,167,306.374841
146.973535,97,309.126555
163.682602,153,309.889549
156.216135,154,312.049165
652.233561,156,313.77915
143.170639,119,314.576565
153.187727,100,315.219426
154.807789,126,316.749158
179.423786,125,318.621645
126.263434,95,319.133235
135.939521,96,320.768978
195.16026,171,322.675533
-194.076439,23,322.846198
164.422906,225,324.10427
136.527496,137,324.943365
146.629711,151,326.737479
153.7534,81,327.172999
157.790256,125,328.766124
124.307503,111,329.330355
140.666365,89,330.691521
1134.580296,197,334.050116
171.201554,187,337.041072
72.629461,173,340.256129
134.030162,151,341.086428
148.698624,118,342.588633
-71.505092,70,342.934841
213.511201,163,343.763015
155.72955,116,345.214047
158.814043,131,345.828004
161.423758,144,346.575922
174.63238,167,349.336133
157.57183,78,349.613153
183.201944,119,351.120487
569.15146,68,352.36239
144.483921,237,354.463299
137.91965,139,355.714226
218.557474,215,356.84274
1070.746268,149,375.024103
-115.191509,91,375.55679
174.009385,167,376.465055
142.511477,101,377.893843
693.236707,132,381.391394
184.845389,183,383.537349
138.013414,107,385.605655
152.863724,116,386.176544
209.288769,210,389.057787
214.458729,238,392.49204
116.156305,92,392.937763
775.518435,241,396.345353
144.471312,124,396.893223
136.659169,145,397.6705
144.948411,95,398.303057
160.319724,193,400.809254
179.357892,156,401.77498
150.862885,101,402.420325
141.107446,144,404.093013
90.135869,134,406.441969
177.272161,187,408.822561
1040.570207,160,410.350194
159.127335,222,411.469686
