#{"t_start": 1770577590.775497, "env_id": "crossing_planes_multiHead"}
r,l,t
373.67576,142,9.746535
160.952954,184,10.679161
1046.804755,241,12.639557
-105.668843,51,13.698425
189.558238,240,15.708631
-69.543564,67,16.39482
-49.31209,53,16.687555
-106.006,36,16.905781
39.79124,241,18.262125
541.390814,241,21.763325
166.667455,146,24.228903
158.761328,165,25.474215
81.379845,141,27.586024
101.255197,107,28.602347
-110.648461,80,29.388398
163.663652,179,32.687072
-4.949607,197,34.828185
-154.884998,61,35.220326
160.725516,227,37.723623
-112.766674,33,37.973205
-50.970235,109,39.661516
206.808294,241,43.530019
-72.078004,81,43.940064
145.737553,182,44.810703
167.196371,203,46.749726
126.327359,241,49.084437
-18.34158,93,49.641396
-113.121459,37,49.942536
-99.477005,17,50.100844
123.598657,197,53.249381
-71.693738,72,54.768696
106.132776,165,55.76232
173.853391,182,58.177418
140.863824,241,60.210274
-240.830923,52,62.033084
-39.217814,75,62.321072
155.259038,131,63.863491
944.377994,241,67.439402
133.98892,189,68.390412
170.038737,192,71.473412
-102.571424,86,72.117331
18.067388,143,74.954849
-82.941685,60,75.262313
186.572234,163,77.163824
103.590451,146,98.920573
123.607322,130,101.278099
177.411099,241,104.43716
119.47392,61,105.626102
144.982015,189,106.489117
-99.475237,31,106.649291
86.40826,137,107.762204
-141.647258,71,108.473755
119.75455,92,109.075922
193.924245,174,110.278581
139.393536,141,113.63119
181.890183,169,114.760205
219.08672,212,117.35265
-39.340356,41,117.521638
-134.513652,20,117.759257
174.384333,182,119.164066
-89.001346,59,119.45846
95.602382,167,121.165627
-106.991537,57,121.401546
188.368177,241,124.880554
878.90131,174,127.412153
103.37625,102,127.824118
177.467399,138,129.292332
137.133836,112,129.836865
123.425539,130,130.347757
81.956618,102,130.868184
221.979783,229,132.686915
157.491861,161,133.53501
906.122708,241,136.310921
125.130166,94,137.151881
99.91855,129,138.543505
-149.745535,33,138.702921
130.846696,157,139.453155
201.913587,227,141.053322
-245.983202,55,141.668692
189.546037,194,143.884181
195.036083,228,145.203378
188.155484,165,146.034843
151.463634,138,146.878821
183.429595,199,148.963427
128.917408,130,150.38045
43.684728,116,150.916416
-192.635282,32,151.989513
219.69518,200,154.562514
144.144963,164,156.582728
152.18313,158,171.70675
144.965277,130,174.59826
111.128626,86,174.944332
39.704283,112,175.846481
-16.69444,116,176.647833
101.15667,149,180.536865
131.599381,137,182.469665
173.503582,185,185.790093
188.802993,168,186.508977
100.481163,113,187.907945
-95.440439,57,188.221992
171.887613,174,189.448491
-81.937258,53,189.673636
178.494334,109,193.588294
185.850187,241,195.914402
98.978219,88,196.348899
-149.977293,52,196.597642
143.674072,101,197.185049
182.36519,213,199.063173
-111.17204,63,199.690934
1154.462288,237,202.868941
115.710222,169,205.626657
-116.635928,79,206.034835
162.88488,138,206.676605
183.620427,187,207.475297
146.061168,130,208.042019
-72.506192,66,208.367834
182.26145,182,209.153094
198.562175,145,211.507682
193.251569,178,212.935313
141.477918,95,214.325669
165.006463,102,214.804129
161.266643,162,218.522286
155.845739,128,219.136594
128.590232,119,219.76499
133.72525,77,221.014156
189.652999,175,223.676092
144.126339,162,225.497968
194.237932,211,227.415743
214.674267,188,228.278498
173.932641,171,230.525424
880.996697,209,233.904021
211.970439,201,237.162817
154.612963,133,237.6703
167.934928,156,238.400002
148.664307,96,251.006199
157.215401,133,251.594928
-158.999205,40,251.777598
117.767647,128,252.305097
-139.997661,60,252.598178
153.777104,172,253.425312
82.034765,84,253.867549
204.692361,184,256.370161
134.888991,95,257.179665
165.85943,98,258.655689
-147.303466,49,258.88331
-1.811762,79,260.163155
-86.29765,97,260.902754
148.767946,138,262.672772
134.49595,138,265.953361
126.901597,105,267.253106
218.28484,228,268.698789
136.505362,130,270.195408
122.637373,83,270.57479
159.870362,181,271.793383
175.246742,177,274.975044
-151.097065,40,276.071581
179.232971,190,277.723805
158.299157,129,278.290183
253.661436,229,281.021317
190.321492,188,282.740561
133.841223,95,283.264362
162.063618,152,284.032571
65.368912,123,284.591914
143.184848,149,287.38509
160.146393,158,288.061203
176.0446,169,288.880405
132.148136,180,289.8182
142.36475,126,290.406706
248.266758,179,293.255054
-80.68708,66,293.572863
145.993712,189,295.453217
121.370914,134,297.07878
-119.402528,64,297.410753
145.442674,80,299.029172
144.596806,136,299.656507
136.478161,120,300.245513
120.188936,177,301.08422
102.035463,241,303.140456
178.794208,166,306.872624
101.88015,151,309.342216
220.086793,174,323.527381
94.237798,137,324.277983
56.612484,124,324.97644
218.405363,148,325.753825
132.007478,157,328.104371
129.041759,117,330.857482
236.842842,182,331.740636
211.644663,175,332.480093
109.664871,103,333.110238
162.175753,86,334.515922
178.715255,141,335.200324
216.464817,241,337.768625
106.7703,129,339.18391
203.89441,195,340.847758
148.276501,134,341.716977
184.143524,209,344.082411
213.022598,197,345.022156
151.833817,186,345.986643
165.813885,133,347.504473
166.481196,140,348.960142
143.040569,102,349.535835
-75.749275,107,350.380466
181.147808,179,352.367686
166.109377,99,354.655705
96.757887,101,355.061472
129.137619,112,357.386306
1261.435909,241,360.674668
118.061252,115,361.393773
166.16729,118,363.19485
148.414187,108,364.074898
176.474824,99,364.60448
161.546755,138,367.04562
191.153831,122,369.429641
165.093539,136,370.949141
186.213169,128,371.685111
173.932426,146,372.437322
93.886963,160,374.088753
206.684512,169,375.773767
133.822536,134,376.41191
-104.226546,39,376.633969
