#{"t_start": 1771301050.921948, "env_id": "crossing_planes_multiHead"}
r,l,t
167.599521,241,10.438647
201.408083,188,12.938874
-132.830419,32,13.169158
185.84015,190,14.38715
36.122376,144,15.501722
148.555825,166,16.758326
695.45613,214,19.936167
-96.902657,38,20.215688
176.452575,175,22.610834
-78.826315,91,23.226002
191.441174,162,24.234964
-90.891246,20,24.387228
-109.173647,82,26.29477
-80.899849,82,27.82152
-103.093328,37,28.026412
-78.793915,66,28.586185
104.927673,132,30.223391
855.50674,241,33.599576
-89.168252,64,35.026306
-206.968872,72,35.368299
-248.48715,57,35.727443
-123.878279,23,35.867618
165.573238,202,38.35439
156.445085,241,40.988109
161.603438,208,43.833643
-150.575358,27,43.967215
101.828678,123,44.635671
163.684325,148,45.473421
108.995893,147,46.794291
-228.078312,35,47.024357
-104.373474,79,47.57289
189.125591,165,49.460077
-89.252915,33,49.661082
-78.579415,126,50.431988
136.135171,158,52.710252
-63.734874,109,53.341422
-118.079178,53,54.821473
158.961176,188,57.074333
110.575018,179,59.339475
-129.816617,87,59.970731
90.46339,116,61.505244
-123.088058,72,62.155112
178.824344,199,66.879509
176.01879,99,67.462578
144.776502,204,69.020843
105.480654,142,71.532425
-69.368131,76,72.698752
954.19252,192,75.40644
181.942986,171,76.145306
140.154769,91,77.196581
175.967199,155,78.940055
-108.44354,13,79.010636
-77.714247,90,79.533515
210.249302,192,81.899791
128.039838,161,83.546585
96.995202,241,86.060235
109.62624,135,86.856772
153.626605,195,88.024357
-26.579775,13,89.048184
180.352216,131,89.709489
-137.125549,59,90.077164
167.104824,162,91.116571
154.736428,116,92.906554
-157.674214,60,93.284722
-79.665409,76,95.689504
168.042169,119,96.699543
88.134468,142,98.97201
186.473218,205,101.237462
-142.5263,26,101.449375
236.525462,209,102.873968
203.983705,197,104.18591
178.396776,241,105.683838
38.99456,109,107.115666
178.051912,180,109.035232
-56.93898,64,109.429699
99.000793,161,112.130314
147.062829,81,112.602029
167.701655,241,114.768013
162.516653,185,115.882499
206.600058,189,117.585368
-41.919386,88,118.15961
146.430797,151,120.219736
-87.536355,79,120.713016
188.320113,198,122.73673
133.618145,241,124.294171
118.488979,179,125.401783
-72.456042,67,125.822477
165.147036,174,126.884784
101.775173,137,127.676955
-108.134091,69,128.1443
-135.186561,78,128.639836
718.361779,181,131.295805
-234.06093,37,131.481431
153.459909,92,131.953413
-101.491899,11,132.030556
112.542624,106,132.672609
124.103152,140,133.953167
1264.79815,210,136.297825
133.340227,157,138.486078
191.838657,165,140.209973
211.34535,207,142.282047
152.927933,163,143.465664
150.119708,217,145.055022
210.593373,176,148.005006
171.069761,181,150.701522
167.49523,133,152.475837
167.108925,241,154.602018
1344.319555,190,158.810426
154.638109,241,162.25626
210.905637,223,165.890435
188.8145,164,166.7648
223.573704,229,169.257789
174.750994,200,171.52959
105.60463,117,172.160021
70.96503,123,172.897
1078.846073,241,175.49303
148.74362,241,179.185911
161.029574,127,179.94286
110.579586,105,181.031321
162.843832,171,182.087269
144.386049,119,183.661652
166.807923,87,184.265762
88.045397,81,184.812526
156.586695,170,186.721197
759.647791,241,189.011613
85.480422,100,190.742306
95.697617,76,191.17496
199.496747,212,193.418588
147.704806,136,194.278376
-112.942215,67,194.694674
204.050397,212,198.320876
-18.883984,3,199.248531
223.11809,239,201.284181
138.120603,171,203.610389
129.872476,128,204.409377
153.884692,76,204.867184
376.636803,55,206.11725
201.279503,167,207.37851
-79.567344,117,209.004181
64.133692,166,211.718204
133.193742,156,212.662609
114.486032,126,213.501575
250.882158,233,216.096995
213.345608,210,217.176749
195.661749,189,218.354708
180.015053,169,220.215747
172.054169,164,221.267142
159.462231,147,223.417183
1188.177586,154,225.038393
143.192909,176,226.326399
92.279863,122,227.174249
175.00147,175,228.259484
163.857719,153,229.931742
119.953989,84,230.356621
157.673631,89,231.751625
1409.708848,236,235.643149
140.092434,83,236.090343
-139.692885,22,237.076375
204.719343,212,238.280432
193.879282,202,239.790563
166.787203,159,241.623456
164.272193,128,243.629309
172.625102,144,245.450943
171.119508,159,246.49564
62.362604,241,248.868479
171.428636,123,249.611254
215.340413,193,250.638537
114.353267,137,251.477062
171.614423,108,253.880755
110.399074,94,254.377986
99.199441,92,254.909884
159.955308,96,256.417813
121.698859,112,257.055151
174.413717,241,258.449643
221.029056,205,261.659864
199.850045,223,263.648637
166.341824,165,264.855633
76.818463,101,265.519556
80.230464,109,266.28864
193.191699,208,268.331019
113.772117,113,269.842372
164.986026,173,270.833111
129.495809,180,271.995113
159.921183,165,273.049991
111.176087,100,274.522295
169.492063,148,276.166465
119.568095,150,277.859008
958.892654,238,281.163559
140.66464,172,282.717168
111.212242,128,284.479568
197.134658,189,286.840808
909.207737,241,289.30408
122.551087,148,290.254155
182.735009,225,291.587624
151.597571,133,293.259392
101.635642,241,295.508392
208.589325,215,296.873028
234.851146,238,298.448854
176.882141,128,300.504102
167.887227,101,301.952575
183.782398,177,303.03545
144.207499,154,304.07283
1009.190686,241,308.462019
1208.611642,173,310.105927
-156.843101,64,310.46094
193.746033,187,313.317749
91.169638,166,316.142962
226.713783,145,318.140395
121.280292,92,318.667139
183.357066,155,320.499707
-143.833406,33,320.676135
155.919441,133,321.351837
1848.178917,216,323.380936
216.815898,206,325.994038
-71.765956,84,327.61103
162.371556,91,328.106603
143.675204,141,329.016424
109.382576,100,329.602954
156.675792,111,330.269381
116.237494,82,330.690623
101.961827,139,331.349664
946.536891,241,335.38598
231.342607,227,338.566388
246.659355,169,341.603995
152.199703,182,343.922728
193.262843,176,346.201708
144.938988,234,348.046723
154.600854,161,350.087035
196.62946,190,353.231187
