#{"t_start": 1771482277.855819, "env_id": "crossing_planes"}
r,l,t
51.998356,241,9.472263
-101.942733,67,10.725027
-110.698012,82,11.215757
77.767221,241,13.061473
-97.836702,70,14.923612
-113.854901,23,15.079166
79.234364,241,17.853628
-111.690396,50,18.174076
-127.881833,58,18.535585
151.614836,112,20.648899
41.84413,241,24.563702
-59.313696,57,24.825592
96.674724,241,27.810554
-134.333629,17,27.921274
-108.181715,55,28.225832
68.053061,241,30.026704
-99.191347,24,30.837332
-11.294492,241,32.50048
89.906204,241,36.203189
64.646447,241,37.722194
-154.937309,61,38.20614
54.723964,241,40.942403
-100.307643,62,41.341486
-104.937037,55,41.885899
-95.078655,78,42.492944
106.270724,241,46.092118
-72.760649,46,47.845504
-9.559146,241,50.636501
42.605088,241,54.534814
-137.478032,58,55.308099
-4.677478,241,57.308506
167.251703,241,59.871362
119.82418,138,60.726373
29.506701,241,63.111585
60.504712,241,64.549795
55.221151,241,65.881747
108.310326,241,68.673636
-101.83675,10,68.760151
-7.982056,241,71.639792
-190.846577,50,71.932553
101.23692,241,73.671633
-120.394246,32,73.888072
-117.411544,44,75.128001
0.116152,241,76.893637
39.503117,241,79.549644
69.644197,241,81.340212
37.416659,241,83.037343
-121.90286,67,84.41429
93.773785,241,86.626641
41.555075,241,89.534699
61.501318,241,91.102959
14.213698,241,93.154117
57.926975,241,96.106937
88.53497,241,100.143136
53.259559,241,102.650827
166.38051,241,104.189375
128.040785,241,106.721014
-125.496797,51,107.006191
81.332059,241,109.41938
38.026593,241,110.954568
76.51456,241,113.736762
87.16952,241,115.323409
59.082666,241,117.811526
39.066376,241,120.282965
59.029125,241,122.554154
-112.223818,31,122.687677
122.148715,241,125.83067
-84.47509,129,127.662314
138.832138,241,130.09972
-99.000002,1,130.115889
-107.487105,52,130.467768
42.767088,241,133.017343
-121.998884,19,133.152287
112.62173,241,134.852621
160.81586,121,135.604431
80.393274,241,137.225771
89.863484,241,139.786095
87.871846,241,142.041472
57.485502,241,143.496769
17.713703,241,145.957897
30.436785,241,147.340201
135.699625,241,148.782686
-190.267098,48,149.113354
-109.794936,26,149.320257
181.181648,142,150.657061
150.836643,241,152.263788
37.566648,241,154.018831
77.078159,241,155.426827
74.931347,241,158.6254
81.373558,241,160.352383
67.335952,241,163.576975
8.106877,241,165.798055
139.402033,241,167.661873
43.312837,241,170.746258
163.070744,241,173.596197
-8.292613,241,176.480595
31.939263,241,178.883876
79.498865,241,182.535836
112.050971,241,184.301085
50.753836,241,187.07434
78.223905,241,188.946826
130.729535,241,191.057909
113.025853,241,193.988256
94.171073,241,196.252936
154.488847,241,198.770203
99.733244,241,200.992914
312.457688,241,203.339798
128.203855,89,203.881543
76.830286,241,205.295698
107.541617,241,207.650802
91.991695,241,210.555132
202.012657,162,211.476166
125.139115,241,214.989435
138.148666,241,216.975262
-114.889069,38,217.28778
82.513024,241,219.115322
-122.826909,29,219.287723
78.78235,241,220.672522
49.104089,241,222.190201
150.44469,87,222.661145
147.48546,172,223.606868
164.007313,241,225.981932
262.077759,241,229.569475
58.698045,241,231.557641
69.827901,241,233.978702
156.820748,200,235.085236
183.88454,161,236.087632
77.312927,241,237.877898
149.931006,139,239.610833
157.892635,182,240.621842
80.867543,241,243.757569
109.963369,241,246.648465
190.07431,172,247.561769
131.372136,241,249.325965
196.526508,219,250.777834
177.791739,231,252.222192
81.931236,241,253.994452
97.399145,241,257.287755
119.903314,241,259.581122
-103.614122,38,259.810501
85.032743,241,262.141405
159.929151,136,265.106703
160.098401,241,266.878766
140.668612,241,270.862612
51.268102,241,273.297864
165.614341,205,274.552739
131.474415,241,276.054705
151.566072,183,278.145781
138.81939,241,280.263958
186.758088,235,282.612213
134.222271,241,284.310063
128.690493,96,284.863905
157.611279,118,286.465398
155.732069,125,287.115339
153.958409,241,290.059789
76.76345,241,291.314438
149.008941,150,292.273622
976.258679,147,294.074371
168.369816,140,294.946442
137.194443,241,298.144315
149.944464,158,299.065833
152.112632,128,299.909537
159.983774,82,300.490475
110.133345,123,301.282926
118.010089,111,302.344676
205.802485,221,303.732183
182.537965,131,304.559687
209.989203,214,306.422258
-96.806175,6,306.463187
504.317841,66,307.748041
127.60699,88,309.161952
172.960155,136,309.992769
178.678337,241,312.661892
139.265172,140,313.516317
137.77764,177,317.320997
163.773815,213,318.581714
327.800866,241,321.446817
146.892872,236,323.335984
167.696776,241,326.461712
161.503239,170,327.793332
166.796585,134,329.800212
113.728773,135,331.653699
160.284709,134,333.505325
149.442573,241,337.140822
170.763269,229,339.026
128.774275,101,339.629173
151.42003,130,340.575702
89.363789,241,343.246242
156.654101,205,346.343945
-102.716645,20,346.517168
215.711229,210,348.039535
185.347778,241,350.840347
117.200753,78,351.375815
-96.428306,38,352.526616
168.152927,142,354.353412
126.082233,106,355.027816
157.899773,186,356.141281
146.702273,124,356.992652
139.592869,126,357.859605
151.719646,80,358.318953
152.738012,129,359.029158
70.981424,241,360.314092
232.095053,237,362.697924
156.997293,133,364.687102
136.996911,98,365.09684
124.863045,103,365.733811
162.472819,95,366.40988
141.358365,149,368.443375
630.927963,241,371.728524
198.109324,119,372.493726
204.793907,216,373.953339
108.060884,151,374.896478
-111.383254,26,375.078506
1175.379218,238,379.177601
210.782501,216,380.508442
70.745786,241,383.084566
182.78695,104,384.132807
152.220336,127,385.810185
380.094205,36,387.208267
152.696584,146,388.29246
169.854052,156,390.236856
118.466114,241,391.788464
198.772049,191,394.091832
160.936169,171,395.264944
176.659153,186,396.382138
85.715304,241,400.463704
200.321857,221,403.020851
145.844342,110,403.813264
136.48532,139,404.977551
169.601184,194,406.600562
119.969044,241,407.984595
1116.208215,167,411.952998
187.181953,207,413.533146
132.956732,102,414.073229
195.940256,166,415.138995
123.011484,112,415.858393
129.61176,90,416.411759
817.595521,180,419.914607
507.020988,241,422.177105
202.66349,219,424.399356
179.884457,188,426.068335
241.629637,236,428.575602
152.78627,88,430.13916
124.405739,85,431.51466
163.314802,138,432.352985
106.53066,132,433.125221
-159.000001,1,434.209341
214.295391,181,435.168695
111.912939,241,436.774037
162.493571,132,438.464755
1269.935666,232,440.817297
114.060495,101,441.669881
940.518076,105,443.252247
150.584574,147,444.254847
160.277308,120,445.851926
187.631756,147,447.219778
438.900276,206,449.326509
117.839465,113,450.037418
156.391558,134,452.088639
151.718447,241,454.44065
121.946299,132,455.322555
145.992907,241,459.007428
209.404423,181,460.002039
138.684467,114,460.745318
144.725622,134,462.540809
176.590409,102,463.101059
162.795307,125,463.84702
161.84144,157,464.895316
87.355516,241,466.77443
991.365991,120,468.409972
230.454122,197,470.143838
161.126705,131,471.031206
229.108215,153,471.894375
-33.888723,39,473.045177
177.789577,147,473.686766
538.103947,60,474.921245
123.306069,93,476.347796
192.725555,114,476.896992
202.926559,170,477.951756
674.000187,241,483.231703
159.042497,189,484.470051
135.193357,137,485.434123
185.529067,156,486.74448
204.690808,158,487.670225
150.368821,128,488.389293
199.342516,241,489.966619
125.766002,104,490.787998
157.729894,120,491.545646
148.376012,98,492.229861
145.334832,107,493.022964
154.65288,84,494.60002
146.147763,118,496.208231
458.451123,99,498.685393
144.676756,183,499.867591
161.392786,100,500.508482
153.53372,124,502.180132
271.406639,191,503.313464
-101.874747,5,503.359046
900.769261,113,504.930535
161.679478,145,506.305316
118.592753,95,507.98627
137.412037,98,508.676403
151.14815,146,511.043094
212.858518,192,512.190424
147.478224,116,514.623662
193.419083,168,516.337705
153.993183,116,518.051644
140.183006,118,518.740542
146.91161,124,519.520346
145.125003,106,520.257291
-59.423419,1,521.263097
150.011657,206,522.323273
137.222707,154,523.36285
126.692849,123,525.095248
163.095646,130,525.954085
211.677594,232,528.9037
191.372799,170,530.051625
289.189245,241,533.935581
255.315012,198,536.021427
148.942734,130,539.746391
161.466098,124,540.397001
898.994116,241,543.541408
144.628819,113,544.320214
143.257515,89,544.948882
194.966897,166,546.919728
136.11751,241,550.059475
114.251834,241,552.130078
120.656893,100,552.732427
150.632116,152,554.642068
950.757143,168,557.845424
185.960561,108,558.426736
199.587197,161,560.347705
942.028708,241,564.51548
236.559069,157,566.312306
1064.045043,241,569.472078
155.947118,92,569.974187
140.224249,100,571.457571
156.194365,144,572.372719
116.11162,90,572.980873
131.407342,109,573.712742
154.935558,198,575.356523
144.163798,135,577.329138
177.984789,194,579.002798
133.860924,117,579.837263
156.052871,145,581.843151
148.056798,241,583.625755
164.335383,142,584.580697
808.009406,193,586.738988
167.360208,241,589.068803
146.673961,119,590.70599
-98.818692,4,590.74195
159.798628,83,591.246322
204.383157,180,592.363672
163.752969,135,593.230789
165.200252,152,596.207839
138.44805,108,596.848124
169.629588,129,598.913199
194.827371,162,599.704218
208.806278,178,601.641871
124.766847,110,603.340769
134.788232,105,604.048692
148.997592,122,604.891604
128.251639,175,606.964062
163.223961,123,608.750117
