#{"t_start": 1770109376.4654279, "env_id": "crossing_planes_multiHead"}
r,l,t
-148.12201,56,6.323008
-72.808518,42,6.549671
-111.961438,101,7.077072
459.803542,241,10.30239
-104.234524,54,11.668779
145.482765,152,12.499451
161.789679,241,16.099568
157.438347,164,17.163644
-75.819733,69,17.549517
50.208667,158,19.475646
-163.858017,51,19.955781
21.291799,134,20.89871
150.745342,241,23.088091
175.604802,145,26.554889
231.722002,230,32.499182
163.018558,161,34.434757
157.653835,193,35.715782
-70.052013,87,37.243516
-14.587093,84,37.712176
-107.988634,74,38.29277
-99.929343,40,38.527149
46.012464,141,40.19545
-98.635698,48,40.472271
188.993571,176,42.52293
-173.111645,70,42.865942
170.062536,219,44.518664
-108.484012,35,44.75706
78.664196,128,46.198356
-126.071508,54,46.424431
138.768039,135,47.23927
108.733158,178,49.156199
-84.119966,76,49.555128
86.644881,8,50.490984
157.906529,159,55.806794
164.447177,154,56.732385
-181.172333,27,56.928646
1.504623,96,57.512754
-146.179518,45,59.579253
163.240188,96,60.051712
194.505212,189,61.196339
101.365463,104,62.708392
167.405137,172,65.590647
111.082224,88,66.030116
-59.322958,1,66.944106
-182.444917,25,67.074685
151.270784,184,68.739102
153.051389,136,69.389944
152.006263,151,70.183175
154.165849,210,72.392911
-147.668168,51,72.701092
82.396575,89,73.207318
144.729242,163,75.271455
-75.068175,32,78.256981
56.710078,96,97.456786
203.994158,187,98.480728
-81.859435,46,98.710473
-176.956179,45,98.947886
96.940649,107,99.5789
180.923526,188,100.629814
-76.021589,85,101.927971
228.072781,239,103.368733
-91.530718,69,103.758942
189.099088,183,106.365744
206.116797,159,107.178136
185.389541,201,108.017308
-146.57313,16,108.113659
117.069276,167,108.958897
179.616403,142,109.681321
131.971525,132,114.501671
65.740442,109,116.039381
210.174451,227,117.248002
140.267616,241,120.108587
156.504449,241,121.966714
139.906347,196,123.727488
166.880963,166,124.585344
127.132883,120,125.188073
144.42068,145,126.669925
-188.985697,54,127.144424
235.032025,209,130.061546
-101.594991,29,130.199019
132.412526,134,131.762736
140.966162,119,132.236298
141.658297,169,135.984674
-112.696549,40,136.276361
-64.742373,57,136.552955
204.868661,174,138.179379
-89.090656,52,139.250062
-80.963251,35,139.40107
157.72744,143,141.043665
131.08796,155,141.688452
190.738041,179,142.842382
172.709846,226,144.834631
206.586322,212,146.944722
180.040104,164,148.692539
99.155003,120,149.211222
185.726075,155,149.990377
-96.960684,8,150.039863
158.930935,152,150.677606
130.804173,153,154.257222
147.645616,241,168.797167
207.326269,217,170.727571
201.598375,164,173.684283
136.999288,120,175.373835
160.150133,169,176.278907
211.942767,230,179.525219
1087.343269,207,181.61609
-75.336002,92,182.068068
483.014671,153,185.726299
114.27565,172,186.490347
135.072918,84,186.873658
187.458972,191,191.715107
180.07019,183,192.520333
-22.51567,106,193.15684
166.082489,108,193.719249
193.734005,181,195.337474
-154.814116,62,195.642705
119.238624,107,196.149982
169.780526,90,196.586915
160.851782,85,197.100187
-106.396809,41,197.33261
164.252069,165,199.096103
146.523832,102,199.548323
138.550434,202,200.611747
198.308352,94,201.915189
146.18437,153,204.861982
203.749274,159,206.588818
134.301575,132,209.968417
118.939479,84,210.34267
-159.31376,52,210.708913
193.255926,116,211.281529
128.510182,109,213.519056
200.800429,196,215.221039
-80.416473,86,215.624398
146.619541,151,216.290143
142.966153,84,216.657209
116.092517,114,217.968652
29.819113,174,218.717616
168.927302,94,219.236655
187.498356,181,220.212593
135.864772,109,220.869681
143.619173,93,222.33948
107.203001,159,223.161594
193.750336,184,224.127223
1168.296571,241,229.255345
202.87867,130,240.784778
149.813892,124,241.372677
124.091743,118,242.884945
207.784128,208,245.890686
172.633011,142,247.594384
151.444959,148,250.239743
196.191238,181,252.749463
137.274306,156,253.38494
138.342724,100,254.640674
1025.864798,241,256.705259
168.916036,150,258.31238
171.281343,148,261.864009
126.256801,136,263.010648
143.992852,125,263.966648
97.24408,137,265.716668
142.065034,121,266.313229
160.495953,185,267.176389
1012.891386,189,269.776711
-130.703348,39,269.952962
122.346103,185,271.69524
166.757184,147,272.418317
198.153729,205,273.592383
135.530772,103,274.117219
145.337693,152,275.823322
149.486043,176,278.367608
129.759584,133,278.869748
125.470266,80,282.877843
140.230382,105,284.403215
1529.797137,176,287.116924
134.959716,99,287.723366
139.280244,130,288.292467
-193.079051,28,288.445683
-77.968687,53,288.719624
134.938396,124,290.93135
170.708355,187,291.862463
207.634705,174,292.79013
144.944249,170,294.719933
188.828188,110,295.217988
171.945859,124,296.645373
177.389374,159,299.204884
273.408204,219,301.124346
193.580555,197,305.922898
-78.817211,54,306.305862
202.293918,178,307.199043
216.489164,153,319.424543
187.029307,186,320.402175
122.738013,114,322.828902
177.14369,168,325.392955
180.829815,195,328.267246
125.1167,118,330.658703
115.889832,99,331.18833
104.271714,124,331.821602
-137.871639,31,332.008666
172.889779,121,333.543139
-112.07144,45,333.769251
-111.54842,35,334.024611
-117.283927,88,334.626834
155.654751,135,335.340517
157.521033,225,339.39953
146.788897,151,340.35081
147.551743,121,341.82828
152.172021,138,342.429066
139.051734,143,343.149322
166.874555,91,344.48395
144.922092,87,345.828671
207.591013,180,346.611911
146.871144,97,347.055157
249.972164,230,349.148601
156.867198,123,349.754245
152.18177,123,351.315612
100.193776,73,352.5382
1043.922968,134,354.162033
-143.376094,42,354.439675
183.454876,142,355.488274
143.116472,120,359.233975
387.191516,63,360.401539
120.347364,99,360.930551
-111.29169,64,362.114167
485.369731,98,363.364073
152.62698,135,364.031974
168.021992,193,365.094631
156.704069,93,367.277366
203.041261,170,367.999137
152.550352,98,368.524367
170.212888,147,369.258962
114.740941,149,370.914901
161.594175,148,371.544847
123.671228,146,373.193978
203.066832,184,375.705846
205.980965,173,378.039306
122.307314,123,381.619531
157.347336,91,382.059872
220.325922,183,382.923906
163.80236,136,383.561969
167.805791,92,394.718801
166.017009,133,395.444438
158.589406,78,395.897247
163.419606,90,396.381666
158.111122,83,397.812739
117.113981,84,398.414352
114.731911,96,398.882624
104.862631,94,399.434189
-311.431127,42,399.806309
179.60204,113,400.598419
151.675232,121,401.205005
-94.113419,120,403.619554
188.69885,158,404.325783
147.325933,132,404.988376
-52.541117,74,405.376066
252.268795,219,409.413899
139.131514,138,410.003553
153.444597,82,410.362912
109.690324,148,411.931332
152.37145,178,412.832804
-59.208002,1,413.720816
92.606813,123,415.648863
101.768783,85,416.1391
207.653763,202,418.085504
194.26566,122,418.841898
148.175289,84,419.350116
-106.82307,58,419.715025
100.056034,82,420.190818
189.965546,158,422.774744
155.333179,150,424.44425
135.379388,122,424.984427
163.257223,209,429.705366
125.741849,82,430.100467
115.143405,141,430.970475
132.874204,106,431.422316
170.8307,95,431.85999
179.056245,153,432.623468
1155.612594,165,434.3672
126.047924,108,434.897097
153.443584,87,435.312985
133.571968,104,435.964336
129.257498,136,437.96439
-250.431683,124,441.231309
137.372142,118,441.807015
163.19902,84,442.218347
151.936758,160,445.035215
188.602959,212,446.238809
167.77346,99,446.785407
121.192245,87,450.075686
178.610532,171,451.100749
174.276057,119,452.548254
201.515829,153,454.146063
156.851949,131,465.555817
194.590664,178,467.293826
126.521425,106,468.621191
1484.026039,239,470.804931
169.37323,125,471.502281
160.632766,143,472.213097
165.848555,149,473.868476
156.479352,116,474.784
142.224677,108,475.72523
-103.618061,65,476.213272
149.068865,144,478.032567
209.501399,185,481.828742
264.965471,175,482.630733
166.321813,122,483.283148
225.814355,200,484.256436
228.247357,184,486.989318
180.642905,157,488.612257
129.888854,129,489.211464
136.871523,128,489.852337
207.969993,172,490.719858
174.422906,165,493.294666
130.368362,145,494.86889
168.39473,117,495.354609
163.356558,178,496.95846
166.461122,90,500.994587
146.928936,163,501.674317
461.013837,99,503.85648
151.589765,132,505.706937
-59.21271,1,506.674058
234.607672,200,508.554236
156.007458,191,509.446031
154.190277,180,510.370688
173.375318,132,511.079772
177.373396,95,511.530526
146.656307,99,513.174398
-179.72108,39,513.376668
244.594269,230,514.657482
246.871794,192,515.629289
126.589435,105,516.202423
95.989023,85,519.379764
142.39149,124,522.80247
212.573662,178,523.74579
163.791898,184,526.391337
128.144552,99,526.820994
123.985189,88,527.266869
182.753762,159,539.279576
153.43724,153,540.046962
203.601952,111,540.619044
157.418119,108,541.224019
168.662531,171,542.159217
161.712086,152,544.151785
134.746674,111,545.558187
135.645629,91,547.034757
150.499802,85,547.456223
236.952887,189,549.41353
-114.592532,28,549.559041
225.440626,202,553.491356
157.894626,136,554.208605
171.181917,95,554.677836
165.489158,125,556.96923
163.770009,133,559.161344
117.734492,126,559.761559
226.997638,170,561.422465
202.812433,115,562.052324
232.717331,236,566.240003
130.540392,139,566.918845
145.449518,241,568.880525
105.150973,107,569.420603
200.868331,212,570.546036
235.989821,227,575.515797
522.013679,108,576.828095
112.932842,81,577.161126
151.991667,91,578.418833
240.246367,197,579.310343
222.869987,189,581.008978
130.558159,121,582.536711
232.123176,203,583.640541
170.913078,139,584.334494
198.905371,112,585.756021
141.827737,116,586.252423
128.148988,99,587.574985
168.227758,97,588.01802
787.49548,103,589.494124
156.677692,110,590.912575
131.917791,107,592.33861
182.204983,184,597.420984
249.989099,157,598.222406
218.248396,160,599.039563
164.028145,86,599.462659
219.172909,188,600.550574
121.767073,120,613.475215
188.604061,170,615.214528
220.808999,164,618.0844
187.75739,125,619.603468
138.013934,129,620.218401
127.72304,95,621.515265
196.324663,153,624.898009
135.131217,82,625.500303
138.033243,153,626.531021
140.457824,138,632.037533
221.624764,211,637.449634
161.775534,103,637.859408
149.327147,141,638.527848
128.232239,80,638.902628
159.223508,176,642.442197
169.672156,101,644.653276
153.11593,141,646.100478
153.681071,104,646.565328
141.500751,92,647.008264
933.89466,124,648.414559
167.181173,117,648.921839
80.320932,109,649.532154
89.334647,96,650.128703
219.569086,189,653.687247
136.19684,140,654.360659
130.553542,98,657.95692
158.828085,93,658.586933
1317.739559,219,660.403411
150.334228,142,661.080326
190.859393,177,662.814255
135.969904,131,665.285591
158.477631,152,667.03165
264.143593,218,668.173042
155.28694,156,669.841304
142.452553,150,670.551198
160.993799,127,671.219666
156.745686,98,671.801892
175.379305,134,673.259943
167.919886,92,673.70267
109.521901,82,674.97099
207.299825,182,680.537519
159.911386,129,681.252781
114.016561,142,681.958455
237.15762,196,682.915359
224.673865,137,683.530191
208.437846,175,685.339306
158.708392,118,697.351069
192.420415,145,698.039521
1011.645364,123,699.575647
142.220902,85,700.074616
272.906401,186,701.29404
152.934848,164,703.117887
111.620909,109,703.67001
199.307571,156,705.465296
225.495284,201,709.451658
164.630998,84,710.725845
32.171698,241,712.794184
184.368674,136,715.276226
185.17782,140,715.998949
184.216666,131,717.747985
176.648502,138,719.31741
234.340911,193,721.02111
193.525574,180,723.753207
180.294288,144,724.397659
227.917061,204,726.205564
209.372366,153,727.880267
132.103415,92,728.434412
6.830787,128,731.887297
221.541432,158,733.593053
149.630807,98,734.071475
147.537377,115,734.676533
168.724082,136,735.380467
161.763425,120,736.081352
177.548499,93,737.461506
263.572964,168,739.946969
210.266426,187,740.796784
171.61105,136,742.34981
152.153881,92,742.887593
1410.496133,241,746.178776
197.566369,195,747.860097
233.746194,156,749.593822
200.473083,168,754.102515
225.422345,26,755.212502
111.399647,108,755.749898
192.329022,158,756.522901
-98.795836,1,756.536262
162.691893,95,758.742393
163.848329,121,759.294952
156.242196,115,760.590475
201.747844,165,761.392031
461.41488,92,762.773809
143.496358,126,771.625751
-28.314684,89,772.142086
156.339836,77,773.412823
142.412775,104,775.717103
297.385131,189,778.047485
153.316852,130,778.767869
1223.664736,241,781.860759
157.954774,108,782.490961
138.988716,130,786.289747
816.811411,113,788.674505
239.114569,187,789.464324
182.079288,102,789.984941
141.05447,93,791.469703
162.383598,115,791.997513
128.291639,152,792.754062
148.552711,241,795.621738
133.59864,130,797.083928
170.867576,147,797.815775
178.504175,117,798.41854
337.649469,52,799.537119
212.738209,164,800.363471
