#{"t_start": 1770114200.637834, "env_id": "crossing_planes_multiHead"}
r,l,t
-14.706473,56,7.389949
-143.065013,28,7.522123
90.53456,95,8.100176
161.931627,157,11.379159
178.339964,182,14.368326
140.510272,177,16.66944
-27.002033,134,17.451925
-112.106508,76,17.985741
170.38851,227,19.43154
165.645384,211,21.010572
753.542836,241,24.557247
-132.723074,62,24.908772
-113.685702,37,25.095417
167.356105,241,26.346213
164.805,169,31.402508
-7.406084,155,34.198424
686.811004,241,37.724871
159.385275,175,41.486614
-80.220624,82,41.97026
-77.831381,163,43.008801
86.071585,108,43.647251
183.57681,241,45.319044
128.58352,105,45.96294
-94.994061,53,47.139684
185.843699,207,48.947868
-123.103846,66,50.183135
-269.286338,67,50.470139
-130.947571,36,50.633209
95.80786,139,51.416653
-294.261875,59,51.773531
231.13538,180,56.746346
153.037467,241,59.109104
171.481936,115,60.478276
167.577217,120,62.974202
151.841118,156,64.756255
-156.426607,61,65.113646
-91.899796,71,65.512292
132.006592,171,67.567457
114.960346,174,68.365159
-72.335101,53,69.573535
110.965106,111,71.040621
-110.908293,51,71.32487
175.980751,177,73.134962
206.498375,150,73.966112
143.941242,183,75.172138
122.262295,125,76.857956
183.266138,137,98.708145
116.893301,91,99.266284
-68.568388,45,100.508717
-39.3759,156,101.443925
143.151029,146,102.356981
-117.442217,56,102.785911
135.783716,195,104.079505
-148.408406,66,104.516675
180.92947,131,105.343955
763.994976,99,106.714644
167.200383,167,108.44674
-101.462949,52,108.708475
1401.397582,240,111.63525
107.767166,141,112.238212
152.624053,179,114.089115
96.887486,109,114.606565
146.604206,192,120.179714
159.252731,153,120.838869
150.591216,99,122.231346
-96.217012,77,122.878642
200.272427,205,125.276974
923.16472,155,127.006887
165.226341,184,128.178565
162.856635,171,130.266334
166.111686,183,131.105855
75.385363,106,131.684366
164.512505,168,132.515277
136.222623,181,134.401902
-132.854373,50,134.686507
-132.914016,60,135.02135
-59.051138,1,135.912264
189.070449,171,142.298714
-102.42414,53,142.499617
111.828669,120,143.158372
136.371213,89,143.550965
-84.391274,102,144.993912
1051.403836,177,146.5954
154.287694,125,147.264194
156.40343,153,148.110818
96.539457,114,149.674412
128.417558,131,150.381087
1138.524974,198,153.438382
120.62503,139,154.377086
249.774123,221,157.586061
163.358267,97,158.116019
188.269475,152,159.74182
-79.296976,77,160.079534
115.348743,91,165.594807
188.977586,220,180.789387
204.088985,185,182.964601
97.793954,97,184.853954
186.954684,155,185.555714
159.346224,221,187.599353
111.78938,150,188.397056
104.859591,158,189.284696
165.903961,147,192.062146
142.686372,156,192.956854
-224.619597,79,193.439534
193.217885,180,194.574299
132.276034,152,196.224468
152.628868,241,201.222086
111.766898,154,201.971675
70.808871,174,203.692467
128.866217,128,206.0768
84.18074,90,206.451655
140.515322,82,207.650989
228.095879,225,209.476468
127.289959,144,210.036116
-190.75132,69,210.410379
192.837665,181,211.502498
163.07098,145,213.436151
96.102363,241,215.253143
126.248358,142,216.062652
-154.543122,66,216.454622
123.446387,111,221.789411
194.638986,173,223.357918
-41.491383,92,223.772385
205.08922,178,224.560811
-76.189636,103,225.128277
-117.846329,63,225.486133
823.072,178,229.029952
146.4739,157,229.81595
105.928935,130,231.333011
125.109563,106,231.859862
146.214133,121,232.407406
143.4805,119,233.8289
174.828317,182,235.681394
167.815501,126,236.279821
196.549983,174,237.281592
-90.699704,41,237.53707
146.73381,140,245.161844
882.823556,162,247.635769
148.699108,115,259.200138
-187.874619,34,259.396824
196.933253,161,261.13015
131.578346,148,261.972282
-63.289614,96,262.491919
1152.03873,191,265.546824
-81.901211,63,266.724696
140.964954,108,267.236236
167.244837,149,269.697992
134.648368,118,271.083855
641.624743,241,273.05584
152.600972,150,273.818831
119.607833,131,274.862703
160.796078,88,275.656311
155.108239,168,281.549332
151.760623,130,282.238786
166.080174,156,283.033857
124.751546,86,283.486877
143.720194,78,284.859655
66.287228,106,286.353362
151.116128,155,289.697186
-151.162599,43,289.867292
178.223043,151,291.53516
-175.355561,68,291.999845
190.981299,113,292.749008
-106.195404,11,292.842053
167.804909,94,293.467484
133.538988,165,294.516997
185.912551,137,296.225336
139.937872,241,298.995036
1272.527861,200,305.450111
141.569193,92,306.033671
144.009802,130,306.932672
115.025752,103,307.629868
130.107803,103,309.15273
157.252906,89,309.625056
142.724973,128,311.280563
169.733498,123,312.017885
95.156354,122,313.670916
117.521482,88,314.161347
124.848292,139,315.033683
757.249175,150,317.427309
1265.607,208,319.510215
201.344052,184,320.752501
98.162354,115,322.340043
-133.804475,79,323.658081
144.37747,127,324.337067
101.453337,156,329.25141
166.598762,162,331.151016
150.082139,75,331.811144
152.269067,142,346.078078
1272.786644,241,349.452393
177.493962,163,352.350689
146.570071,140,353.290307
68.038057,180,354.480102
148.128572,155,355.355568
148.74837,138,356.27247
134.094413,151,357.160359
201.351909,200,358.547344
123.985642,148,360.247606
167.741024,183,365.814575
128.209419,90,367.356851
171.448903,150,369.938886
183.718872,171,370.881707
160.128442,153,371.814761
124.927326,95,373.207251
1043.433066,128,374.691405
-97.218791,67,375.060773
147.948292,159,377.808834
228.328396,196,380.80164
194.779314,157,381.799406
112.995405,130,382.582919
110.106345,112,383.300489
153.848858,111,384.789762
254.258184,235,390.981936
161.30863,175,392.698328
167.250298,109,393.363364
160.775391,148,394.39011
170.446981,147,395.746203
-37.404664,113,397.404885
-122.397982,37,397.655756
-157.693043,25,397.831308
1034.2756,152,399.578396
-177.107867,43,400.821523
159.811635,151,401.748734
599.900046,118,405.051304
157.249925,121,405.693599
180.792473,133,406.480588
155.502021,88,407.037331
123.589697,125,407.69693
186.550665,157,408.583076
159.868964,219,413.880513
202.097043,160,415.752089
144.540161,99,416.397866
103.392038,161,417.536093
84.573214,155,432.194912
1416.335001,225,434.384063
166.648967,150,435.594915
162.732718,167,436.601714
81.683896,127,437.674468
492.343323,53,438.833816
116.401182,155,439.720764
-162.731661,38,439.915627
120.145431,106,441.42426
175.950782,149,442.304295
149.843533,144,443.084173
194.751612,157,447.95422
168.012906,140,448.855008
149.464477,132,449.7772
-58.795835,1,450.708554
157.785989,241,452.768645
186.752754,185,454.859881
780.599455,241,457.825073
206.903045,180,460.01311
149.161446,126,460.614293
208.267041,159,461.553668
-59.301916,1,462.559882
890.399373,241,465.598675
227.210072,190,466.718751
157.612744,122,468.312955
208.048175,181,473.453992
152.132425,157,475.276383
-138.040977,38,475.509073
175.890622,97,476.132493
171.654001,167,478.008962
131.748784,133,479.772824
173.07277,122,480.459522
169.96111,184,482.377657
101.480368,151,484.183209
185.827987,175,485.620118
227.380781,190,487.312387
134.421791,102,489.719842
165.947527,149,491.374086
149.093992,134,493.047617
135.827728,104,497.610409
218.456316,193,499.565985
157.437909,241,501.733849
148.799464,143,502.550373
153.701358,102,514.287644
127.608613,105,514.922746
166.008153,106,517.541164
186.876221,197,521.315055
116.630955,118,521.964085
116.965186,82,522.50158
177.019711,126,523.332428
119.083274,98,525.126319
166.752027,139,525.935951
226.700322,154,526.897448
160.837177,110,527.675869
152.463706,132,532.871179
-131.837226,37,533.114128
128.055297,91,534.763093
144.289732,155,536.215659
-123.814205,57,536.64236
126.830125,91,537.372701
198.8724,172,538.70331
127.68977,95,539.390506
131.665456,141,541.329382
1410.199545,228,545.016026
227.85539,173,547.549267
147.808609,90,549.200246
217.961261,193,551.330491
138.652718,127,552.893485
207.09705,191,554.844291
165.623884,131,557.424119
122.965532,85,561.695899
155.089955,119,562.373093
161.186514,105,562.830994
215.503822,196,563.879733
129.675778,131,564.706959
180.0276,159,566.570129
150.651619,133,568.706016
