#{"t_start": 1770104423.47044, "env_id": "crossing_planes_multiHead"}
r,l,t
-73.486112,90,6.505895
-20.35308,145,9.080546
-89.075981,93,11.213202
-104.268826,37,12.249744
-105.008328,39,12.414125
-130.360961,47,14.02224
160.343288,175,15.964454
123.841527,241,17.64276
-108.891473,103,18.46884
94.01475,157,19.54988
143.671243,122,21.845904
255.213104,225,23.151802
-105.066198,89,24.614753
-88.365982,56,24.88271
-95.723407,37,25.111383
-82.969869,66,25.818013
-90.870494,34,26.067118
114.936842,120,28.057823
116.932589,98,28.714577
176.088261,188,35.505146
228.556482,221,38.167498
136.114098,136,40.561575
-138.092709,71,41.11024
186.564846,213,42.98021
139.54639,131,43.914918
167.149984,120,44.74166
-75.699574,54,45.12149
168.808391,154,46.978594
112.97262,134,48.07779
-34.670961,91,48.713326
136.210904,102,50.317461
-92.151727,32,50.477872
-81.572643,64,52.999585
-117.962887,57,53.299428
164.168623,241,56.11514
139.741619,118,59.89655
97.136379,156,61.697095
-169.23221,54,62.030082
-64.115436,109,62.793388
-89.145403,60,63.183948
153.194152,179,65.204696
185.151495,180,69.405565
-121.842187,77,71.184485
112.872062,138,71.984072
-148.835424,61,72.394652
165.357981,108,73.119098
-13.09832,233,76.423983
117.696602,147,77.333496
149.194334,241,78.825658
-53.757497,75,79.345932
-193.728119,47,79.627478
218.578173,207,84.677842
144.076946,144,101.49872
175.154291,196,103.47197
207.479871,213,105.543001
108.184718,114,106.470608
190.765047,169,108.2925
131.845968,116,108.894354
-51.242387,83,109.404794
-90.846786,52,109.721088
147.278542,99,110.252598
107.032538,130,112.156638
-117.041044,66,112.407034
-64.419435,5,113.324837
-88.492227,68,114.467516
-126.543142,51,114.704167
-8.057843,166,115.587852
147.87534,135,117.215586
142.017697,92,117.618423
178.343222,169,121.398938
148.483162,136,122.208039
133.986631,154,124.025405
113.721426,115,124.801861
116.814249,87,125.385158
81.785018,117,126.958915
214.791881,193,130.277857
79.413982,111,131.170956
209.636547,153,133.343303
126.548505,158,135.121704
178.75053,141,135.972351
-100.299269,50,136.286699
196.473053,187,138.401844
121.540552,130,140.021981
-114.371925,129,141.450995
225.09923,229,146.691481
183.424192,230,148.16729
152.174842,241,150.265522
-189.66437,56,150.569141
784.314481,139,152.891641
115.727427,100,153.350395
126.050925,136,154.847752
192.662728,166,156.650858
172.346336,172,158.549414
160.290293,151,159.428104
127.460614,139,160.804795
82.295104,117,161.699019
154.185228,138,163.349279
202.926323,175,168.043239
150.454427,153,170.728527
133.228479,117,185.026075
107.306317,181,187.263504
128.980914,125,188.883974
157.6243,122,189.526456
172.40523,165,191.492501
207.07711,192,192.763753
-169.923766,20,192.89345
120.730879,82,194.503153
206.18393,125,195.376545
223.018439,194,196.567164
-128.691664,81,197.051991
162.630076,158,198.749518
119.603878,141,199.375962
1183.83552,151,201.970449
143.439488,112,206.284563
1428.455781,186,207.981449
164.586556,148,209.720471
86.55114,156,210.696192
201.696949,182,212.555769
127.946198,76,212.952021
67.062893,123,214.470717
137.643633,126,215.052508
128.656928,86,215.494444
-138.444583,40,215.709874
138.816564,127,218.050971
141.925394,110,218.576073
78.996855,124,219.237857
120.944788,145,220.975803
-80.049091,66,221.346851
140.152412,157,223.392004
111.523398,152,227.151405
-199.715729,32,227.33516
141.27402,136,229.065457
180.069203,188,231.901009
117.228518,121,232.593594
173.247907,155,233.463406
190.506806,169,236.006563
132.303498,105,236.568096
190.547755,202,239.562588
217.570634,190,242.399529
-106.33174,80,242.768163
115.465414,126,243.429611
253.972391,169,245.143877
-80.900482,82,245.577799
-97.309048,55,245.904319
201.040816,197,247.66984
142.493735,166,254.014527
243.004573,177,265.233299
103.005106,117,266.761687
94.487386,135,267.505443
132.493608,158,268.447674
177.534085,156,269.579099
146.005727,108,270.20562
168.920332,160,272.043189
200.31815,116,272.560603
185.183116,177,275.116808
1309.834678,241,277.368945
1410.305886,241,280.650294
179.954592,241,287.188257
164.254629,145,287.988447
155.478021,166,290.589213
-66.93873,81,292.712448
717.246165,115,294.923104
226.984225,165,295.773096
136.795082,110,296.398358
-83.424793,43,296.678262
-197.857429,70,298.998207
138.405449,83,299.390105
187.985829,150,300.346233
124.084495,138,301.12973
-111.722411,40,301.397508
139.65598,130,302.145723
143.451033,164,303.923093
-73.606659,60,304.263358
44.265857,128,305.856723
152.587796,131,309.388895
125.366745,105,310.828003
251.992116,224,313.450428
111.891253,86,314.035844
94.145131,87,314.59433
-8.871417,72,315.084332
132.648665,117,316.754442
192.271912,130,317.561604
107.659764,102,318.964671
-161.829839,51,319.274576
138.375812,156,321.073597
171.385978,120,323.41129
155.556382,87,323.787243
188.701089,148,325.005436
152.990113,94,325.597472
201.96059,192,327.730791
136.921584,118,328.501258
155.408657,164,332.486789
175.22721,100,333.07846
220.084184,132,333.888974
-136.579491,76,335.266556
170.460097,108,348.973276
189.203905,149,350.689695
232.438376,213,352.827737
131.27175,131,353.599082
182.376537,158,355.515749
-47.882519,72,355.921451
-162.772149,51,356.539006
156.802323,145,357.43646
188.18308,170,358.484004
223.881918,139,359.255154
185.412535,207,362.273801
182.534669,186,365.174945
134.048409,88,368.43306
126.578112,121,370.026416
174.876031,144,371.805399
177.302986,177,373.839579
163.78225,115,374.726536
205.544293,183,376.669261
113.595832,111,378.207793
147.318187,115,378.936871
229.563131,165,379.877698
1218.292213,142,381.503072
122.254891,98,382.91922
139.943815,152,384.656123
-93.216889,71,385.025325
158.75714,115,386.455471
117.311099,80,386.941812
122.381054,116,387.716817
161.635745,150,392.262131
191.800529,190,394.312811
140.458058,125,395.046956
190.598238,201,396.175555
175.273543,188,398.297991
157.786543,89,398.793698
181.304255,139,399.420561
156.781712,123,400.033363
104.653949,90,400.591526
185.165053,241,402.749494
195.73035,137,404.773293
-81.274406,62,405.157464
130.508201,113,405.796433
179.521049,156,406.823873
-120.86424,48,407.150808
157.188992,91,410.341685
165.328325,162,413.163806
145.78222,104,413.749597
145.644779,198,415.00824
203.231725,144,424.864939
155.61173,121,425.593927
170.377372,166,426.636581
1271.334766,200,430.435518
168.462006,199,431.542041
165.637349,132,432.278917
105.046503,113,434.135277
