tau,low,median,high
-355.3298153333333,0.4,0.8,1.0
-350.3326705448979,0.4,0.8,1.0
-345.3355257564625,0.4,0.8,1.0
-340.33838096802714,0.4,0.8,1.0
-335.34123617959176,0.4,0.8,1.0
-330.3440913911564,0.4,0.8,1.0
-325.346946602721,0.4,0.8,1.0
-320.3498018142857,0.4,0.8,1.0
-315.3526570258503,0.4,0.8,1.0
-310.3555122374149,0.4,0.8,1.0
-305.35836744897955,0.4,0.8,1.0
-300.3612226605442,0.4,0.8,1.0
-295.3640778721088,0.4,0.8,1.0
-290.3669330836734,0.4,0.8,1.0
-285.36978829523804,0.4,0.8,1.0
-280.37264350680266,0.4,0.8,1.0
-275.3754987183673,0.4,0.8,1.0
-270.3783539299319,0.4,0.8,1.0
-265.3812091414966,0.4,0.8,1.0
-260.38406435306115,0.4,0.8,1.0
-255.3869195646258,0.4,0.8,1.0
-250.38977477619045,0.4,0.8,1.0
-245.39262998775507,0.4,0.8,1.0
-240.3954851993197,0.4,0.8,1.0
-235.39834041088432,0.4,0.8,1.0
-230.40119562244894,0.4,0.8,1.0
-225.40405083401356,0.4,0.8,1.0
-220.40690604557818,0.4,0.8,1.0
-215.4097612571428,0.4,0.8,1.0
-210.41261646870745,0.4,0.8,1.0
-205.41547168027208,0.4,0.8,1.0
-200.4183268918367,0.4,0.8,1.0
-195.42118210340132,0.4,0.8,1.0
-190.42403731496594,0.4,0.8,1.0
-185.42689252653057,0.0,0.4,0.8
-180.4297477380952,0.0,0.4,0.8
-175.43260294965984,0.0,0.4,0.8
-170.43545816122446,0.0,0.2,0.6
-165.43831337278908,0.0,0.2,0.6
-160.4411685843537,0.0,0.2,0.6
-155.44402379591833,0.0,0.2,0.6
-150.44687900748295,0.0,0.2,0.6
-145.4497342190476,0.0,0.2,0.6
-140.45258943061222,0.0,0.2,0.6
-135.45544464217684,0.0,0.2,0.6
-130.45829985374147,0.0,0.2,0.6
-125.46115506530609,0.0,0.2,0.6
-120.46401027687071,0.0,0.2,0.6
-115.46686548843536,0.0,0.2,0.6
-110.46972069999998,0.0,0.0,0.0
