tau,low,median,high
-195.48214009999998,0.4,0.8,1.0
-193.84664625170066,0.4,0.8,1.0
-192.21115240340134,0.4,0.8,1.0
-190.57565855510202,0.4,0.8,1.0
-188.9401647068027,0.4,0.8,1.0
-187.30467085850339,0.4,0.8,1.0
-185.66917701020407,0.4,0.8,1.0
-184.03368316190475,0.2,0.6,1.0
-182.39818931360543,0.2,0.6,1.0
-180.7626954653061,0.2,0.6,1.0
-179.1272016170068,0.2,0.6,1.0
-177.49170776870747,0.2,0.6,1.0
-175.85621392040815,0.2,0.6,1.0
-174.22072007210883,0.2,0.6,1.0
-172.5852262238095,0.2,0.6,1.0
-170.9497323755102,0.2,0.6,1.0
-169.31423852721088,0.2,0.6,1.0
-167.67874467891156,0.2,0.6,1.0
-166.04325083061224,0.2,0.6,1.0
-164.4077569823129,0.2,0.6,1.0
-162.7722631340136,0.2,0.6,1.0
-161.13676928571425,0.2,0.6,1.0
-159.50127543741496,0.2,0.6,1.0
-157.8657815891156,0.2,0.6,1.0
-156.23028774081632,0.2,0.6,1.0
-154.59479389251698,0.2,0.6,1.0
-152.95930004421768,0.2,0.6,1.0
-151.32380619591834,0.2,0.6,1.0
-149.68831234761902,0.2,0.6,1.0
-148.0528184993197,0.2,0.6,1.0
-146.41732465102038,0.2,0.6,1.0
-144.78183080272106,0.2,0.6,1.0
-143.14633695442174,0.0,0.4,0.8
-141.51084310612242,0.0,0.4,0.8
-139.8753492578231,0.0,0.2,0.6
-138.23985540952378,0.0,0.2,0.6
-136.60436156122447,0.0,0.2,0.6
-134.96886771292515,0.0,0.2,0.6
-133.33337386462583,0.0,0.2,0.6
-131.6978800163265,0.0,0.2,0.6
-130.0623861680272,0.0,0.2,0.6
-128.42689231972787,0.0,0.2,0.6
-126.79139847142855,0.0,0.2,0.6
-125.15590462312923,0.0,0.2,0.6
-123.52041077482991,0.0,0.2,0.6
-121.8849169265306,0.0,0.2,0.6
-120.24942307823127,0.0,0.2,0.6
-118.61392922993195,0.0,0.2,0.6
-116.97843538163264,0.0,0.2,0.6
-115.34294153333332,0.0,0.0,0.0
